,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PP,1165790,296900,7590,8260,,18740,4430,5060,,32189,8910,27780,,29290,34280,10030,4290,4510,3180,1750,1980,2520,440,230,170,10,10,0,0,0
RCLR,,12980,450,270,,110,120,20,,2320,1620,2880,,1980,9100,3530,830,1000,60,680,740,290,670,540,690,1130,890,980,1160,1150
KP,1000,860,660,700,,670,530,560,,780,900,800,,770,850,830,690,700,630,500,540,660,150,0,100,100,160,140,170,180
PKKO,,,-135290,-87210,,,1343890,,,,206870,,,,,,64330,,,,-43240,,,,,,,,,
RN,,-11840,-8020,-4180,-14180,7380,11880,-14300,33730,5810,3040,2170,330,2310,1170,760,600,290,250,80,290,360,1920,9650,8090,7070,6750,6100,5670,5180
CRN,,-31000,-46000,-87000,-26000,49000,31000,-26000,11000,63000,120000,168000,1119000,158000,313000,481000,611000,1268000,1462000,4514000,1267000,1015000,190000,38000,45000,52000,54000,60000,64000,71000
CPZ,,-35000,-64000,-191000,-56000,165000,179000,-320000,136000,239000,182000,76000,503000,74000,71000,112000,295000,755000,1650000,7324000,2068000,2092000,282000,69000,74000,65000,65000,64000,61000,66000
RZ,,,,-13250,-18740,,,,,,,,,,,,1540,,,,-350,,,,,,,,,
CRZ,,,,-28000,-19000,,,,,,,,,,,,237000,,,,-1038000,,,,,,,,,
RMO,,-560,-610,-170,-580,220,250,-160,390,200,140,150,20,160,150,140,110,60,40,10,50,60,1030,5810,5060,5200,4970,4840,4930,4440
RMT,,-4210,-2460,-680,-2290,680,690,-390,910,550,650,950,140,1000,750,840,640,390,250,80,320,440,958900,15330,14700,18350,22790,22460,24010,22280
RM,,-490,-490,-140,-460,170,180,-110,260,140,110,130,20,130,120,120,90,50,30,10,40,50,770,3810,3560,3900,4000,3980,4090,3700
COP,,,,-115000,-45000,,,,,,,,,,,,848000,,,,229000,,,,,,,,,
CSP,,,,76000,11000,,,,,,,,,,,,553000,,,,-1839000,,,,,,,,,
