,2004/Q4,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
ShareAmountCurrent,13600000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000,19115000000
WKCurrent,58580,61400,60810,64400,65680,80580,83090,84660,92350,0,0,0,86480,84450,84370,94710,100100,105880,109360,122160,127910,129669,124890,133430,138950,139870,130570,135720,139260,158680,167120,160090,160920,162220,169430,162170,163730,167030,171710,167230
CWKCurrent,1500,1430,1450,1370,1340,1090,1060,1040,950,,,,1020,1040,1040,930,880,830,800,720,690,680,700,660,630,630,670,650,630,550,530,550,550,540,520,540,540,530,510,530
WKGrahamCurrent,6570,25750,26270,30330,31200,39490,42070,42550,43460,0,0,0,22050,18380,16710,28010,22330,26010,26170,34470,36790,35510,26100,33160,36060,35160,24830,29010,32060,42530,51940,45150,42650,40770,48080,41420,40810,33860,37340,30350
CWKGrahamCurrent,13400,3420,3350,2900,2820,2230,2090,2070,2020,,,,3990,4790,5270,3140,3940,3380,3360,2550,2390,2480,3370,2650,2440,2500,3540,3030,2740,2070,1690,1950,2060,2160,1830,2120,2160,2600,2360,2900
PCurrent,144100,106220,107120,112010,115370,130970,128690,121630,117010,99560,107540,108440,107850,111370,118240,133800,150790,170080,188460,199840,206560,209520,208310,207780,203290,201310,198690,192320,189690,199530,193290,191210,179440,175000,177720,176650,181240,182630,177780,180980
CPCurrent,610,830,820,790,760,670,680,720,750,880,820,810,820,790,740,660,580,520,470,440,430,420,420,420,430,440,440,460,460,440,460,460,490,500,500,500,490,480,500,490
ZCurrent,14850,6600,5320,6210,6800,17310,17250,12360,9780,1510,520,880,1660,1380,3060,11390,14610,21830,28080,30530,31420,28010,25440,21180,20410,19540,15980,12570,10870,23590,22870,21370,18790,14240,13020,10970,11660,13590,11210,9750
CZCurrent,5930,13330,16550,14180,12940,5080,5100,7120,9000,58260,169650,100340,52870,63910,28800,7730,6020,4030,3130,2880,2800,3140,3460,4150,4310,4500,5510,7000,8090,3730,3850,4120,4680,6180,6760,8020,7550,6480,7850,9030
ZOCurrent,21070,8210,6350,7230,7920,18770,18680,12680,9630,-700,-710,-240,520,470,2720,13020,17140,25630,33800,36540,34740,30810,26400,21060,22450,21480,17780,13650,12040,26000,25580,23850,20850,15840,14520,12450,13260,15790,13270,10530
CZOCurrent,4180,10720,13870,12160,11110,4690,4710,6940,9140,,,,169310,185850,32360,6760,5130,3430,2600,2410,2530,2860,3330,4180,3920,4100,4950,6450,7310,3380,3440,3690,4220,5560,6060,7070,6640,5570,6630,8360
