,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,43136764000,43136764000,43136764000,43136764000,43136764000,43136764000,43136764000,43136764000,43136764000,51136764000,51136764000,51136764000,51136764000,51136764000,51136764000,51136764000,56138764000,56138764000,56138764000,56138764000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000,97538318000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-9.15,-4.53,-4.36,,,-5.41,,-5.50,-6.67,-9.96,-7.84,-6.64,-4.38,-1.04,-2.20,-6.16,-8.61,-7.31,-6.43,14.80,16.88,15.21,13.85,-3.18,-1.91,1.98,1.61,-0.81,-2.36,-6.30,-1.15,-0.46
CWKCurrent_sy,,-9.51,-10.31,-4.40,,,-27.90,,-37.40,12.54,-13.75,-8.60,-8.00,-2.00,8.47,10.58,6.01,3.70,-1.39,-6.86,-5.76,-4.82,-2.83,-2.71,2.54,5.00,1.42,-1.95,-9.20,-11.05,-43.61,0.62,-1.80
