,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,30030000000,30030000000,30030000000,30030000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000,40040000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,97.68,49.21,14.09,,,,29.92,6.74,7.43,,5.00,8.12,12.88,,8.47,4.84,2.81,2.54,1.88,1.99,5.37,9.17,10.92,11.30,5.83,3.68,7.15,8.66,9.90,8.69,7.71,7.53,8.31
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,23.27,-4.99,-100.00,,1.27,-4.38,-100.00,,4.28,-0.17,0.77,3.40,0.79,-2.11,0.50,2.74,0.89,1.14,4.13,4.39,1.24,-3.83,2.02,7.88,2.67,-2.73,0.89,6.90,2.49,-2.02
