,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sy,,43.44,-27.71,,,,-24.16,-57.43,-15.25,-13.03,-17.22,-11.86,3.63,43.13,32.68,121.84,108.01,59.40,-1.77,8.10,0.45,11.73,29.20,13.18,17.58,5.14,4.18,-0.93,-6.48,-9.20,-12.81,-3.41,-0.51
CPCurrent_qq,,,,-9.71,-4.85,3.67,-4.41,-0.95,-0.29,2.35,3.57,2.06,4.17,7.88,0.78,7.25,7.03,0.39,-2.82,-2.10,-3.15,-0.59,4.27,6.25,3.16,0.40,-6.39,-12.64,-9.68,-3.63,-0.28,-1.50,-1.15
CPCurrent_sq,,,,-9.44,-52.02,-6.68,87.03,-49.16,-4.48,-4.25,78.02,-45.87,12.30,32.25,65.02,-9.49,5.30,1.34,1.70,-0.39,-2.15,12.72,17.59,-12.74,1.65,0.80,16.51,-17.01,-4.04,-2.14,11.88,-8.07,-1.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-181.21,325.00,,,,29.80,-6.88,51.14,40.32,-51.62,-67.15,-84.05,-98.43,-92.15,-124.47,-215.79,-1050.43,-952.61,-395.80,-117.29,-226.49,-395.45,-307.72,-196.78,-199.76,100.21,129.77,156.86,171.19,37770.23,160.83,37.80
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,31.76,-24.98,-7.76,42.37,-5.48,21.76,-14.36,-50.91,-35.83,-40.88,-91.57,145.40,-300.12,-179.70,30.81,-120.14,-16.37,-22.58,-3.97,-234.07,4.24,10.77,-5.01,100.23,13786.87,70.41,31.48,21.72,-4.36,-9.97
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,-22.96,7.39,-33.84,-28.73,106.67,204.45,527.03,6270.10,1174.39,,,,,,,,,,,,,,,,-99.74,-61.66,-27.43
CZCurrent_sy,,,,,,,-57.54,-67.82,-23.78,23.27,292.07,617.35,538.80,435.42,-6.32,,,,,,,,,,,,,,,,-99.48,-63.36,-45.47
CZCurrent_qq,,,,-24.10,33.31,8.41,-29.76,5.79,-17.87,16.78,103.69,55.85,69.15,1086.35,-59.25,,,,,,,,,,,,,-99.28,-41.32,-23.94,-17.84,4.55,11.07
CZCurrent_sq,,,,-20.34,-52.64,-20.51,41.58,-39.62,12.18,28.55,350.31,10.47,-0.11,7.75,-21.21,,,,,,,,,,,,,-98.51,-25.36,-4.82,-50.67,4.55,11.07
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-162.72,371.72,,,,27.03,-7.52,30.99,22.80,-50.96,-64.90,-81.36,-94.49,-84.57,-110.49,-181.47,-347.06,-483.75,-862.20,-144.06,-215.84,-402.84,-327.57,-212.58,-232.23,105.82,136.47,162.86,177.00,1275.31,117.71,31.46
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,29.34,-18.64,-9.03,32.68,-5.84,15.25,-14.72,-47.01,-32.59,-38.81,-74.80,48.46,-145.81,-375.26,23.57,-130.60,-14.87,-20.55,1.09,-267.13,2.33,11.87,-5.13,106.43,512.52,51.89,28.77,14.80,-3.04,-8.28
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,-21.28,8.13,-23.66,-18.57,103.92,184.87,436.50,1715.38,547.95,,,,,,,,,,,,,,,,-92.73,-54.07,-23.93
CZOCurrent_sy,,,,,,,-77.06,-67.57,-26.34,16.11,270.77,554.36,502.32,400.69,65.75,,,,,,,,,,,,,,,,-66.82,-54.07,-43.20
CZOCurrent_qq,,,,-22.69,22.91,9.92,-24.63,6.20,-13.23,17.26,88.73,48.36,63.42,296.77,-32.64,,,,,,,,,,,,,-83.67,-34.16,-22.34,-12.89,3.13,9.03
CZOCurrent_sq,,,,-21.53,-52.62,-22.18,-20.72,10.94,7.63,22.67,153.14,95.79,-0.93,1.97,-16.20,,,,,,,,,,,,,-25.50,-11.83,-5.22,-46.70,3.13,9.03
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-2.38,-18.64,,,,-4.02,-11.83,1.82,4.96,15.41,20.09,24.92,17.58,-7.32,-2.14,7.65,18.92,40.14,34.95,24.23,9.59,5.40,4.05,2.48,-3.01,-8.17,-12.55,-19.70,-25.37,-8.29,-10.47,-11.63
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,6.01,-17.12,6.53,2.55,-2.61,-4.29,9.81,12.76,1.33,-0.44,3.35,-11.12,7.00,9.52,14.17,4.74,3.03,0.83,0.71,0.74,1.71,-0.70,-4.68,-4.62,-3.14,-8.82,-11.40,17.21,-5.45,-9.99
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,66.98,-50.11,,,,-18.29,-17.66,-0.36,1.44,20.83,29.54,40.79,39.64,7.13,18.85,34.34,38.12,56.93,37.96,14.92,0.37,3.58,10.97,16.43,11.29,-5.39,-25.92,-40.45,-46.87,-30.46,-23.45,-17.30
EVPCurrent_sy,,34.22,-37.93,,,,-69.01,-43.77,26.21,130.52,231.06,115.27,101.72,58.07,26.55,5.44,10.84,12.51,27.84,30.44,12.96,17.83,78.79,8.86,12.03,8.18,-8.48,-15.77,-22.27,-19.26,-49.86,-8.15,-1.29
EVPCurrent_qq,,,,-4.27,-21.15,10.41,-1.96,-3.53,-4.58,12.40,16.78,3.42,3.71,11.49,-10.41,14.74,17.22,14.63,1.79,0.87,-2.36,0.12,5.04,8.06,2.45,-4.30,-10.70,-15.38,-17.65,-14.61,16.87,-6.86,-11.03
EVPCurrent_sq,,,,-4.91,-46.98,-33.29,-7.84,72.54,18.99,21.83,32.36,12.19,11.50,-4.53,5.97,-6.53,17.22,-3.10,20.41,-4.63,1.51,1.08,82.70,-41.93,4.48,-2.40,54.57,-46.56,-3.58,1.38,-4.01,-2.11,3.61
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-255.64,129.94,,,,-24.44,-4.66,-22.27,-14.53,135.35,242.11,570.23,2034.55,500.51,-1032.89,-232.14,-148.13,-136.52,85.97,49.10,65.30,79.04,75.67,67.22,70.80,1678.94,339.76,227.74,196.92,-93.33,-58.88,-32.78
EVEBITCurrent_sy,,-10.81,-39.61,,,,-42.83,0.25,74.77,422.54,255.17,-106.55,-65.54,-51.54,-112.80,-469.09,-266.83,-196.25,-226.89,-46.24,10.33,57.47,-125.86,-221.60,-204.77,-464.42,118.70,294.68,41.84,6.24,147.86,-63.38,218.58
EVEBITCurrent_qq,,,,-18.04,1.86,17.10,-22.71,3.42,-16.95,28.76,112.82,50.33,62.70,310.07,-40.13,-333.54,76.95,-49.37,54.58,10.30,16.36,-1.82,72.56,-4.13,-12.68,9.32,1584.02,-84.19,-39.97,-31.20,2.10,-2.49,-1.86
EVEBITCurrent_sq,,,,-23.49,-35.09,-54.40,152.46,34.16,13.15,36.34,71.60,-102.47,695.46,91.73,-145.32,-9.98,-74.56,-10.62,-53.92,50.80,-7.03,47.53,-717.43,29.94,-1.43,2.83,127.09,629.15,-130.30,-56.63,171.61,7.72,-1.86
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-255.64,129.94,,,,-24.44,-4.66,-22.27,-14.53,135.35,242.11,570.23,2034.55,500.51,-1032.89,-232.14,-148.13,-136.52,85.97,49.10,65.30,79.04,75.67,67.22,70.80,1678.94,339.76,227.74,196.92,-93.33,-58.88,-32.78
EVEBITDACurrent_sy,,-0.45,-29.89,,,,-65.12,-17.20,48.32,253.95,181.69,140.72,70.68,33.34,18.89,-32.12,-157.70,-163.72,-184.83,-156.52,305.17,334.64,-44.44,379.16,68.63,46.50,58.13,7.70,-40.48,-53.64,228.75,-45.53,-26.25
EVEBITDACurrent_qq,,,,-18.04,1.86,17.10,-22.71,3.42,-16.95,28.76,112.82,50.33,62.70,310.07,-40.13,-333.54,76.95,-49.37,54.58,10.30,16.36,-1.82,72.56,-4.13,-12.68,9.32,1584.02,-84.19,-39.97,-31.20,2.10,-2.49,-1.86
