,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ShareAmountCurrent,78100000,78100000,78100000,78100000,78100000,93100000,93100000,93100000,93100000,93100000,93100000,93100000,93100000,93100000,93100000,593100000,762925000,762925000,1259075000,1259075000,1985075000,2168125000,2353125000,2373125000,2692039000,2692039000,2692039000,2692039000,2692039000,2692039000,2692039000,2692039000,2692039000,2692039000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000,4772040000
WKCurrent,278620,514610,605280,616450,1004620,0,909540,912180,922070,0,528980,384780,113760,0,-609700,-106560,-121450,-116400,-64680,-61070,-35330,0,-29180,-28910,4190,0,-3760,-9000,-11130,-11800,-13130,-13620,-14250,-15010,-3670,-3870,-4000,-4180,-4340,-4490,-4690,-5800,-7250,-7460,-7680,-8080,-8290,-8470,-8720
CWKCurrent,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent,100040,150090,153650,139590,436760,0,207520,14680,-100770,0,-627160,-757730,-1216360,0,-1613500,-262530,-197600,-174800,-99580,-97780,-57970,0,-43320,-45570,-22300,0,-25410,-26930,-24390,-24910,-26570,-26570,-27180,-27860,-10210,-10380,-10510,-10690,-10850,-10990,-11190,-12300,-11660,-11860,-12090,-12380,-12590,-12760,-13020
CWKGrahamCurrent,0,0,0,0,0,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,4971270,5063370,5970820,6462690,6875920,5903920,6020190,6210830,6441770,6904960,7107500,6721220,5586920,3911650,2162640,175020,105470,94960,39390,26720,9090,7540,3830,3820,3430,3480,3680,3180,3900,3710,3250,2980,1620,1060,120,70,20,10,30,20,20,10,10,10,10,10,10,10,0
CPCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,30,30,30,30,30,30,30,30,30,30,60,90,810,1410,4300,8680,3730,4870,6040,7820,15390,13260,12560,12560,12240,19090,20750
ZCurrent,68950,55150,86970,85560,101690,89850,95030,89530,79680,66170,-379990,-516900,-784360,-1438930,-1208740,-177260,-146940,-62290,-18270,-11800,8039,4460,780,-4410,22940,22390,15420,13620,-15270,-14060,-9400,-9060,-7550,-7650,-2910,-360,-140,120,-670,-610,-680,-1620,-2910,-2970,-3000,-2280,-1040,-1010,-1040
CZCurrent,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,10,20,130,,0,0,10,10,,,,,,,,,,840,,,,,,,,,,,
ZOCurrent,64190,46860,70230,69650,94790,90680,109470,102650,44640,52090,-165460,-156210,-167670,-605830,-884160,-143100,-139480,-82380,-14810,-12000,6170,2260,2600,2300,-1610,-550,-3160,-3510,-1290,-1090,40,10,740,710,1620,1480,1520,1530,-290,-290,-230,-240,-240,-250,-330,-380,-370,-330,-380
CZOCurrent,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,20,40,40,40,,,,,,,2450,7080,130,140,60,70,70,70,,,,,,,,,,,
EVCurrent,173070,532320,602750,665760,541880,100,630050,970660,1217870,100,1362010,1361000,1118480,100,1015150,163630,124490,100,56140,57690,34300,100,14380,15310,14830,100,23010,23640,23020,23280,24420,22890,23390,23940,8560,8670,8810,8940,9170,9330,9590,9760,9780,9760,9700,9670,9350,9210,9140
EVPCurrent,30,110,100,100,80,0,100,160,190,0,190,200,200,0,470,930,1180,0,1430,2160,3770,10,3750,4000,4330,30,6260,7430,5900,6280,7510,7680,14400,22510,69620,122370,378790,775840,341730,454390,579380,763890,1504970,1293640,1218480,1214820,1143520,1758610,1897050
EVEBITCurrent,2700,11360,8580,9560,5720,0,5760,9460,27280,0,-8230,-8710,-6670,0,-1150,-1140,-890,0,-3790,-4810,5560,40,5520,6660,-9210,-180,-7280,-6730,-17900,-21290,597690,1621400,31470,33550,5300,5860,5780,5860,-31330,-32430,-41880,-40170,-40150,-38680,-29760,-25580,-25530,-27650,-24070
