,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,9732600000,9732600000,9732600000,9732600000,9732600000,9732600000,9732600000,9732600000,9732600000,9732600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000,10502600000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,152.38,,,17.12,,22.42,,6.80,26.56,18.37,20.24,11.45,-5.04,-5.35,-6.88,-9.91,-8.61,2.45,7.35,13.80,11.73,5.50,3.79,4.71,6.71,5.92,7.98,12.06,11.72,10.11
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-100.00,,0.78,-1.22,-1.15,8.53,19.44,-7.62,0.41,0.59,1.77,-7.91,-1.21,-2.68,3.23,3.23,3.51,3.17,1.36,-2.53,1.84,4.08,3.30,-3.26,3.82,8.01,2.99,-4.66
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
