,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4
QuoteCurrent,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ShareAmountCurrent,261733919000,261733919000,263993014000,264390983000,264390983000,264390983000,264658002000,264658002000,264658002000,264658002000,264658002000,264658002000,264752143000,264752143000,264752143000,264752143000,264752143000,265420419000,0,0
WKCurrent,12250,12710,0,12540,12920,12630,12480,11710,10230,5260,3180,-4390,-4840,-5290,-5110,-2570,-2050,-2320,,
CWKCurrent,0,0,,0,0,0,0,0,0,0,10,,,,,,,,,
WKGrahamCurrent,-10070,-10270,0,-13070,-12120,-12560,-12290,-13810,-14890,-15280,-15950,-13920,-14190,-14760,-14460,-8170,-7340,-7810,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,
PCurrent,23530,26120,26970,27900,26330,24590,20950,18210,16430,14480,14220,13330,12940,12030,11320,10890,10080,9720,,
CPCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ZCurrent,3530,3100,2910,2150,2050,1270,900,-20,-1360,-6980,-9280,-15200,-14610,-9930,-8950,-340,520,790,,
CZCurrent,10,10,10,10,10,20,20,,,,,,,,,,40,30,,
ZOCurrent,4460,5560,5370,4610,3950,3070,2190,780,-400,-7460,-8520,-15240,-14580,-8740,-8610,-4150,-4210,-4050,,
CZOCurrent,0,0,0,0,10,10,10,30,,,,,,,,,,,,
EVCurrent,5010,6260,20,6710,6450,7760,7860,8670,10420,10970,11210,10080,10610,11100,12100,4620,4470,4610,,
EVPCurrent,210,240,0,240,250,320,370,480,630,760,790,760,820,920,1070,420,440,470,,
EVEBITCurrent,1120,1130,0,1450,1630,2530,3590,11120,-26300,-1470,-1320,-660,-730,-1270,-1400,-1110,-1060,-1140,,
EVEBITDACurrent,710,760,0,890,950,1310,1580,2500,4440,-2330,-1890,-780,-850,-1580,-1700,-1670,-1490,-1530,,
DTAR,640,630,,680,650,660,660,660,690,810,860,1300,1350,1400,1380,1270,1240,1260,1330,2210
CG,1790,1750,,2160,1830,1980,1950,1900,2180,4130,6480,-4280,-3850,-3520,-3650,-4650,-5100,-4780,,
LDER,1460,1410,,1620,1490,1530,1500,1590,1840,3460,5480,-3650,-3320,-2910,-3000,-3740,-4130,-3790,,
PZAT,1090,1120,,1110,1150,1150,1170,1230,1190,1110,990,520,510,530,530,540,580,580,560,220
PELDR,1350,1330,,1280,1290,1270,1260,1190,1160,1140,1150,1220,1200,1070,1090,1260,1210,1180,,
TSF,880,870,,830,880,850,850,890,900,870,860,810,810,760,750,750,760,740,,
ZKO,1850,1860,,1930,2050,2009,2020,2630,3020,3380,4420,3850,4190,4790,4460,3150,3350,3400,3720,3930
