,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
ShareAmountCurrent,10000000000,10000000000,10000000000,10000000000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000,12705054000
WKCurrent,1160,2050,2580,0,3320,3330,3490,0,3880,3840,3680,3700,3590,3510,3470,3570,3620,3650,3640,3730,3900,4019,3910,3950,4120,4190,4220,4200,4100,4050,4070,4090,4260,4290,4240
CWKCurrent,1680,950,760,,590,590,560,,500,510,530,530,540,560,560,550,540,530,540,520,500,490,500,490,470,470,460,460,480,480,480,480,460,450,460
WKGrahamCurrent,150,1710,1900,0,3250,3270,3350,0,3800,3710,3540,3540,3420,3320,3270,3450,3470,3490,3440,3510,3650,3740,3610,3810,3980,4040,4040,4010,4030,3900,3910,3900,4050,4130,4080
CWKGrahamCurrent,12670,1140,1030,,600,600,580,,510,530,550,550,570,590,600,570,560,560,570,560,530,520,540,510,490,480,480,490,480,500,500,500,480,470,480
PCurrent,7980,13890,3850,5140,4059,4210,3380,3190,3560,3360,3290,3070,1400,1090,1070,1420,1790,2200,2510,2660,3210,3570,3710,3490,3420,3430,3530,3300,2950,2440,2520,2980,3830,4120,3810
CPCurrent,240,140,510,380,480,460,580,610,550,580,590,630,1390,1780,1820,1380,1090,890,780,730,610,550,530,560,570,570,550,590,660,800,770,650,510,470,510
ZCurrent,1930,950,930,1190,470,330,450,410,720,710,420,390,70,-10,-30,50,80,190,240,210,340,430,500,460,460,410,410,350,70,-50,-110,-80,200,280,280
CZCurrent,1010,2050,2090,1630,4170,5850,4340,4800,2720,2730,4620,5010,26190,,,35550,25250,10440,8189,9080,5770,4540,3910,4260,4260,4800,4810,5570,26380,,,,9660,6970,7090
ZOCurrent,2250,780,740,1190,810,740,700,620,760,710,440,430,70,-30,-30,80,110,250,310,280,430,540,610,570,580,520,530,440,130,-20,-80,-50,270,370,360
CZOCurrent,870,2500,2640,1640,2410,2650,2780,3160,2550,2740,4460,4530,29850,,,25030,18010,7890,6310,6860,4550,3620,3200,3410,3370,3770,3710,4420,15040,,,,7160,5240,5400
