,2004/Q4,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.18,48.65,-92.88,-76.13,-87.29,-74.99,-34.70,-51.39,12.76,-25.61,-20.66,7.85,3.92
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.43,-51.64,-20.63,21.45,-14.35,59.47,24.92,4.34,10.56,3.16,-10.72,-22.05,9.90
CWKGrahamCurrent_qq,,,,,52.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,516.64,-62.39,-22.22,-17.58,-70.48,26.17,-58.61,62.23,-22.93,-6.09,-3.97,7.02,-17.80,27.66,-7.46
CWKGrahamCurrent_sq,,,,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,-20.15,0.08,2.07,-40.71,31.05,53.14,-28.02,10.39,2.66,27.91,-23.73,3.01,-11.15,11.67,7.53
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,-22.87,-8.84,,251.99,,,406.19,692.67,744.11,567.55,488.83,240.91,117.53,37.51,5.43,4.56,-8.05,-1.81,-0.92,-1.23,-1.91,0.44,0.83,1.85,6.67,1.87,-1.49,-5.91,-10.26,-6.39,-3.43,4.67,14.21,19.59,31.12,33.06,31.47,25.62,13.33,42.25,32.54,29.29,29.19,6.37,20.95,29.53,39.47,34.65,43.45,64.99
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,11.31,63.54,88.23,47.73,74.31,74.15,48.86,30.31,0.92,11.12,-5.90,-0.10,0.09,-2.28,0.49,0.80,-0.22,-2.95,2.90,1.19,0.79,1.64,-1.73,-2.15,-3.73,-3.06,2.50,0.95,4.35,5.77,7.33,10.68,5.90,4.51,2.55,-0.15,32.92,-2.63,0.04,-0.22,9.44,10.72,7.14,7.43,5.66,17.96,23.22
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,29.62,9.74,,-71.60,,,-80.24,-87.38,-88.15,-85.02,-83.02,-70.67,-54.03,-27.28,-5.14,-4.36,8.75,1.85,0.94,1.25,1.95,-0.45,-0.83,-1.82,-6.26,-1.84,1.52,6.28,11.44,6.83,3.55,-4.46,-12.45,-16.38,-23.74,-24.85,-23.94,-20.40,-11.75,-29.70,-24.54,-22.65,-22.60,-6.00,-17.32,-22.81,-28.30,-25.73,-30.28,-39.38
CPCurrent_sy,-5.50,-21.32,,43.07,,,25.10,51.71,-61.38,-36.72,-12.50,-22.25,21.37,12.25,3.22,-0.42,29.35,11.86,62.75,-16.27,100.04,73.31,31.75,-7.92,-3.45,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,-10.17,-38.85,-46.87,-32.30,-42.63,-42.58,-32.82,-23.26,-0.91,-10.01,6.27,0.10,-0.09,2.33,-0.48,-0.80,0.22,3.04,-2.82,-1.18,-0.78,-1.63,1.77,2.21,3.87,3.15,-2.44,-0.93,-4.17,-5.47,-6.82,-9.65,-5.56,-4.32,-2.49,0.16,-24.77,2.70,-0.04,0.22,-8.63,-9.67,-6.67,-6.91,-5.36,-15.21,-18.86
CPCurrent_sq,,,,154.46,-24.64,-11.18,-26.55,208.58,-80.82,45.54,1.56,174.20,-70.05,34.60,-6.61,164.55,-61.10,16.40,35.87,36.10,-7.08,0.85,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,168.52,16.55,,458.58,,,96.08,90.47,190.78,155.56,150.54,125.97,32.91,51.22,31.24,58.85,50.52,-18.90,14.45,7.27,9.78,55.04,-19.58,-28.82,-36.65,-47.57,-27.90,-115.24,-126.23,-113.16,-124.08,470.84,370.40,999.60,675.41,61.58,72.66,-16.80,-31.09,-16.89,-55.50,-10.36,-38.50,-144.41,-157.95,-225.50,-199.73,394.16,520.44,323.01
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
