,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700
ShareAmountCurrent,24800000000,24800000000,24800000000,24800000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000,31300000000
WKCurrent,3430,5050,7600,7900,9210,0,11680,10690,14220,12980,12470,13160,17740,16079,14650,7410,8960,7250,3030,-1710,4810,3820,6910,5060,10960,9700,8760,7650,11950,11570,11520,11280,16510
CWKCurrent,3700,2520,1670,1610,1380,,1090,1190,890,980,1020,960,720,790,870,1710,1420,1750,4190,,2640,3320,1840,2510,1160,1310,1450,1660,1060,1100,1100,1130,770
WKGrahamCurrent,-1300,-950,930,890,3850,0,3730,2610,4890,4130,40,-90,3920,1370,-1980,-4620,-1830,-3200,-6020,-8200,-1830,-2880,-4470,-4920,430,220,-920,-1390,3260,3300,1780,1220,5870
CWKGrahamCurrent,,,13610,14220,3300,,3410,4860,2600,3070,361260,,3240,9300,,,,,,,,,,,29300,58640,,,3890,3850,7120,10400,2160
PCurrent,3150,3190,5380,5920,4640,5070,5810,6180,9100,10320,10720,14010,16239,15820,16390,17660,18310,17450,21490,18550,19660,21820,22320,21370,21110,22440,25490,25730,25030,23610,21080,20940,21690
CPCurrent,4030,3980,2360,2140,2740,2510,2180,2050,1400,1230,1180,910,780,800,780,720,690,730,590,680,650,580,570,590,600,570,500,490,510,540,600,610,590
ZCurrent,1680,220,1720,1900,1920,2000,1930,1560,2680,2009,1860,2090,3810,3540,2510,-210,-1450,-2340,-5210,-4960,-1820,-1120,1410,3510,2170,2690,2920,2740,2110,2120,1950,1940,1580
CZCurrent,7560,57340,7390,6680,6600,6340,6590,8170,4740,6320,6840,6080,3330,3590,5060,,,,,,,,9020,3620,5850,4730,4340,4640,6010,6000,6510,6560,8039
ZOCurrent,2490,560,1730,2040,2009,2130,2090,1700,2890,2430,2350,2760,4680,4490,3620,4370,4270,4010,5130,4810,5910,6180,7300,6450,5950,6650,6140,5100,4430,4059,3200,3010,2680
CZOCurrent,5110,22670,7330,6220,6320,5960,6070,7460,4400,5230,5400,4600,2710,2830,3510,2900,2970,3170,2480,2640,2150,2060,1740,1970,2140,1910,2070,2490,2860,3130,3960,4210,4740
EVCurrent,15940,15710,13920,13980,12500,12700,14600,14210,17360,18200,20510,21060,23740,24130,24590,27170,26090,27070,26640,25900,24820,25490,24870,23890,23930,23020,23300,21460,20350,20130,19190,19260,18320
EVPCurrent,5060,4920,2590,2360,2690,2510,2510,2300,1910,1760,1910,1500,1460,1530,1500,1540,1430,1550,1240,1400,1260,1170,1110,1120,1130,1030,910,830,810,850,910,920,840
EVEBITCurrent,6410,28040,8039,6850,6220,5960,6980,8340,6010,7490,8720,7620,5070,5370,6790,6210,6110,6760,5190,5390,4200,4130,3410,3710,4019,3460,3790,4210,4590,4960,5990,6390,6840
EVEBITDACurrent,5790,19250,6460,5590,5250,4960,5510,6300,4930,5810,6640,5750,4190,4350,5240,4900,4840,5310,4240,4550,3690,3680,3110,3270,3420,2920,3050,3330,3570,3840,4560,4640,4650
DTAR,500,450,230,230,190,,210,270,380,380,480,460,470,520,570,700,650,700,850,1110,790,820,690,750,600,620,590,640,520,520,420,470,430
CG,1150,880,320,290,250,,280,390,610,620,920,880,890,1100,1370,2370,1890,2440,5790,-10370,3650,4410,2160,2910,1480,1600,1430,1800,1090,1070,730,900,740
LDER,380,270,190,170,130,,160,190,340,350,380,410,190,250,340,840,630,810,2610,-4200,1280,1470,890,1260,510,720,880,910,520,360,300,320,180
PZAT,3740,4390,4500,4680,3900,,3580,3130,1590,1590,1920,1770,3090,2510,2530,1440,1450,1360,860,670,830,930,1610,1390,1720,1250,1120,1180,1270,1780,2650,2590,3390
PELDR,930,1080,1340,1420,1900,,1700,1670,2050,1960,1550,1520,1670,1550,1390,1180,1410,1310,1360,1170,1880,1600,1250,1310,1720,1920,1790,1730,2170,2020,1610,1540,1920
TSF,600,640,860,930,880,,900,850,820,830,710,740,620,590,560,540,560,520,530,340,490,460,600,580,610,660,780,680,730,660,750,700,680
ZKO,1490,1270,720,720,370,,470,610,640,660,1000,1010,800,930,1110,1360,1120,1220,1520,1860,1120,1210,1430,1500,970,990,1080,1110,800,790,830,890,680
OSF,980,990,770,850,610,,670,790,950,950,980,990,1010,1000,970,820,920,830,510,-500,820,700,870,770,1020,1020,980,950,1110,1110,970,1000,1040
NetDebt,33100000000,38460000000,18248000000,18957000000,8939000000,,25131000000,30908000000,61784000000,68789000000,114724000000,109382000000,148505000000,166898000000,191516000000,176698000000,171522000000,167434000000,153518000000,141208000000,137770000000,136977000000,113044000000,119141000000,122625000000,117195000000,89708000000,94101000000,97283000000,98628000000,69964000000,84935000000,87082000000
NetDebtEBITDA,1440,5420,1010,860,330,,1040,1370,1900,2230,3680,3110,2780,3000,3930,3090,3090,3460,2740,3020,2460,2390,1760,1960,2230,1830,1570,1840,2020,2200,1850,2230,2640
