,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900
ShareAmountCurrent,3335054000,3335054000,3335054000,3335054000,3335054000,3335054000,3335054000,3335054000,3423769000,3423769000,3423769000,3423769000,3423769000,3423769000,3423769000,3423769000,3423769000
WKCurrent,36950,33080,22550,29160,17770,19490,22160,22820,10710,11740,13410,15310,13620,12980,12250,13050,10680
CWKCurrent,730,810,1190,920,1510,1380,1210,1180,2510,2290,2009,1760,1970,2070,2200,2060,2520
WKGrahamCurrent,9810,7300,-3220,3380,-8480,-6810,-6390,-5680,-17350,-16120,-14650,-12610,-14340,-14870,-14000,-13230,-15770
CWKGrahamCurrent,2740,3690,,7950,,,,,,,,,,,,,
PCurrent,9140,23250,16210,22050,25030,23080,23970,19560,13260,13440,12880,13200,12900,13320,13920,14140,15150
CPCurrent,2940,1160,1660,1220,1070,1170,1120,1380,2029,2000,2090,2040,2090,2020,1930,1900,1780
ZCurrent,5100,20310,11050,16320,15650,13440,14890,9170,5750,5330,4100,4930,4470,3890,1560,1020,620
CZCurrent,5280,1320,2440,1650,1720,2000,1810,2930,4680,5040,6570,5460,6020,6910,17250,26310,43100
ZOCurrent,4960,19830,12840,17960,16620,14260,13500,7830,4780,4650,5170,5890,5510,5290,5310,5210,4990
CZOCurrent,5430,1360,2100,1500,1620,1890,1990,3430,5620,5780,5200,4570,4880,5080,5060,5160,5390
EVCurrent,25410,32119,32110,30790,24560,33740,30820,30390,25050,34210,37110,36490,35600,35530,38660,37880,36790
EVPCurrent,2780,1380,1980,1400,980,1460,1290,1550,1890,2550,2880,2760,2760,2670,2780,2680,2430
EVEBITCurrent,5120,1620,2500,1710,1480,2360,2280,3880,5230,7350,7180,6200,6460,6710,7270,7270,7370
EVEBITDACurrent,5120,1620,2500,1710,1480,2360,2280,3870,5220,7330,7160,6130,6360,6590,7130,7170,7250
DTAR,70,430,340,290,640,500,420,420,740,610,580,530,590,630,610,600,690
CG,80,750,520,400,1800,1010,710,730,2820,1540,1380,1130,1470,1670,1580,1480,2200
LDER,0,360,,,740,690,600,620,1040,900,770,670,720,840,860,840,1110
PZAT,450,0,,,0,0,0,0,0,0,30,20,30,20,20,20,20
PELDR,1360,1760,,,1190,1260,1250,1300,780,800,840,920,840,860,870,910,850
TSF,930,780,,,620,840,930,940,540,750,740,790,700,690,720,740,660
ZKO,230,770,1370,780,1360,1530,1680,1520,2350,9090,4830,3700,3540,3180,3590,3180,3040
OSF,310,1000,1210,880,930,1140,1310,1220,900,3830,2310,2029,1720,1480,1670,1580,1230
NetDebt,-15425000000,46694000000,21704000000,16632000000,62847000000,53843000000,43474000000,45474000000,74440000000,57297000000,61079000000,55574000000,62519000000,64814000000,63285000000,60416000000,70613000000
NetDebtEBITDA,-930,710,510,280,1130,1130,960,1740,4530,3580,3440,2730,3260,3510,3410,3340,4070
DebtFin,-4978000000,17418000000,17363000000,12962000000,-7802000000,22797000000,13065000000,11629000000,-6348000000,25016000000,34958000000,32832000000,29792000000,29555000000,40262000000,37593000000,33848000000
DebtFinEBITDA,-300,260,410,220,-140,480,290,440,-390,1560,1970,1610,1560,1600,2170,2080,1950
SP1,1360,1290,880,1140,680,750,780,800,380,420,480,550,490,470,470,500,400
SP2,1360,1760,880,1140,1190,1260,1250,1300,780,800,840,920,840,860,870,910,850
CAR,760,580,450,570,700,580,1080,1220,440,180,80,150,170,260,100,200,250
QR,4440,2500,730,1290,1250,2090,3730,4470,680,260,470,670,560,630,610,730,660
CR,4440,2500,730,1290,1250,2090,3730,4470,680,260,470,670,560,630,610,730,660
PP,2630,850,450,570,700,580,1080,1220,440,180,80,150,170,260,100,200,250
RCLR,1810,1650,280,720,550,1520,2650,3240,230,80,390,520,390,380,500,530,420
KP,250,330,-90,80,100,170,180,220,-150,-190,-140,-70,-130,-110,-110,-70,-110
PKKO,3100,21790,-2620,2820,3420,4410,3280,3550,-2510,-2040,-1460,-760,-1550,-1410,-1260,-790,-1350
RN,1760,1090,810,1550,3350,2940,2760,2280,1910,2800,3230,4460,4540,3600,3460,3350,3400
CRN,207000,334000,448000,235000,109000,124000,132000,160000,191000,131000,113000,82000,80000,101000,105000,109000,107000
CPZ,114000,202000,375000,220000,166000,192000,149000,139000,205000,213000,263000,289000,233000,247000,241000,246000,239000
RZ,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,
RMO,720,720,710,1210,1730,1540,1580,1380,1170,1550,1760,2260,3200,2540,2470,2360,2330
RMT,340,910,640,860,970,890,900,720,490,480,460,470,460,480,510,520,570
RM,230,400,330,500,620,560,570,470,340,370,370,390,400,400,420,430,460
COP,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,
