,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA_sy,,410.42,-46.13,-8.20,,,-13.07,,,,83.20,,,,-140.74,-120.00,-117.66,-108.32,24.83,10.88,21.85,-150.96,130.01,-33.80,46.22
NetDebtEBITDA_qq,,,,,,,3.32,,,,,-19.66,-0.86,15.75,29.90,49.32,0.42,2.19,157.12,1484.31,-103.67,-6.90,11.70,-17.16,-405.49
NetDebtEBITDA_sq,,,,,,,-75.22,,,,,126.27,-0.86,15.75,-115.69,-11.06,12.47,45.45,-41.74,-31.67,23.24,-75.19,116.95,-687.02,69.15
DebtFin,4681000000,2054000000,11177000000,11295000000,,14157000000,14268000000,,,,31096000000,32813000000,36852000000,43438000000,49925000000,69781000000,82937000000,85297000000,81333000000,82889000000,85844000000,84132000000,81016000000,81902000000,77406000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-72.12,492.13,-20.63,,,9.03,,,,87.34,,,,79.20,118.70,116.20,82.06,210.25,4178.50,-253.49,-254.30,-154.72,-104.01,-436.14
DebtFinEBITDA_sy,,160.29,261.10,-92.31,,,1920.72,,,,62.58,,,,-107.78,-111.27,-507.79,-101.43,-9.01,38.26,-145.76,-3509.56,-134.20,-59.09,60.05
DebtFinEBITDA_qq,,,,,,,-6.28,,,,,-3.77,5.14,25.72,40.88,17.44,3.94,5.87,140.08,1519.54,-103.73,-6.43,14.86,-18.73,-398.34
DebtFinEBITDA_sq,,,,,,,-47.93,,,,,20.52,-97.71,3344.02,-108.17,-74.63,17.00,87.92,-522.43,1.09,-230.37,-77.48,59.61,32.81,17.04
SP1,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,-10.39,14.74,24.48,,,16.98,,,,-41.64,,,,-37.12,-54.08,-39.12,-34.24,-20.57,0.94,-7.40,-6.28,-15.53,-15.18,-10.80
SP1_sy,,-0.79,11.03,-34.00,,,22.71,,,,1.59,,,,-8.32,-18.03,-5.79,-8.09,7.95,9.12,4.11,-0.52,-1.67,8.36,9.59
SP1_qq,,,,,,,4.62,,,,,6.47,-19.50,-8.40,-19.91,-22.24,6.72,-1.06,-3.25,-1.19,-2.10,0.14,-12.80,-0.78,2.96
SP1_sq,,,,,,,5.87,,,,,5.46,-7.54,3.57,-9.22,-5.71,6.27,1.04,6.63,-4.69,1.39,-3.45,5.40,5.03,2.54
SP2,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,-5.33,9.85,25.05,,,15.14,,,,-31.06,,,,-25.12,-56.01,-45.91,-44.29,-36.98,0.75,-7.34,-7.84,-11.52,-11.41,-7.66
SP2_sy,,-2.86,25.26,-27.05,,,9.51,,,,-5.21,,,,-6.37,-15.71,-6.04,-12.00,-0.99,9.37,4.85,0.93,1.07,2.60,17.63
SP2_qq,,,,,,,4.02,,,,,5.16,-13.59,-3.04,-15.01,-38.23,6.25,-0.14,-3.85,-1.24,-2.28,-0.68,-7.69,-1.12,1.86
SP2_sq,,,,,,,-0.12,,,,,2.76,-3.30,4.69,-9.99,-7.49,7.78,-1.94,1.26,2.19,3.33,-5.61,1.40,3.73,18.47
CAR,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,330.55,-69.90,4.01,,,85.98,,,,-48.30,,,,-8.26,-44.98,-85.87,-84.53,-41.72,-45.72,-11.58,15.61,-3.18,-54.98,19.05
CAR_sy,,76.61,189.44,-74.19,,,405.38,,,,-60.94,,,,-7.93,57.13,-26.13,-0.30,87.85,-39.24,0.18,-41.71,-52.31,10.80,-53.54
CAR_qq,,,,,,,30.28,,,,,96.11,66.60,-9.11,-69.11,17.62,-57.21,-0.53,16.40,9.55,-30.29,30.06,-2.52,-49.06,84.33
CAR_sq,,,,,,,384.57,,,,,-11.07,39.41,-25.29,-0.59,51.77,-34.46,0.84,87.29,-50.91,8.05,-41.32,53.22,14.06,-54.70
QR,,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,12.52,-2.00,6.19,,,26.35,,,,-25.22,,,,-2.64,-47.11,-45.92,-50.63,-54.16,-23.89,-28.36,-23.24,-26.98,-25.83,-12.78
QR_sy,,53.50,28.23,-40.60,,,86.65,,,,-39.08,,,,0.81,0.17,6.31,-22.45,-17.76,-5.05,-17.99,-15.88,17.02,-12.59,-18.97
QR_qq,,,,,,,4.12,,,,,6.62,-7.25,6.11,-7.22,-42.07,-5.16,-3.15,-13.85,-3.82,-10.74,3.78,-18.04,-2.31,4.98
QR_sq,,,,,,,90.03,,,,,-16.51,15.43,13.40,-7.76,-17.04,22.50,-17.28,-2.18,-4.22,5.81,-15.14,36.07,-28.45,-1.91
CR,,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,13.94,-8.82,5.18,,,23.92,,,,-13.50,,,,1.93,-37.78,-35.95,-37.81,-45.02,-18.64,-20.40,-22.20,-20.32,-20.06,-14.38
CR_sy,,46.53,41.82,-41.41,,,89.22,,,,-36.73,,,,-13.29,1.65,-12.43,-16.33,2.38,3.62,-1.48,-9.87,5.54,-5.12,-0.95
CR_qq,,,,,,,1.49,,,,,6.71,-7.22,2.77,0.19,-34.86,-4.50,-0.22,-11.43,-3.61,-6.55,-2.48,-9.29,-3.30,0.08
CR_sq,,,,,,,67.12,,,,,-15.36,19.73,-2.33,-12.40,-0.77,3.14,-6.68,7.19,0.43,-1.94,-14.62,25.53,-9.72,2.36
PP,,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,156.71,-69.90,4.01,,,85.98,,,,-48.30,,,,-8.26,-44.98,-79.88,-84.53,-41.72,-45.72,-37.89,15.61,-3.18,-54.98,19.05
PP_sy,,7.23,189.44,-72.41,,,383.42,,,,-61.81,,,,-7.93,48.04,-26.13,-0.30,87.85,-39.24,17.45,3.82,-52.12,28.23,9.55
PP_qq,,,,,,,-32.63,,,,,96.11,66.60,-9.11,-69.11,17.62,-39.08,-30.13,16.40,9.55,-30.29,30.06,-2.52,-49.06,84.33
PP_sq,,,,,,,296.99,,,,,-5.62,31.35,-25.29,-0.59,51.77,-34.46,0.84,87.29,-50.91,26.67,-10.86,-13.62,31.47,8.22
RCLR,,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-1.72,17.94,3.89,,,18.26,,,,-25.34,,,,-8.08,-46.75,-45.18,-48.66,-55.53,-19.92,-23.27,-21.15,-31.83,-24.36,-13.39
RCLR_sy,,115.07,-7.31,-36.99,,,86.75,,,,-23.20,,,,8.14,-8.16,-6.94,-6.66,-21.88,0.95,2.80,-20.85,12.72,-4.23,-28.88
RCLR_qq,,,,,,,4.62,,,,,-8.47,-9.78,9.39,1.75,-46.97,-7.13,2.45,-11.87,-4.50,-11.01,5.27,-23.79,5.95,1.89
RCLR_sq,,,,,,,51.41,,,,,-8.60,5.02,18.45,-4.88,-22.38,6.42,18.80,-20.39,0.30,8.37,-8.53,13.38,-14.79,-19.52
KP,,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,31.39,-6.31,16.58,,,30.77,,,,-24.28,,,,-19.04,-88.81,-92.13,-92.70,-104.47,-155.98,-273.42,-318.36,-643.12,-333.50,-129.87
KP_sy,,166.84,71.88,-78.38,,,232.94,,,,-33.47,,,,9.40,-55.38,-24.68,-31.04,-70.63,-42.24,-32.40,-62.06,164.99,160.57,171.72
KP_qq,,,,,,,2.44,,,,,9.12,-14.26,0.46,-13.87,-84.92,-39.67,-6.76,-152.66,-88.99,-86.89,-17.40,-79.20,-10.25,0.90
KP_sq,,,,,,,21.41,,,,,4.62,-19.44,23.67,4.95,-57.32,35.97,13.23,-55.31,-16.07,59.14,-36.45,212.15,-17.47,65.95
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,-66.04,-39.67,-37.24,,,-17.83,,,,37.22,,,,51.40,83.93,88.42,89.90,106.07,139.16,225.01,287.69,446.31,208.19,70.61
PKKO_sy,,100.25,-12516.67,-16.88,,,115.98,,,,530.00,,,,-106.83,-139.12,-6.72,2.71,-677.89,176.46,16.19,142.90,14.89,-1030.58,9.81
PKKO_qq,,,,,,,3.45,,,,,11.40,22.70,10.74,20.49,70.71,44.31,22.10,147.77,88.97,77.78,16.96,39.03,6.60,-1.58
PKKO_sq,,,,,,,-52.23,,,,,-84.62,-906.18,111.03,-149.97,11.96,-2099.21,110.62,-478.42,108.65,-2510.54,130.77,-232.59,5.38,-133.61
RN,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,6.53,-23.79,0.58,,,2.93,,-8.16,-6.09,0.58,24.82,33.50,45.76,58.25,44.14,41.48,42.63,37.56,27.67,20.10,15.01,18.75,23.93,28.03
RN_sy,,38.43,-12.82,-12.81,,,20.38,,10.31,9.74,-5.53,4.34,-1.38,6.76,-4.14,9.78,-1.86,-6.46,-5.87,-7.07,1.72,13.76,19.67,18.67,6.75
RN_qq,,,,,,-2.54,-6.09,-3.06,3.51,-0.34,0.58,20.30,10.71,8.81,9.19,9.58,8.67,9.69,5.31,1.70,2.22,5.05,8.74,6.13,5.61
RN_sq,,,,,,-2.33,29.30,-21.21,10.87,-2.84,11.31,-12.98,4.79,5.18,-0.05,-0.35,-6.32,0.26,0.58,-1.62,2.54,12.12,5.80,-2.44,-7.75
CRN,125000,118000,154000,154000,137000,140000,149000,154000,149000,149000,148000,123000,111000,102000,94000,86000,79000,72000,68000,67000,66000,62000,57000,54000,51000
CRN_yy,,-5.60,30.51,,,,-3.25,,8.76,6.43,-0.67,-20.13,-25.50,-31.54,-36.49,-30.08,-28.83,-29.41,-27.66,-22.09,-16.46,-13.89,-16.18,-19.40,-22.73
CRN_sy,,-24.00,10.00,,,,-15.13,,-8.80,11.85,3.96,14.29,0.88,-7.63,4.29,-8.33,1.74,7.34,5.94,7.27,-1.28,-12.39,-16.38,-15.25,-6.49
CRN_qq,,,,,,2.19,6.43,3.36,-3.25,,-0.67,-16.89,-9.76,-8.11,-7.84,-8.51,-8.14,-8.86,-5.56,-1.47,-1.49,-6.06,-8.06,-5.26,-5.56
CRN_sq,,,,,,-15.60,-4.27,3.96,8.57,,-11.02,14.29,-4.17,-5.22,0.46,0.46,6.36,,-0.85,1.72,-2.12,-11.26,-5.37,3.09,8.00
CPZ,115000,110000,122000,117000,104000,100000,98000,101000,98000,96000,128000,111000,105000,97000,91000,101000,110000,117000,130000,135000,141000,142000,143000,144000,142000
CPZ_yy,,-4.35,10.91,-4.10,,,-16.24,,-5.77,-4.00,30.61,9.90,7.14,1.04,-28.91,-9.01,4.76,20.62,42.86,33.66,28.18,21.37,10.00,6.67,0.71
CPZ_sy,,-64.43,13.78,-5.19,,,42.34,,18.31,-13.20,-29.74,-4.39,4.39,21.05,32.12,-7.30,-32.74,-32.37,-21.27,-21.28,-0.66,15.71,0.35,6.67,-5.96
CPZ_qq,,,,,,-3.85,-2.00,3.06,-2.97,-2.04,33.33,-13.28,-5.41,-7.62,-6.19,10.99,8.91,6.36,11.11,3.85,4.44,0.71,0.70,0.70,-1.39
CPZ_sq,,,,,,7.65,-1.02,-0.77,11.89,-21.02,-19.88,35.04,22.16,-8.41,-12.56,-5.25,-11.37,-7.89,1.79,-5.26,11.85,7.28,-11.73,0.70,-1.39
RZ,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,-8.11,-1.41,-0.64,,,-3.21,,-13.64,-6.74,-11.90,1.59,4.93,12.59,37.50,29.12,25.81,21.09,15.16,11.14,8.23,9.11,13.70,17.38,22.52
RMO_sy,,15.29,-10.35,15.31,,,1.24,,-1.08,7.50,-5.79,-7.39,-16.64,-13.89,-15.50,-3.86,1.37,1.91,-8.45,-5.58,-1.97,7.75,15.21,11.84,5.90
RMO_qq,,,,,,-6.35,-8.11,-3.06,3.51,1.15,-13.19,11.78,6.91,8.53,6.02,4.96,4.17,4.46,0.82,1.30,1.44,5.31,5.07,4.58,5.88
RMO_sq,,,,,,-11.10,19.38,-10.27,3.89,-3.40,4.62,-11.80,-6.48,-0.22,2.68,0.34,-1.39,0.32,-7.77,3.49,2.37,10.27,-1.39,0.46,-3.06
RMT,,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,-16.01,39.02,33.93,,,-11.01,,-20.60,-7.20,-42.45,-33.33,-35.48,-36.22,2.43,-53.83,-68.93,-76.20,-77.42,-57.61,-39.19,-21.13,-1.64,8.27,19.80
RMT_sy,,-19.89,-27.44,0.67,,,0.56,,-8.62,-7.71,-7.52,-36.80,-25.06,-28.16,-36.43,47.36,5.54,28.22,2.16,-24.77,-18.77,-33.20,-27.97,-24.27,-17.66
RMT_qq,,,,,,-11.56,-10.53,-3.06,3.51,3.37,-44.52,12.31,0.18,2.17,-10.89,-49.38,-32.60,-21.73,-15.45,-4.96,-3.31,1.52,5.45,4.61,6.99
RMT_sq,,,,,,-3.83,26.77,-21.77,-4.18,-2.88,27.03,-46.54,13.61,-6.89,12.41,23.92,-18.63,13.12,-10.44,-8.74,-12.14,-6.96,-3.44,-4.05,-4.47
RM,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,-4.58,8.08,5.77,,,-4.76,,-15.03,-6.82,-20.29,-7.97,-6.68,-2.04,25.66,-13.48,-32.92,-45.58,-51.67,-39.35,-27.03,-13.59,2.20,10.54,20.48
RM_sy,,14.55,-12.78,3.84,,,6.82,,-8.51,-8.66,-13.29,-21.94,-18.36,-3.45,-13.35,19.78,15.60,11.47,-7.80,-16.15,-23.08,-35.71,-18.50,-15.32,-6.80
RM_qq,,,,,,-7.36,-8.58,-3.06,3.51,1.58,-21.80,11.92,4.97,6.63,0.31,-22.93,-18.62,-13.49,-10.93,-3.29,-2.09,2.45,5.35,4.60,6.71
RM_sq,,,,,,-4.84,22.22,-17.13,-5.07,-4.99,16.02,-25.40,-0.72,12.36,4.12,3.12,-4.18,8.34,-13.88,-6.22,-12.09,-9.44,9.17,-2.56,-3.25
COP,,,,,,,,,,,,,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,,,,,,,,,,,,,
