,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sy,,-17.82,-8.12,9.99,,,25.04,,9.93,49.20,87.91,128.83,52.32,39.27,-42.61,-69.11,-21.02,-15.35,,,,,,,
CZCurrent_qq,,,,,,-4.24,9.40,-21.95,12.55,0.59,12.46,14.25,-9.93,18.42,35.34,1.11,92.08,95.58,,,,,,,
CZCurrent_sq,,,,,,-2.09,39.22,12.90,-28.57,32.89,75.34,37.49,-52.45,21.51,-27.74,-26.00,21.57,30.24,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,82.25,-6.17,30.58,,,-6.80,,3.30,-4.17,8.49,-4.92,6.64,-5.12,-30.56,-29.70,-64.32,-72.22,-119.42,-147.51,-304.97,-391.42,-532.45,-123.78,39.21
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,4.94,-12.26,21.65,-7.77,-2.65,-0.67,6.62,3.44,-13.39,-27.30,7.94,-47.51,-32.55,-150.80,-164.12,-126.47,4.10,-10.26,6.55,38.48
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-45.11,6.56,-23.42,,,7.29,,-3.21,4.35,-7.83,5.16,-6.22,5.41,43.99,42.25,180.18,259.90,,,,,,,
CZOCurrent_sy,,-22.84,-3.74,29.06,,,-9.99,,22.44,33.13,58.98,141.28,119.81,35.10,-26.36,-63.63,-64.41,-21.32,,,,,,,
CZOCurrent_qq,,,,,,-4.72,13.97,-17.80,8.42,2.72,0.67,-6.21,-3.31,15.46,37.52,-7.35,90.44,48.32,,,,,,,
CZOCurrent_sq,,,,,,-4.35,9.42,-3.17,20.82,4.01,30.66,46.96,10.07,-36.08,-28.78,-27.42,7.73,41.30,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
