,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000,19514647000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,17.42,57.65,-1.45,,,,-12.20,-10.76,-15.41,-7.86,2.64,6.09,5.89,0.24,-4.37,-6.58,-5.80,-6.08,-4.61,-2.09,15.22,17.50,22.59,32.08,10.10,12.66,4.91,0.75,2.11
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-3.77,4.46,-4.40,-8.64,-2.19,-0.99,4.14,1.77,1.10,-1.17,-1.42,-2.91,-1.23,-0.35,-1.71,-1.39,1.37,17.27,0.24,2.88,9.22,-2.25,2.57,-4.19,4.88,-0.93
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
