,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sy,,-16.27,,-7.92,,,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,4.38,-2.98,0.82,2.65,-3.74,-1.13,-2.32,-3.51,-7.00,-1.89,-4.66,-3.80,0.26,-3.10,-1.82,1.17,-9.24,-0.97,-5.77,-0.11,3.53,0.13,0.76,-2.84,-7.83,-4.11,-1.99
CPCurrent_sq,,,,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-593.88,,108.07,,,106.48,48.82,-6.83,199.46,474.39,193.65,312.02,194.77,67.83,46.31,18.51,3.61,15.43,25.99,18.56,7.15,-8.71,-16.52,-16.62,7.61,23.95,37.30,64.88,41.26
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,110.03,44.09,-49.45,-11.35,130.49,-9.79,62.46,70.04,17.83,26.58,16.23,-3.18,2.72,2.52,1.62,7.86,12.11,-3.52,-8.16,-8.11,2.52,-3.63,18.53,5.84,13.56,15.74,1.55
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,-32.96,7.47,-66.59,-82.58,-65.90,-75.76,-66.08,-40.44,-31.69,-15.60,-3.50,-13.35,-20.61,-15.66,-6.64,9.56,19.78,19.92,-7.11,-19.34,-27.17,-39.36,-29.20
CZCurrent_sy,,,,,,,,-29.58,-26.54,-19.73,-8.72,-8.94,0.29,9.50,-0.44,-0.65,-37.68,-4.97,-8.97,0.04,6.85,-16.93,-1.37,-1.13,20.85,21.76,-7.01,28.44,33.44,3.56
CZCurrent_qq,,,,,-30.71,97.87,12.78,-56.64,11.08,-38.50,-41.20,-15.11,-21.04,-13.95,3.27,-2.65,-2.43,-1.62,-7.27,-10.80,3.66,8.90,8.82,-2.48,3.77,-15.65,-5.51,-11.95,-13.59,-1.52
CZCurrent_sq,,,,,-4.17,-22.24,-9.37,4.26,-0.03,-15.02,3.05,4.02,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,-26.24,10.00,6.56,14.35,-9.84,10.83,-18.62,57.94,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-120.68,,965.98,,,1131.96,-36.31,-13.57,27.74,31.97,191.96,158.95,91.43,54.20,30.41,9.57,3.16,11.29,28.77,24.13,10.00,-5.25,-14.75,-15.25,10.30,27.09,32.02,57.64,36.68
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,965.98,,,19.17,-46.55,35.70,47.80,23.11,18.24,20.36,9.26,-0.83,,1.13,2.86,6.98,15.70,-2.52,-8.84,-7.85,4.10,-3.09,18.64,6.18,8.13,15.72,2.87
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,57.16,15.71,-21.69,-24.27,-65.78,-61.39,-47.79,-35.13,-23.31,-8.72,-3.05,-10.13,-22.36,-19.44,-9.10,5.54,17.29,17.95,-9.33,-21.31,-24.25,-36.56,-26.83
CZOCurrent_sy,,,,,,,,11.56,32.27,57.11,-23.18,-9.27,-13.85,-34.70,-57.16,-22.07,-33.54,-25.01,-11.36,5.24,-26.83,13.94,3.72,-22.33,68.22,19.50,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,,,,,-16.06,87.23,-26.37,-32.32,-18.83,-15.39,-16.93,-8.49,0.85,0.03,-1.12,-2.81,-6.51,-13.59,2.60,9.66,8.55,-3.96,3.18,-15.71,-5.80,-7.54,-13.59,-2.78
CZOCurrent_sq,,,,,,,161.88,-46.01,4.05,6.79,28.04,-36.23,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,-41.42,42.24,-9.64,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,1.81,,0.07,,,,-0.94,,,0.36,-6.16,-2.06,-1.44,-2.65,-2.44,-3.00,-1.53,-1.60,3.37,4.95,-1.50,6.53,0.56,-1.40,6.64,-0.60,0.33,0.40,3.95
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,6.57,-6.16,,,5.56,-5.27,,0.36,-1.29,-1.13,0.64,-0.88,-1.08,-1.69,2.16,-0.95,3.92,-0.19,-4.13,7.12,-1.90,-2.13,3.68,-0.15,-0.98,-2.07,7.36
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
