,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PELDR,1190,,1040,,2860,,2220,1460,1310,1280,,,1340,990,990,,1060,1040,1090,,1190,1200,1200,1290,1320,1320,1280,1190,1220,1230,1270,1230,1310,1260,1400,1360,1450,1630,1510,1880,2050,1910,1930,1590,1500,1420,1430
TSF,150,,730,,850,,920,770,800,670,,,870,570,570,,680,540,650,,760,510,650,620,740,620,690,490,650,460,620,410,600,400,550,420,580,480,600,550,610,510,580,420,560,430,490
ZKO,970,890,900,1140,210,330,140,550,580,740,,,410,1040,1040,,940,1000,930,,780,900,840,790,660,770,730,890,790,880,770,900,750,880,740,840,700,760,690,640,600,700,660,800,720,830,790
OSF,1150,1210,940,1030,610,770,300,770,740,910,,,540,1010,1010,,970,1000,960,,880,1010,940,960,830,960,890,1020,920,1050,950,1080,970,1100,1030,1140,1010,1190,1020,1170,1150,1250,1170,1190,1010,1110,1060
NetDebt,891000000,1821000000,2324000000,8441000000,-20770000000,-8137000000,-14218000000,7765000000,1911000000,18524000000,,,-4455000000,35677000000,35677000000,,17297000000,48368000000,40764000000,,15626000000,55691000000,31552000000,37764000000,14886000000,34195000000,11532000000,49565000000,17056000000,69361000000,29569000000,79888000000,23996000000,74965000000,35548000000,81947000000,18780000000,67440000000,43184000000,65375000000,-1203000000,74143000000,79102000000,168950000000,40129000000,166262000000,123577000000
NetDebtEBITDA,2850,1290,1220,3360,-3740,-1200,-1580,890,250,2970,,,-1160,8150,5290,,1330,3590,2810,,1280,5190,3100,4730,2210,4630,1660,8220,1470,5520,2290,5950,2260,8370,2730,6320,1210,3030,1760,2460,-40,3730,4190,11210,2000,9960,5050
DebtFin,-1691000000,-1292000000,-1527000000,-882000000,-27596000000,-20944000000,-17405000000,-8697000000,-12408000000,-6433000000,,,-11173000000,5127000000,5127000000,,-2530000000,294000000,9755000000,,-12747000000,-16444000000,-11319000000,-11263000000,-13634000000,-14138000000,-22392000000,-19988000000,-19976000000,-13717000000,-13480000000,-19555000000,-23806000000,-29863000000,-19300000000,-13489000000,-39733000000,-30458000000,-21342000000,-33493000000,-94588000000,-51617000000,-25713000000,-9758000000,-81072000000,-24021000000,-32865000000
DebtFinEBITDA,-5400,-910,-800,-350,-4970,-3080,-1930,-1000,-1610,-1030,,,-2910,1170,760,,-200,20,670,,-1050,-1530,-1110,-1410,-2029,-1910,-3220,-3310,-1720,-1090,-1040,-1460,-2240,-3330,-1480,-1040,-2560,-1370,-870,-1260,-3410,-2590,-1360,-650,-4040,-1440,-1340
SP1,1180,1360,1040,910,2850,2360,2220,1400,1260,1240,,,1310,970,970,,1030,1000,1030,,1120,1120,1120,1210,1250,1250,1220,1140,1170,1180,1240,1210,1290,1250,1390,1360,1450,1570,1460,1830,1910,1790,1770,1500,1410,1350,1340
SP2,1190,1360,1040,910,2860,2360,2220,1460,1310,1280,,,1330,980,980,,1030,1000,1070,,1170,1120,1150,1260,1290,1290,1250,1160,1180,1190,1240,1210,1300,1260,1390,1360,1450,1620,1510,1830,2000,1860,1880,1580,1480,1410,1410
