,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q4
QuoteCurrent,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220
ShareAmountCurrent,2923461000,2923461000,2923461000,2924037000,2924037000,2924567000,2924567000,2971745000,2971817000,2971817000,6855603000,6855603000,6855603000,6855603000,6855603000,6855603000,6855603000,6855603000,6855603000
WKCurrent,91870,126760,477910,739260,865470,800410,812750,805740,608340,292670,73920,56710,62490,51040,45820,48540,44720,23630,5090
CWKCurrent,20,20,0,0,0,0,0,0,0,10,30,40,40,40,50,50,50,90,440
WKGrahamCurrent,-291490,69890,398080,690160,698690,645680,356570,314620,355120,-408870,-186410,-174490,-170510,-177480,-177560,-182890,-169500,-170230,-52730
CWKGrahamCurrent,,30,10,0,0,0,10,10,10,,,,,,,,,,
PCurrent,96940,73630,97230,624650,140710,22540,50970,34870,41300,37710,37760,56730,32380,33620,38610,28210,16940,29040,122210
CPCurrent,20,30,20,0,20,100,40,60,50,60,60,40,70,70,60,80,130,80,20
ZCurrent,50700,38740,19290,278040,96580,-90980,13910,13890,-118530,-304320,-74410,-34910,-28310,-28670,-22280,-10060,-18510,-30020,-16160
CZCurrent,40,60,120,10,20,,160,160,,,,,,,,,,,
ZOCurrent,59940,56440,20720,266720,22050,-69720,46720,-88940,-103190,-254370,-53740,-16290,-16770,-10050,-10750,-3450,1460,-22340,-4720
CZOCurrent,40,40,110,10,100,,50,,,,,,,,,,1520,,
EVCurrent,164320,25700,-202510,-36790,134890,380690,747840,925290,453390,436270,172480,164500,160450,166060,171930,168360,159740,161870,46040
EVPCurrent,1700,350,-2080,-60,960,16890,14670,26530,10980,11570,4570,2900,4950,4940,4450,5970,9430,5570,380
EVEBITCurrent,2740,460,-9770,-140,6120,-5460,16010,-10400,-4390,-1720,-3210,-10100,-9570,-16520,-15990,-48730,109710,-7240,-9740
EVEBITDACurrent,2540,450,-9320,-140,5040,-19000,15030,-10860,-4460,-1720,-3250,-10540,-9830,-16720,-16129,-48450,106370,-7260,-9770
DTAR,790,550,230,210,360,460,560,590,500,640,740,780,750,790,810,800,810,890,940
CG,3660,1200,300,260,580,850,1340,1470,1000,1790,2910,3610,2980,3770,4230,4160,4330,7800,15820
LDER,3040,320,50,100,310,440,750,690,300,0,2460,3080,2590,2290,2630,2570,2870,380,1540
PZAT,900,1130,1710,470,150,110,560,750,160,17200,10,10,10,10,10,10,10,170,10
PELDR,970,2940,6320,16600,6620,7120,2910,2710,3110,420,980,1010,960,730,740,790,810,170,220
TSF,870,600,810,870,830,770,740,680,650,360,880,880,900,690,690,690,720,160,150
ZKO,7500,690,270,220,420,510,750,790,630,4550,7420,6800,11690,13080,11950,10720,7990,13150,2900
OSF,1800,1530,1590,3290,2110,2540,1250,1270,1510,1900,2110,1680,3130,2920,2450,2380,1660,1600,260
NetDebt,217235000000,59257000000,-103079000000,66204000000,147558000000,303675000000,596459000000,690005000000,369218000000,341569000000,305508000000,289847000000,279285000000,288514000000,297350000000,286214000000,278192000000,272057000000,87337000000
NetDebtEBITDA,4690,1360,-6210,300,7870,-21290,16230,-12040,-4990,-1880,-3580,-11360,-10580,-18060,-17370,-53170,116510,-7870,-11270
DebtFin,116177000000,17784000000,-156223000000,-31845000000,92973000000,269429000000,550619000000,621066000000,327969000000,311032000000,273854000000,265244000000,255924000000,263581000000,272580000000,257373000000,250439000000,247407000000,72026000000
DebtFinEBITDA,2510,410,-9420,-150,4960,-18890,14990,-10830,-4440,-1710,-3210,-10390,-9690,-16500,-15930,-47810,104890,-7160,-9300
SP1,240,2230,5990,15060,5060,4950,1660,1600,2390,420,280,250,270,220,200,220,210,120,90
SP2,970,2940,6320,16600,6620,7120,2910,2710,3110,420,980,1010,960,730,740,790,810,170,220
CAR,560,630,2370,960,1190,690,550,190,240,90,750,910,560,170,120,220,290,50,380
QR,790,1990,4590,7540,5170,4019,3030,2380,2260,220,860,1010,650,190,220,240,370,80,380
CR,790,1990,4590,7540,5170,4019,3030,2380,2260,220,860,1010,650,190,220,240,370,80,380
PP,580,660,2370,960,1240,770,580,260,240,90,750,910,560,170,120,220,290,50,380
RCLR,200,90,450,3460,380,240,150,120,50,20,100,100,90,20,100,20,80,30,10
KP,-30,400,680,820,710,670,500,430,440,-500,-20,0,-30,-250,-240,-230,-170,-780,-520
PKKO,-650,14560,6570,2340,12850,-31680,38320,47470,23590,-22490,-160,10,-330,-1920,-1560,-2330,-2710,-8140,-390
RN,8350,7460,1820,1540,1590,290,730,460,2020,2680,4960,9550,11360,14550,10640,8109,4030,5620,299800
CRN,44000,49000,200000,237000,229000,1275000,503000,801000,181000,136000,74000,38000,32000,25000,34000,45000,91000,65000,1000
CPZ,214000,552000,444000,68000,601000,5346000,3414000,6606000,3766000,4421000,1301000,632000,332000,472000,482000,832000,1567000,1243000,217000
RZ,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,
RMO,2160,330,180,710,120,20,40,20,40,80,1200,1850,1290,1650,1990,1670,920,1560,4400
RMT,250,1290,1220,12720,820,140,100,70,160,100,140,230,130,140,170,120,80,130,2110
RM,230,260,160,670,100,20,30,20,30,40,130,200,120,130,150,110,70,120,1430
COP,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,
