,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CG,620,750,780,740,,680,650,730,,730,700,670,,720,590,480,,480,410,520,,520,400,490,,510,450,470,430,390,400,500,460,450,490,570,470,520,490,540,510,550,550,690,710,1150,960,1090,1290,1340,1380,1580
LDER,200,310,340,300,,240,230,230,,150,140,270,,340,240,220,,230,210,100,,150,100,250,,280,240,220,170,140,140,80,160,200,220,230,200,250,230,270,220,90,80,260,390,760,640,740,860,890,1000,130
PZAT,3510,3030,2710,3230,,3720,3840,3880,,5930,6340,3230,,2710,3670,3910,,3310,3370,7880,,4540,6480,2860,,2720,2970,3410,4059,4880,4650,8600,4070,3090,2700,2800,3110,2520,2570,2460,3340,8060,8550,2870,1800,1060,1200,1460,1470,1550,1440,12020
PELDR,1550,1370,1370,1320,,1390,1410,1370,,1270,1300,1450,,1440,1410,1360,,1600,1740,1390,,1620,1680,1730,,1670,1740,1630,1550,1560,1620,1480,1670,1800,1900,1780,1790,1850,1940,1800,1600,1480,1510,1580,1880,1570,1480,1240,1190,1150,1180,630
TSF,740,750,750,750,,740,750,710,,670,670,760,,780,770,820,,820,850,720,,750,780,830,,840,850,820,810,810,810,710,790,820,820,780,810,820,820,820,800,700,690,750,810,810,840,830,810,810,840,440
ZKO,740,960,990,1000,,880,850,910,,910,880,870,,920,850,810,,680,590,720,,770,540,630,,680,600,640,630,590,570,640,590,570,570,640,580,610,570,640,670,670,650,770,730,1110,1120,1580,1790,1930,2009,2020
OSF,940,990,1000,1000,,970,960,980,,980,970,970,,970,940,900,,890,830,910,,1080,810,870,,880,850,860,830,800,810,880,860,850,890,930,870,900,900,900,880,910,910,960,980,990,1010,1120,1140,1170,1180,1120
NetDebt,97289000000,168397000000,176316000000,167770000000,,161841000000,159661000000,171117000000,,162992000000,158259000000,149789000000,,169533000000,141470000000,118736000000,,100721000000,77948000000,119887000000,,144822000000,96276000000,117338000000,,133302000000,101697000000,109416000000,118038000000,95581000000,91441000000,104315000000,97903000000,83573000000,85773000000,130118000000,136853000000,156810000000,125676000000,164756000000,197311000000,199094000000,186904000000,285270000000,328400000000,530336000000,529048000000,638122000000,752440000000,774798000000,817888000000,902550000000
NetDebtEBITDA,2280,5230,6270,7350,,6150,6350,7150,,8850,6830,5070,,6820,4880,3040,,1680,1260,1930,,2660,1430,2080,,2140,2080,2050,2210,1670,1430,1430,1230,940,870,1210,1260,1420,1090,1520,1770,1690,1440,1970,2100,3170,3210,4100,5120,6170,7980,7980
DebtFin,-14320000000,75603000000,-11138000000,85358000000,,78651000000,77953000000,83565000000,,92922000000,78242000000,88487000000,,87667000000,55306000000,49276000000,,40625000000,26977000000,30561000000,,71948000000,34962000000,36888000000,,58782000000,27010000000,25871000000,38055000000,32575000000,21867000000,4773000000,8941000000,-5811000000,-15047000000,-1892000000,37761000000,44573000000,22638000000,61177000000,73791000000,81632000000,53150000000,129461000000,176388000000,324369000000,338411000000,420542000000,488307000000,521152000000,599638000000,634149000000
DebtFinEBITDA,-340,2350,-400,3740,,2990,3100,3490,,5050,3380,3000,,3530,1910,1260,,680,440,490,,1320,520,650,,940,550,490,710,570,340,70,110,-70,-150,-20,350,400,200,570,660,690,410,900,1130,1940,2050,2700,3320,4150,5850,5600
SP1,1270,1030,1010,1000,,1100,1130,1080,,1080,1110,1110,,1050,1100,1110,,1310,1400,1270,,1410,1490,1390,,1310,1410,1340,1320,1370,1420,1370,1440,1500,1550,1450,1490,1480,1570,1410,1320,1360,1400,1250,1350,890,900,710,640,610,590,550
SP2,1530,1350,1350,1300,,1370,1380,1330,,1240,1260,1410,,1420,1370,1360,,1600,1690,1390,,1620,1640,1730,,1670,1740,1630,1550,1560,1620,1480,1670,1800,1900,1780,1790,1850,1940,1800,1600,1480,1510,1580,1880,1570,1480,1240,1190,1140,1180,630
CAR,150,150,100,50,,70,30,50,,120,120,140,,160,180,170,,470,570,260,,70,310,400,,350,630,470,210,340,480,440,550,810,950,610,340,500,660,410,200,250,350,240,240,440,250,150,170,190,170,40
QR,1150,900,880,800,,830,820,770,,730,680,850,,1130,1050,1170,,1630,1750,840,,910,1250,1510,,1720,1940,1490,1390,1520,1640,1160,1560,2000,2100,1580,1680,1850,2130,1810,1450,1150,1200,1460,2230,1950,1970,1270,1100,940,1090,270
CR,1990,1780,1780,1670,,1750,1810,1620,,1390,1420,1910,,2080,1980,2280,,2780,3480,1720,,1860,2460,3220,,3230,3500,2880,2670,2660,2710,1850,2560,3210,3190,2630,3010,3170,3320,3160,2600,1780,1790,2110,3090,2620,2690,1950,1700,1550,1800,540
PP,450,150,100,70,,110,60,70,,140,140,210,,170,190,190,,570,810,270,,120,360,460,,360,680,500,310,460,560,470,630,930,1040,690,490,540,840,510,230,280,390,240,320,450,290,200,190,250,240,50
RCLR,730,780,800,760,,760,800,750,,630,590,720,,1010,940,970,,1050,1100,570,,780,950,1040,,1350,1220,960,1050,1030,1040,680,910,1060,1030,870,1170,1280,1260,1270,1180,860,800,1210,1890,1490,1660,1060,900,680,840,230
KP,260,200,190,170,,200,210,180,,130,140,220,,230,220,220,,310,350,200,,200,310,360,,340,370,330,300,300,320,240,320,370,390,350,360,380,400,370,310,230,240,280,380,300,270,160,130,100,130,-260
PKKO,360,310,300,250,,290,280,230,,160,180,280,,330,290,300,,470,560,310,,330,460,530,,470,500,420,400,400,440,320,430,510,540,460,450,480,510,440,370,290,310,360,560,550,510,330,280,230,280,-570
RN,5740,5000,4920,5140,5230,5250,5380,5340,5280,5380,5410,5650,5760,5590,5750,5870,5920,6320,6430,6470,6440,6210,5860,5590,5890,5860,6180,6380,6280,6500,6410,6390,6540,6750,7060,7210,6980,6630,6490,6200,6140,6050,5950,5360,4510,4030,3570,3630,3980,4450,5070,5350
CRN,64000,73000,74000,71000,70000,70000,68000,68000,69000,68000,67000,65000,63000,65000,63000,62000,62000,58000,57000,56000,57000,59000,62000,65000,62000,62000,59000,57000,58000,56000,57000,57000,56000,54000,52000,51000,52000,55000,56000,59000,59000,60000,61000,68000,81000,90000,102000,101000,92000,82000,72000,68000
CPZ,87000,96000,97000,93000,89000,90000,87000,89000,90000,94000,103000,101000,99000,87000,72000,64000,63000,59000,54000,68000,68000,77000,83000,72000,68000,57000,49000,49000,51000,53000,56000,63000,63000,61000,58000,53000,51000,51000,50000,47000,48000,55000,64000,69000,71000,69000,66000,67000,74000,80000,84000,136000
RZ,3600,3450,3350,3470,3500,3490,3510,3560,3560,3790,3780,3600,3640,3560,3760,3940,3820,3770,3360,3070,3140,2960,3020,2850,3010,3090,3190,3440,3390,3490,3600,3860,4010,4010,4110,4030,3900,3830,3880,3840,3930,4210,4330,4620,4710,4690,4710,4600,4650,4520,4440,4059
CRZ,101000,106000,109000,105000,104000,105000,104000,103000,103000,96000,97000,101000,100000,103000,97000,93000,95000,97000,109000,119000,116000,123000,121000,128000,121000,118000,114000,106000,108000,105000,101000,95000,91000,91000,89000,91000,94000,95000,94000,95000,93000,87000,84000,79000,78000,78000,78000,79000,78000,81000,82000,90000
RMO,2110,2100,2150,2270,2340,2350,2400,2400,2370,2450,2410,2340,2390,2390,2560,2730,2750,2680,2380,2210,2200,2200,2220,2090,2210,2200,2240,2340,2340,2370,2400,2440,2440,2410,2420,2410,2400,2400,2440,2440,2510,2600,2660,2630,2400,2230,2120,2130,2250,2380,2500,2490
RMT,2240,1920,1790,1840,1820,1860,1950,2060,2040,2110,2100,2040,2080,2040,2090,2050,2070,2100,2009,2070,2060,2080,2200,2200,2320,2330,2340,2370,2310,2290,2290,2380,2510,2650,2840,2970,3000,3050,3120,3060,2990,3010,2970,2900,2840,2470,2090,1700,1410,1230,1100,1070
RM,1090,1000,980,1010,1020,1040,1080,1110,1100,1130,1120,1090,1110,1100,1150,1170,1180,1170,1080,1060,1050,1030,1070,1040,1090,1130,1150,1180,1160,1170,1170,1210,1240,1260,1310,1330,1330,1340,1370,1360,1370,1390,1400,1380,1300,1170,1050,940,870,810,770,750
COP,165000,179000,183000,176000,174000,175000,172000,171000,172000,164000,164000,166000,163000,168000,160000,155000,157000,155000,166000,175000,173000,182000,183000,193000,183000,180000,173000,163000,166000,161000,158000,152000,147000,145000,141000,142000,146000,150000,150000,154000,152000,147000,145000,147000,159000,168000,180000,180000,170000,163000,154000,158000
CSP,78000,83000,86000,83000,85000,85000,85000,82000,82000,70000,61000,65000,64000,81000,88000,91000,94000,96000,112000,107000,105000,105000,100000,121000,115000,123000,124000,114000,115000,108000,102000,89000,84000,84000,83000,89000,95000,99000,100000,107000,104000,92000,81000,78000,88000,99000,114000,113000,96000,83000,70000,22000
