,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CG_qq,,,,,41.69,-3.41,-2.85,-2.84,-6.26,4.70,-4.87,5.06,10.52,1.66,-1.30,0.44,1.50,104.13,-6.79,-14.30,-5.85,0.57,-9.15,-9.51,-5.28,0.25,1.36,-2.29
CG_sq,,,,,10.57,-9.47,-6.43,-10.04,33.93,-3.30,-0.11,-0.22,0.79,10.07,-4.94,13.61,-0.32,13.72,-3.22,2.35,-1.19,4.00,5.40,-9.51,-2.44,4.45,-5.54,0.02
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-32.27,-9.56,,,14.84,,21.71,-9.48,-15.57,-15.01,-4.70,8.02,12.87,17.40,9.43,-4.68,101.33,83.41,59.11,48.27,-33.22,-32.61,-26.53,-21.24,-18.80,-17.70,-11.07
LDER_sy,,7.05,23.55,,,-7.07,,11.91,39.37,15.67,37.67,40.93,-3.57,17.81,-0.03,10.22,14.47,21.77,31.94,28.55,22.44,2.21,-2.55,-8.62,-1.41,-0.10,-3.05,-0.14
LDER_qq,,,,,30.61,-1.50,-2.33,-3.14,-2.86,-8.13,-1.69,8.62,10.11,-4.00,2.26,1.24,-4.09,102.76,-6.84,-12.17,-10.63,-8.68,-5.98,-4.25,-4.20,-5.85,-4.71,3.47
LDER_sq,,,,,11.18,5.47,-4.31,-0.26,38.46,-12.47,13.90,2.09,-5.25,6.93,-3.35,12.56,-1.60,13.75,4.73,9.66,-6.28,-5.04,-0.16,2.83,1.12,-3.78,-3.10,5.92
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,29.03,4.91,,,-5.81,,-10.38,1.00,9.29,10.60,2.84,-3.83,-6.81,-10.55,-3.36,9.21,-33.98,-30.62,-25.51,-24.24,28.48,29.01,23.05,16.76,12.80,16.03,13.78
PZAT_sy,,9.86,0.86,,,-21.94,,-21.91,-39.90,-3.13,-13.42,-27.43,21.02,-14.87,14.78,-0.42,-18.30,-5.00,-16.11,4.34,13.10,8.00,23.48,12.78,-1.53,3.75,1.83,3.65
PZAT_qq,,,,,-12.10,0.89,-0.05,1.10,-0.93,9.17,1.14,-5.99,-7.35,5.79,-2.91,1.56,4.70,-36.05,2.02,9.05,6.47,8.47,2.44,4.01,1.03,4.79,5.37,1.99
PZAT_sq,,,,,-5.95,-22.40,-9.94,18.81,-27.61,25.07,-19.51,-0.42,20.71,-12.01,8.53,-13.61,-0.96,2.31,-4.16,7.45,7.35,-2.31,9.57,-1.85,-6.27,2.93,7.55,-0.10
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,0.05,2.49,,,-7.43,,-7.94,4.54,1.61,-0.68,0.67,-0.77,-1.34,-0.51,-1.96,-4.61,0.55,-1.30,0.42,1.89,-4.71,-1.84,-2.27,-0.86,4.88,0.89,-5.23
PELDR_sy,,-0.94,4.55,,,-3.87,,1.48,5.80,1.78,0.41,1.23,-3.63,0.16,0.67,-2.23,3.22,-2.22,-2.47,-2.92,-3.72,-1.75,-4.44,-4.21,-3.47,-2.85,1.58,0.56
PELDR_qq,,,,,-9.47,-0.76,1.46,1.00,2.79,-3.54,-0.83,2.37,1.32,-4.09,0.01,0.88,-1.42,1.10,-1.83,2.64,0.03,-5.46,1.13,2.18,1.48,0.02,-2.72,-4.02
PELDR_sq,,,,,-3.22,3.10,2.80,-1.06,0.90,-0.82,1.42,-0.26,-3.94,3.07,1.93,-3.12,1.41,-2.36,1.68,-3.58,0.58,-0.36,-1.11,-3.34,1.35,0.28,3.40,-4.31
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-1.61,3.40,,,-2.43,,-3.93,3.46,-2.10,-1.04,-0.73,-3.56,-1.19,-1.40,-1.69,-2.54,-9.43,-9.80,-7.17,-6.63,-1.45,0.48,0.94,3.59,5.41,0.13,-1.11
TSF_sy,,2.66,3.04,,,0.98,,6.22,1.04,0.88,1.35,2.34,-2.23,2.21,-3.89,-3.55,0.60,-4.22,4.27,0.47,3.68,-1.83,-3.48,-1.97,-4.78,-0.32,-2.21,-3.62
TSF_qq,,,,,-5.52,1.03,0.46,0.19,1.75,-4.40,1.55,0.50,-1.15,-2.04,1.32,0.20,-2.01,-8.96,0.90,3.13,-1.44,-3.90,2.87,3.61,1.15,-2.22,-2.28,2.32
TSF_sq,,,,,3.50,-2.98,4.71,1.02,-1.55,-3.13,5.20,2.01,-5.94,1.27,-1.08,2.37,-1.90,-3.58,7.69,-1.37,1.24,-8.71,5.88,0.17,-1.66,-4.44,3.87,-1.26
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-19.72,-5.34,,,43.87,,45.50,-15.88,-21.39,-9.33,-8.79,-3.77,8.63,5.12,7.78,11.60,-4.95,-4.90,-6.46,-11.54,-1.38,-5.77,-1.05,2.74,-9.98,-9.06,16.68
ZKO_sy,,-23.17,11.24,,,6.44,,31.58,-5.86,9.49,21.04,7.04,-9.56,-8.04,-13.61,5.01,16.22,21.69,34.48,15.18,23.46,1.95,8.39,6.91,-5.29,-1.29,-12.36,-14.15
ZKO_qq,,,,,55.02,5.27,-5.10,-6.04,-10.38,-1.63,9.46,-5.49,-5.45,11.05,5.93,-3.10,-2.10,-5.42,5.99,-4.68,-7.42,5.44,1.27,0.09,-3.87,-7.62,2.30,28.42
ZKO_sq,,,,,50.07,-12.72,-10.45,12.18,7.38,1.51,-1.00,-0.80,-9.27,3.21,-7.00,20.58,0.41,8.08,2.77,3.27,7.63,-10.76,9.26,1.87,-4.65,-6.98,-3.00,-0.21
OSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-7.14,0.15,,,27.40,,25.76,-8.66,-15.72,-4.89,-6.60,-7.06,3.00,-0.73,2.63,8.15,-28.20,-26.50,-21.61,-22.08,12.53,9.71,9.90,11.96,2.09,-1.61,15.27
OSF_sy,,3.46,-11.35,,,0.30,,-6.59,-7.47,7.11,20.43,13.56,3.34,10.51,5.82,6.40,2.27,4.10,2.60,7.63,13.40,-0.91,6.90,5.16,-4.90,-6.90,-1.67,-21.89
OSF_qq,,,,,28.48,5.57,-3.32,-4.10,-6.69,-2.59,9.11,-5.83,-7.14,7.95,5.17,-2.64,-2.15,-28.33,7.66,3.84,-2.75,3.50,4.96,4.02,-0.92,-5.62,1.15,21.86
OSF_sq,,,,,14.15,-15.79,-8.59,6.31,13.07,-2.52,2.77,0.24,2.90,4.24,-1.58,0.79,-1.09,6.11,-3.00,5.72,4.21,-7.28,4.65,4.00,-5.76,-9.23,10.53,-17.38
NetDebt,2058981000000,1684889000000,1601697000000,1251283000000,2321983000000,2295533000000,2288229000000,2221673000000,2096075000000,2161002000000,2253652000000,2294934000000,2456109000000,2597103000000,2709485000000,2670626000000,2733725000000,2629225000000,2635504000000,2246271000000,2060330000000,2229928000000,2200259000000,1896954000000,1763738000000,1833451000000,1928774000000,1769439000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,35.88,-1.71,,,38.63,,54.39,-23.20,0.40,4.01,19.41,78.17,71.59,82.26,88.55,32.78,-135.80,-132.68,-126.20,-125.90,307.16,316.72,320.32,317.16,-1.96,12.06,50.33
NetDebtEBITDA_sy,,-0.12,-4.44,,,13.38,,16.15,75.37,37.10,34.69,55.05,55.53,9.13,-9.47,20.79,0.84,-34.40,-32.38,-41.55,-31.67,135.34,144.39,82.90,41.39,-32.55,-17.53,20.21
NetDebtEBITDA_qq,,,,,81.69,-11.96,2.87,-6.18,-9.61,15.09,6.57,7.72,34.86,10.84,13.20,11.44,-5.03,-129.89,-3.33,10.66,6.12,339.05,8.10,-9.18,-7.47,7.92,23.55,21.84
NetDebtEBITDA_sq,,,,,-12.63,57.98,1.08,-16.75,31.91,23.50,-0.69,-4.16,32.31,-13.34,-17.61,27.87,10.46,-43.63,-15.07,10.52,29.13,94.17,-11.81,-17.29,-0.18,-7.36,7.83,20.56
DebtFin,1148779000000,853255000000,869479000000,562149000000,1006344000000,1007639000000,1008620000000,932416000000,824895000000,687110000000,780881000000,787099000000,905912000000,963396000000,1154039000000,1182562000000,1107463000000,1008459000000,1019298000000,896940000000,617261000000,664777000000,697830000000,581936000000,372826000000,334983000000,347594000000,316136000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,23.33,5.36,,,12.10,,44.22,-30.26,-27.27,-18.24,-2.41,66.98,100.18,124.03,143.43,45.84,-137.02,-129.68,-123.63,-119.16,261.02,277.73,269.26,253.20,-39.91,-36.32,-12.45
DebtFinEBITDA_sy,,-69.98,415.73,,,96.87,,1006.50,826.91,-1.24,55.01,14.09,53.58,29.31,3.48,136.46,20.04,-82.14,-70.29,-60.83,-59.00,693.19,633.63,150.15,125.28,-2.97,-44.04,16.28
DebtFinEBITDA_qq,,,,,75.28,-10.83,3.30,-10.67,-15.24,-7.02,16.14,6.62,45.02,11.47,29.97,15.86,-13.12,-128.29,-4.20,7.76,29.56,337.84,15.01,-12.15,-36.24,-6.71,21.87,20.79
DebtFinEBITDA_sq,,,,,-105.49,803.16,-27.98,-12.89,64.78,-4.47,13.03,-35.88,121.81,-19.56,-9.54,46.51,12.60,-88.03,50.48,93.19,17.85,131.52,39.18,-34.13,6.13,-0.28,-19.72,36.87
SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,15.66,5.80,,,-11.44,,-13.57,8.59,7.22,4.89,2.40,-3.41,-5.18,-5.55,-4.77,-3.10,-24.46,-22.71,-16.19,-11.92,14.09,16.41,11.06,8.97,13.42,8.22,-1.20
SP1_sy,,13.63,-3.14,,,-9.99,,-18.64,-14.89,-2.48,-6.15,-6.05,3.50,-2.14,1.42,-1.60,-6.35,-9.25,-9.07,-10.69,-7.73,-0.80,-1.60,4.75,2.77,3.28,7.58,0.97
SP1_qq,,,,,-17.13,0.29,1.89,2.06,4.12,-0.98,-0.32,-0.35,-1.79,-2.79,-0.71,0.46,-0.06,-24.22,1.58,8.94,5.04,-1.85,3.64,3.93,3.06,2.16,-1.11,-5.11
SP1_sq,,,,,-9.62,-9.93,2.28,-2.28,-5.45,3.20,-1.57,-2.18,4.16,-2.43,2.02,-5.09,-0.87,-5.44,2.21,-6.78,2.41,1.66,1.39,-0.77,0.47,2.16,5.62,-6.86
SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,0.05,2.48,,,-7.42,,-8.27,5.10,1.61,-0.32,0.85,-0.96,-1.53,-0.69,-1.96,-4.61,0.44,-1.43,0.31,1.86,-4.57,-1.60,-1.98,-0.64,5.04,0.94,-5.23
SP2_sy,,-1.54,4.59,,,-7.67,,-0.64,5.13,1.17,-1.43,-4.55,-1.67,4.03,5.46,3.87,1.59,-0.94,-3.34,-0.34,-1.70,-6.58,-3.75,-5.21,-4.05,-0.29,1.85,-0.75
SP2_qq,,,,,-9.96,-0.22,1.09,1.00,3.17,-3.54,-0.83,2.18,1.32,-4.09,0.02,0.87,-1.42,0.99,-1.84,2.65,0.10,-5.38,1.22,2.25,1.47,0.03,-2.73,-4.01
SP2_sq,,,,,-4.92,1.24,2.90,0.30,0.61,-2.57,0.25,-2.86,3.64,3.08,1.63,-4.32,1.35,0.52,-0.83,-1.35,-0.03,-4.47,2.16,-2.85,1.20,-0.73,4.35,-5.32
CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,-16.41,-2.56,,,-39.88,,-64.32,9.59,16.90,-23.79,-2.99,-5.95,-26.52,-17.08,-40.51,-47.44,3.05,13.49,52.32,93.45,-9.27,-21.94,-13.92,-2.71,16.77,37.76,-3.61
CAR_sy,,-15.66,-15.74,,,34.22,,-12.45,66.37,17.58,120.23,18.99,-9.54,-22.47,-22.50,-32.10,24.12,3.63,-25.67,20.97,-1.45,-9.46,22.37,2.41,7.28,39.31,-19.65,-23.40
CAR_qq,,,,,-60.05,-13.44,-6.84,10.74,22.72,-7.67,-39.26,40.97,18.98,-27.87,-31.46,1.14,5.13,41.40,-24.52,35.74,33.52,-33.68,-35.06,49.69,50.89,-20.40,-23.39,4.74
CAR_sq,,,,,-50.91,54.52,-23.57,51.00,-6.71,9.20,43.17,-18.42,-29.08,-6.41,43.10,-28.52,29.65,-21.86,2.64,16.34,5.62,-28.21,38.73,-2.63,10.64,-6.78,-19.99,-7.18
QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,-4.18,11.05,,,-39.01,,-50.18,36.82,11.62,4.29,8.49,-8.77,-9.73,-7.20,-8.38,-21.35,11.97,8.17,8.60,19.92,-9.99,-0.57,-2.95,-0.63,16.62,2.54,-23.93
QR_sy,,-30.62,-6.85,,,-1.18,,11.07,31.61,-7.82,-19.20,-24.51,-8.81,17.96,42.04,18.06,7.44,-3.83,-5.57,0.74,2.81,-6.70,-16.66,-12.56,-6.37,1.62,-8.56,-10.17
QR_qq,,,,,-52.88,-0.25,-0.03,6.03,29.39,-18.62,-6.59,10.29,8.81,-19.48,-3.97,8.90,-6.60,14.64,-7.24,9.33,3.13,-13.95,2.47,6.72,5.60,0.99,-9.90,-20.84
QR_sq,,,,,-24.01,18.83,22.68,0.27,-9.96,-16.77,7.53,-6.32,8.76,7.67,29.48,-22.14,-1.02,-3.62,27.14,-16.94,1.02,-12.54,13.57,-12.85,8.17,-5.08,2.19,-14.39
CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,-2.07,18.16,,,-34.38,,-39.49,33.38,8.59,-1.93,3.88,-9.13,-7.21,-3.62,-10.04,-20.09,2.09,-3.66,0.27,7.62,-13.33,-5.61,-6.98,-1.92,16.19,3.25,-20.13
CR_sy,,-19.02,13.31,,,-16.43,,-2.48,9.04,3.32,-4.61,-19.55,-3.21,9.84,19.25,8.91,-13.17,-6.21,1.68,-0.48,0.46,-16.55,-21.54,-16.99,-6.96,-0.12,-2.72,-3.38
CR_qq,,,,,-45.51,-1.42,6.51,5.76,20.11,-19.75,-3.81,12.03,5.07,-18.05,-0.09,4.58,-6.67,4.70,-5.72,8.84,0.17,-15.68,2.68,7.26,5.62,-0.11,-8.77,-17.03
CR_sq,,,,,-12.32,-6.05,10.15,7.47,-1.96,-10.98,1.70,-9.36,17.95,1.02,10.41,-17.22,-5.97,9.13,19.70,-18.98,-5.08,-9.36,12.55,-14.28,6.39,-2.69,9.61,-14.86
PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,-6.94,7.93,,,-37.95,,-60.52,13.38,7.87,-19.84,-5.08,-11.20,-23.99,-16.49,-34.76,-50.47,-2.25,2.01,35.28,96.45,-7.69,-16.57,-11.00,-8.07,6.20,4.85,-20.99
PP_sy,,-48.89,0.91,,,25.92,,-4.71,14.11,5.08,28.92,2.62,-12.79,-20.32,-22.53,-32.09,11.68,-0.31,-8.80,10.26,-3.91,6.87,-9.38,12.33,12.51,1.17,7.70,-43.46
PP_qq,,,,,-57.77,-8.25,-5.59,7.95,21.27,-12.71,-29.85,27.83,13.45,-25.28,-22.93,-0.14,-13.87,47.46,-19.57,32.43,25.08,-30.71,-27.31,41.27,29.19,-19.96,-28.22,6.46
PP_sq,,,,,-22.55,4.23,15.20,2.47,-7.26,-4.01,41.33,-18.44,-21.18,-12.30,37.42,-28.50,29.61,-21.72,25.72,-13.56,12.96,-12.94,6.61,7.15,13.14,-21.72,13.49,-43.75
RCLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-26.68,19.89,,,-33.64,,-35.59,22.64,-14.95,10.98,12.44,-12.78,5.57,-0.97,-0.85,-12.87,-5.14,-23.98,3.79,-3.45,-4.23,22.37,14.33,26.97,33.43,4.37,0.27
RCLR_sy,,15.50,-6.71,,,-6.36,,39.18,-3.16,-4.60,-5.46,0.81,-5.24,-4.32,8.25,-12.81,-6.74,-2.83,-14.83,-7.42,12.53,8.31,-6.06,2.43,4.37,-9.05,-6.62,-29.36
RCLR_qq,,,,,-36.93,4.07,1.53,-3.35,20.10,-27.82,32.47,-2.08,-6.84,-12.64,24.27,-1.96,-18.13,-4.89,-0.41,33.86,-23.85,-5.66,27.24,25.07,-15.43,-0.86,-0.47,20.15
RCLR_sq,,,,,19.85,4.43,21.96,-8.81,-16.61,2.87,20.86,-2.77,-21.61,3.87,36.73,-21.69,-16.15,8.22,19.85,-14.87,1.93,4.15,3.95,-7.18,3.87,-9.25,6.72,-29.79
KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,-0.50,54.43,,,-106.72,,-84.35,2014.29,326.83,-52.94,50.74,-22.89,-138.71,-245.83,-80.98,-125.81,102.78,-300.00,51.28,182.50,-35200.00,-90.71,-266.10,-72.73,104.84,26.59,-443.88
KP_sy,,-43.02,45.21,,,-50.21,,-7.05,65.98,6.21,-27.34,-66.59,-22.28,39.44,108.69,167.56,4.90,-24.66,-36.11,-22.33,-18.48,-71.34,-44.63,-88.97,-58.64,-14.18,-30.75,-125.53
KP_qq,,,,,-102.42,-95.24,224.39,166.67,195.59,-76.87,-74.19,754.17,51.22,-111.61,2.78,211.43,-305.13,101.25,-14100.00,142.14,11.86,-631.82,23.93,63.30,118.37,-5.56,-1252.94,-171.94
KP_sq,,,,,-41.21,7.99,60.62,-8.84,4.97,-30.90,9.89,-58.08,144.15,23.98,64.46,-46.25,-4.28,-10.95,39.47,-34.66,0.47,-68.69,169.40,-86.98,276.60,-35.03,117.39,-104.80
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,-9.99,42.82,,,-108.00,,-81.84,2049.32,325.71,-54.29,45.18,-28.39,-136.71,-233.75,-83.78,-121.69,100.86,-56.07,-37.27,135.75,-83100.00,-274.25,-426.09,-46.84,104.82,21.28,-442.22
PKKO_sy,,-68.27,-0.05,,,-96.98,,-50.63,2049.32,112.70,-63.83,73.08,-35.38,208.21,93.75,-79.14,-69.71,56.66,-189.08,-183.43,-71.63,-134.62,130.64,79.43,117.72,221.88,-101.82,-475.86
PKKO_qq,,,,,-102.84,-91.78,225.00,166.86,204.71,-77.79,-74.68,747.50,50.29,-111.38,7.76,202.80,-300.91,100.45,-16800.00,141.32,14.49,-1150.63,24.70,64.00,118.67,-4.76,-1330.00,-147.97
PKKO_sq,,,,,-107.70,143.15,812.70,62.78,204.06,-95.29,55.22,678.85,13.52,-77.54,-2.42,-16.13,64.79,16.16,-155.49,21.45,156.03,-241.77,149.11,-152.73,693.10,-20.64,-100.73,-16600.00
RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,13.16,9.09,,,11.89,,11.31,8.31,2.24,-3.49,-8.89,-13.92,-19.08,-15.30,-11.47,-1.56,3.58,6.62,4.88,1.58,1.27,-7.34,-10.64,-14.47,-15.68,-14.82,-11.90
RN_sy,,-1.33,7.97,,,3.36,,-4.71,-10.90,-10.30,-0.75,-9.43,-10.27,-11.31,-14.97,-12.99,-3.83,-2.84,-1.08,7.77,4.81,12.72,2.69,1.66,-4.88,-11.42,9.97,17.29
RN_qq,,,,,2.19,6.77,0.82,1.19,-0.56,0.78,-4.83,-4.47,-6.06,-5.26,-0.39,-0.15,4.47,-0.31,2.54,-1.78,1.19,-0.63,-6.18,-5.28,-3.15,-2.03,-5.22,-2.04
RN_sq,,,,,6.00,-1.38,-8.02,-0.90,-0.88,-0.71,1.78,-9.57,-1.81,-1.87,-2.42,-7.46,8.53,-0.87,-0.65,0.82,5.56,6.61,-9.49,-0.19,-1.24,-0.72,12.38,6.45
CRN,43000,38000,35000,34000,34000,31000,31000,31000,31000,31000,32000,34000,36000,38000,38000,38000,37000,37000,36000,36000,36000,36000,39000,41000,42000,43000,45000,46000
CRN_yy,,-11.63,-7.89,,,-11.43,,-8.82,-8.82,,3.23,9.68,16.13,22.58,18.75,11.76,2.78,-2.63,-5.26,-5.26,-2.70,-2.70,8.33,13.89,16.67,19.44,15.38,12.20
CRN_sy,,1.96,-6.73,,,-4.12,,5.10,13.04,,1.96,10.68,10.58,11.43,9.62,3.51,4.35,3.42,7.02,1.69,-5.00,-10.74,-3.28,-1.67,5.26,11.11,-8.47,-13.56
CRN_qq,,,,,,-8.82,,,,,3.23,6.25,5.88,5.56,,,-2.63,,-2.70,,,,8.33,5.13,2.44,2.38,4.65,2.22
CRN_sq,,,,,,1.09,,,,,-0.95,9.62,0.88,1.74,,,1.69,,0.83,,,,9.26,,1.69,,-10.00,-5.56
CPZ,99000,120000,91000,89000,104000,111000,113000,122000,117000,121000,124000,126000,138000,144000,145000,145000,144000,146000,153000,154000,154000,156000,158000,162000,158000,150000,156000,159000
CPZ_yy,,21.21,-24.17,,,21.98,,37.08,12.50,9.01,9.73,3.28,17.95,19.01,16.94,15.08,4.35,1.39,5.52,6.21,6.94,6.85,3.27,5.19,2.60,-3.85,-1.27,-1.85
CPZ_sy,,13.46,-25.42,,,7.39,,-9.22,-17.11,2.12,2.53,13.20,13.76,6.22,-13.79,-20.18,-18.60,-7.80,11.43,12.36,16.57,-4.76,-4.62,-5.00,-8.82,20.56,15.05,18.95
CPZ_qq,,,,,16.85,6.73,1.80,7.96,-4.10,3.42,2.48,1.61,9.52,4.35,0.69,,-0.69,1.39,4.79,0.65,,1.30,1.28,2.53,-2.47,-5.06,4.00,1.92
CPZ_sq,,,,,5.07,-17.11,4.76,-0.51,-4.06,2.12,5.18,9.85,-3.59,-4.65,-14.63,,-1.69,8.00,3.17,2.56,,-11.76,3.33,2.15,-2.11,16.67,-1.38,5.61
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,-20.14,-29.20,,,-6.66,,-36.66,-31.25,-22.17,-14.04,2.92,7.23,2.65,1.15,5.73,10.08,101.26,117.51,119.60,141.88,-21.19,-20.49,-21.25,-28.76,22.97,6.39,-0.69
RZ_sy,,-7.13,-41.39,,,-1.61,,68.79,2.15,-19.06,-36.07,-32.52,-16.53,13.74,33.67,49.03,55.13,95.33,66.13,6.12,54.57,2.14,-8.75,37.23,-4.23,51.79,15.67,14.03
RZ_qq,,,,,-11.45,-9.37,-7.33,-14.83,-3.89,2.61,2.35,1.98,0.13,-1.78,0.85,6.59,4.26,79.57,9.00,7.62,14.84,-41.49,9.96,6.60,3.88,0.99,-4.87,-0.50
RZ_sq,,,,,31.14,10.12,23.94,-5.70,-20.63,-12.74,-2.11,-0.47,-1.83,18.91,15.04,10.97,2.19,49.72,-2.16,-29.11,48.85,-1.06,-12.59,6.60,3.88,56.82,-33.39,5.09
CRZ,15000,18000,26000,22000,25000,28000,30000,35000,36000,35000,35000,34000,34000,34000,34000,32000,31000,17000,16000,15000,13000,22000,20000,19000,18000,18000,19000,19000
CRZ_yy,,20.00,44.44,,,7.69,,59.09,44.00,25.00,16.67,-2.86,-5.56,-2.86,-2.86,-5.88,-8.82,-50.00,-52.94,-53.12,-58.06,29.41,25.00,26.67,38.46,-18.18,-5.00,
CRZ_sy,,5.88,83.33,,,-1.52,,-40.00,-2.86,21.54,59.62,45.61,26.47,-13.92,-57.83,-59.04,-39.53,-47.06,2.86,47.06,-25.00,,11.11,-24.00,-7.69,-27.78,-15.00,
CRZ_qq,,,,,13.64,12.00,7.14,16.67,2.86,-2.78,,-2.86,,,,-5.88,-3.12,-45.16,-5.88,-6.25,-13.33,69.23,-9.09,-5.00,-5.26,,5.56,
CRZ_sq,,,,,-26.32,-7.14,-20.00,9.62,19.30,16.18,,,,,,-2.86,52.94,-30.77,,38.89,-22.00,-7.69,11.11,-5.00,-5.26,,30.77,
RMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,-15.28,10.67,,,3.81,,16.20,8.82,-3.55,-6.53,-11.48,-15.64,-13.15,-11.27,-6.83,7.48,7.78,3.34,-0.05,-7.77,-3.78,-0.22,0.41,5.04,4.51,-0.83,2.34
RMO_sy,,-8.31,10.11,,,10.73,,9.04,0.49,-11.07,-13.93,-13.14,-13.72,-10.02,-5.71,-5.66,-2.72,2.26,-0.25,2.32,13.90,9.72,6.03,1.38,-18.46,-22.06,-5.30,-8.42
RMO_qq,,,,,3.86,6.87,1.77,2.87,-2.74,-5.27,-1.37,-2.58,-7.32,-2.47,0.76,2.30,6.92,-2.20,-3.40,-1.05,-1.34,2.03,0.18,-0.43,3.21,1.52,-4.94,2.76
RMO_sq,,,,,4.52,6.29,-0.01,-1.85,-3.67,-5.94,-3.22,-0.94,-4.32,-1.89,1.41,-0.89,-1.34,3.13,-1.08,1.67,9.82,-0.66,-4.41,-2.78,-11.67,-5.04,16.14,-5.99
RMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,-7.39,5.57,,,-12.75,,-12.53,-7.96,-3.91,-3.40,-0.23,-3.51,-6.85,-5.04,-3.01,4.18,16.94,23.90,33.23,43.51,29.85,18.06,4.02,-8.29,-6.08,-8.01,-6.69
RMT_sy,,0.53,11.71,,,-0.96,,15.73,3.06,-21.22,-20.08,-22.27,-19.12,-10.88,-7.27,-3.50,-7.56,-6.40,-2.76,0.36,7.34,6.01,-3.10,-6.53,-4.94,-7.08,-1.98,-4.90
RMT_qq,,,,,-5.17,-3.71,-0.81,-3.42,-0.21,0.52,-0.29,-0.25,-3.49,-2.96,1.65,1.89,3.66,8.93,7.70,9.55,11.66,-1.44,-2.08,-3.48,-1.55,0.93,-4.09,-2.09
RMT_sq,,,,,5.92,17.83,-5.18,-2.21,-5.67,-9.93,-3.80,-4.89,-1.85,-0.76,0.09,-1.02,-5.97,0.49,3.98,2.15,0.56,-0.75,-4.96,-1.46,2.27,-2.99,0.25,-4.39
RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,-8.94,6.54,,,-10.06,,-8.20,-5.37,-3.85,-3.91,-2.09,-5.61,-7.92,-6.12,-3.68,4.74,15.25,19.78,26.01,31.26,22.04,13.87,3.19,-5.43,-3.82,-6.47,-4.83
RM_sy,,0.54,9.58,,,3.32,,21.63,9.77,-16.04,-16.92,-18.69,-16.50,-13.90,-5.36,-9.59,-10.08,-4.24,-7.05,-0.59,19.35,17.46,-2.83,-3.40,-15.70,-20.54,-5.47,-5.78
RM_qq,,,,,-3.56,-2.01,-0.40,-2.48,-0.59,-0.43,-0.46,-0.62,-4.17,-2.88,1.49,1.96,4.21,6.87,5.48,7.26,8.55,-0.63,-1.57,-2.80,-0.52,1.06,-4.28,-1.10
RM_sq,,,,,5.39,19.89,-3.41,-0.34,-4.88,-8.31,-4.42,-2.47,-2.31,-5.46,5.07,-6.82,-2.84,0.67,1.99,-0.35,16.65,-0.93,-15.62,-0.93,1.80,-6.62,0.38,-1.26
COP,58000,56000,61000,56000,59000,59000,61000,66000,67000,66000,67000,68000,70000,72000,72000,70000,68000,54000,52000,51000,49000,58000,59000,60000,60000,61000,64000,65000
