,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_yy,,-51.30,-5.34,,,28.25,,3.44,-15.07,-45.37,-27.59,-28.14,-70.14,-62.21,-70.00,-95.02,-57.66,-2394.61,-2958.13,-17187.94,-4753.49,113.17,112.43,112.10,111.91,-26.01,-50.73,-86.54
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,21.42,17.68,-25.30,-3.09,-0.31,-24.30,-0.99,-3.84,-58.57,-4.20,-21.38,-84.04,252.22,-5291.77,2.08,4.57,4.08,114.69,-7.52,-7.16,-5.55,-8.76,-38.42,-74.64
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,105.32,5.64,,,-22.03,,-3.32,17.75,83.04,38.10,39.17,234.90,164.64,233.29,1908.07,136.16,,,,,,,,,35.16,102.97,643.14
CZCurrent_sy,,-7.20,-10.96,,,8.66,,51.70,42.78,24.04,-12.53,-32.31,50.11,-27.32,-16.11,7.81,-58.92,,,,,,,,,-40.41,-20.41,62.99
CZCurrent_qq,,,,,-17.64,-15.02,33.86,3.19,0.31,32.10,1.00,3.99,141.40,4.38,27.19,526.52,-71.61,,,,,,8.13,7.71,5.88,9.60,62.38,294.37
CZCurrent_sq,,,,,11.05,29.03,13.35,-6.59,4.52,12.09,-20.07,-27.71,131.78,-45.73,-7.74,-7.10,-11.69,,,,,,-21.38,-25.06,11.46,-9.27,5.01,53.47
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-50.36,-5.59,,,3.21,,8.41,15.73,-24.10,-20.11,-30.38,-62.65,-58.88,-69.53,-83.05,-50.28,-1318.09,-1741.99,-3254.29,-1976.28,120.68,119.16,118.61,119.34,-21.90,-33.48,-60.58
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-4.41,23.85,-8.94,0.55,2.05,-18.78,-4.14,-12.37,-45.26,-10.58,-28.98,-51.24,60.54,-2290.87,4.26,6.33,4.50,124.15,-11.32,-8.99,-0.76,-2.48,-24.47,-46.08
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,101.46,5.92,,,-3.12,,-7.75,-13.59,31.76,25.17,43.62,167.76,143.19,228.22,489.88,101.13,,,,,,,,,28.04,50.33,153.71
CZOCurrent_sy,,5.01,-0.06,,,3.45,,4.84,-13.71,-15.94,-16.78,-27.68,57.35,-8.70,-19.25,19.30,-42.84,,,,,,,,,-33.90,-30.08,6.02
CZOCurrent_qq,,,,,4.61,-19.26,9.82,-0.56,-2.01,23.12,4.33,14.11,82.69,11.82,40.81,105.07,-37.71,,,,,,12.76,9.88,0.77,2.54,32.39,85.45
CZOCurrent_sq,,,,,10.13,-0.34,8.52,-11.98,-9.36,-2.91,7.43,-23.51,97.21,-43.66,-4.98,13.01,-5.51,,,,,,-9.06,-19.52,-3.91,-6.01,-3.80,22.02
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-19.63,1.34,,,11.27,,42.69,-11.88,-22.30,-15.32,-11.34,6.90,26.67,33.04,34.82,16.07,3.43,-8.97,-18.65,-33.67,-25.32,-23.50,-25.29,-25.31,-32.54,-33.47,-28.56
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,48.33,0.10,0.07,-3.97,-8.39,-11.74,9.05,0.55,10.46,4.58,14.53,1.90,-4.90,-6.80,0.80,-8.94,-22.45,4.92,3.26,-11.07,-22.47,-5.25,1.84,-4.52
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-11.38,-7.77,,,9.84,,29.05,-17.59,-25.19,-18.06,-11.53,8.23,30.60,33.09,31.88,6.48,-5.94,-12.30,-17.64,-28.43,-18.61,-16.25,-16.57,-16.75,-25.33,-24.40,-20.10
EVPCurrent_sy,,-32.40,-3.88,,,11.12,,18.41,-1.71,13.15,14.41,28.14,16.74,3.70,4.23,1.29,-6.12,29.42,27.03,19.48,21.47,-6.33,2.88,1.23,4.00,2.85,-7.28,-5.57
EVPCurrent_qq,,,,,44.65,-3.17,-0.62,-7.29,-7.63,-12.10,8.86,0.10,13.00,6.07,10.93,-0.81,-8.76,-6.31,3.43,-6.85,-20.72,6.54,6.43,-7.20,-20.89,-4.44,7.76,-1.92
EVPCurrent_sq,,,,,31.78,-10.69,2.74,-2.06,9.38,2.81,3.88,9.70,-0.35,-8.68,4.41,6.60,-7.63,25.89,2.48,0.27,-6.10,-2.92,12.55,-1.34,-3.53,-3.99,1.47,0.48
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,61.90,7.34,,,7.80,,31.62,-23.85,2.37,5.99,27.34,186.24,208.07,336.68,695.25,133.44,-108.49,-105.54,-102.58,-103.54,461.04,499.28,501.41,486.15,-13.63,0.02,81.24
EVEBITCurrent_sy,,-14.45,7.43,,,-3.16,,44.26,10.76,8.85,-8.75,-4.58,66.57,14.94,14.86,58.30,-2.92,-93.58,-95.12,-52.08,-37.13,2020.79,3238.32,76.36,5.62,-33.02,-25.99,24.80
EVEBITCurrent_qq,,,,,55.17,-19.18,9.89,-4.50,-10.23,8.66,13.77,14.75,101.79,16.95,61.26,108.97,-40.77,-104.25,-5.29,2.80,18.79,534.39,16.45,-2.29,-21.87,-2.84,34.84,77.07
EVEBITCurrent_sq,,,,,24.46,20.97,12.81,-15.07,-4.44,18.89,-5.43,-11.18,66.81,-17.96,-5.50,22.41,2.29,-94.58,-28.09,1100.86,34.21,83.00,13.19,-36.56,-19.62,16.05,25.07,6.97
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,33.46,4.78,,,7.63,,21.21,-26.76,-19.05,-12.65,2.49,62.54,80.86,101.67,118.45,38.46,-136.58,-130.59,-125.34,-122.80,282.39,298.60,294.91,289.47,-19.56,-14.95,15.13
EVEBITDACurrent_sy,,12.90,-6.54,,,-9.79,,52.97,21.19,43.63,19.14,4.53,29.15,-7.74,-2.14,18.27,4.15,-12.76,-21.56,-17.43,-4.05,100.69,90.56,31.87,6.29,-34.35,-25.49,3.97
EVEBITDACurrent_qq,,,,,45.24,-10.87,3.28,-9.34,-12.24,-1.48,11.44,6.36,39.19,9.62,24.27,15.21,-11.78,-128.96,-3.90,4.56,20.63,331.72,13.13,-6.33,-22.84,-1.62,19.61,26.81
EVEBITDACurrent_sq,,,,,23.80,7.55,15.68,-0.68,-1.92,27.46,-4.05,-12.86,21.18,-8.94,1.78,5.31,6.71,-23.73,-8.49,10.86,24.00,59.53,-13.11,-23.28,-0.05,-1.46,-1.39,7.05
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-57.00,-14.10,,,17.02,,-4.59,-21.66,-50.00,-33.81,-31.81,-70.64,-62.54,-70.18,-94.98,-57.14,-4741.86,-5727.54,-32237.04,-8439.58,111.57,111.08,111.21,111.14,-29.96,-51.78,-86.02
ROE_sy,,-29.07,-15.34,,,9.25,,-12.18,-21.66,-32.25,-29.77,-9.07,-44.04,6.98,27.68,-15.39,68.38,-24.79,-32.89,-33.57,-25.45,-7.80,10.71,87.54,34.33,35.92,7.05,-48.12
ROE_qq,,,,,17.78,17.86,-26.31,-6.74,-3.30,-24.77,-2.44,-3.93,-58.36,-4.02,-22.33,-83.83,255.56,-10495.83,5.83,7.67,7.73,114.43,-9.87,-6.53,-8.32,-9.30,-37.95,-72.91
ROE_sq,,,,,2.74,18.28,-20.53,-9.07,-8.35,2.29,-17.62,17.73,-43.59,95.55,-1.68,-21.99,12.26,-12.66,-12.26,-22.78,25.97,8.02,5.35,30.82,-9.77,9.31,-17.03,-36.60
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-51.13,-8.18,,,9.08,,-13.58,-16.21,-48.38,-31.13,-31.22,-72.31,-64.48,-71.86,-95.24,-57.94,-3278.15,-4055.32,-25146.67,-6864.15,113.64,113.15,112.83,112.66,-20.35,-48.26,-85.68
ROA_sy,,-1.42,-14.17,,,-4.61,,-22.05,-16.21,-28.73,-29.23,-19.53,-47.14,-1.73,25.83,-7.29,55.30,-97.99,-94.73,-82.40,-68.67,3575.00,1245.83,569.92,208.55,27.04,12.07,-34.71
ROA_qq,,,,,2.45,19.52,-25.27,-5.57,-0.66,-26.37,-0.30,-5.69,-60.00,-5.56,-21.01,-84.04,253.33,-7235.85,1.69,-1.05,4.58,114.39,-5.23,-1.43,-5.81,-9.47,-38.44,-72.73
ROA_sq,,,,,-9.65,4.79,-10.11,-8.41,-2.88,-10.88,-10.73,4.14,-36.21,65.70,14.30,-23.27,6.87,-97.86,200.00,156.25,90.24,151.28,9.86,27.55,-12.38,3.46,-3.08,-25.69
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-45.26,-14.10,,,1.95,,-1.95,8.23,-26.97,-22.73,-30.53,-62.22,-57.59,-69.54,-83.38,-54.29,-1207.64,-1683.33,-3286.67,-2121.66,122.54,120.97,120.78,121.55,-13.55,-24.38,-55.87
OPM_sy,,-36.44,-39.14,,,-3.86,,-29.72,-16.52,28.72,26.73,30.84,-22.32,-21.53,4.96,-11.96,50.42,-81.69,-81.52,-58.04,-46.82,535.14,458.53,173.81,78.01,17.51,-1.98,-6.26
OPM_qq,,,,,-6.79,19.84,-9.57,-2.93,2.89,-19.14,-4.32,-12.73,-44.04,-9.24,-31.27,-52.38,53.89,-2299.28,1.76,4.16,2.37,124.52,-8.59,-5.02,1.26,-1.66,-20.05,-44.57
OPM_sq,,,,,-4.29,-28.52,4.37,-1.59,13.69,10.22,2.75,1.61,-32.50,11.34,37.45,-14.77,15.33,-86.44,38.66,93.55,46.19,61.89,21.93,-5.12,-4.96,6.86,1.71,-9.26
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-46.31,-13.82,,,26.63,,-6.41,-20.59,-47.42,-29.90,-28.28,-69.74,-61.02,-69.97,-95.15,-61.27,-2185.29,-2851.93,-17488.89,-5131.97,114.36,113.62,113.51,113.28,-18.12,-43.99,-84.99
ROS_sy,,-29.70,-28.92,,,-13.09,,-31.93,-17.24,8.49,-2.50,9.43,-35.63,6.06,27.75,-2.17,81.09,-112.77,-108.09,-85.20,-76.45,800.50,1167.15,728.00,280.30,10.69,6.70,-35.14
