,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
ZFI_qq,,,,,,,,
ZFI_sq,,,,,,,,
DTAR,,,,,,,,
DTAR_yy,,-29.69,1188.89,-20.17,113.82,-39.19,627.74,-38.90
DTAR_sy,,-17.15,21.39,1.79,32.60,26.52,-12.21,-35.55
DTAR_qq,,,,,,,,
DTAR_sq,,,,,,,,
CG,,,,,,,,
CG_yy,,-30.77,1268.89,-21.10,126.13,-41.67,1116.22,-53.10
CG_sy,,-25.66,37.87,-13.14,-80.65,256.73,83.69,-10.39
CG_qq,,,,,,,,
CG_sq,,,,,,,,
LDER,,,,,,,,
LDER_yy,,,,,,,,16.71
LDER_sy,,,,,,,,51.55
LDER_qq,,,,,,,,
LDER_sq,,,,,,,,
PZAT,,,,,,,,
PZAT_yy,,,,,,,,-23.38
PZAT_sy,,,,,,,,7.32
PZAT_qq,,,,,,,,
PZAT_sq,,,,,,,,
PELDR,,,,,,,,
PELDR_yy,,,,,,,,3.27
PELDR_sy,,,,,,,,10.88
PELDR_qq,,,,,,,,
PELDR_sq,,,,,,,,
TSF,,,,,,,,
TSF_yy,,,,,,,,32.05
TSF_sy,,,,,,,,16.11
TSF_qq,,,,,,,,
TSF_sq,,,,,,,,
ZKO,,,,,,,,
ZKO_yy,,-31.54,229.54,188.82,-70.13,-40.61,814.45,-33.30
ZKO_sy,,-39.29,63.66,47.16,66.67,4.73,-15.98,-44.14
ZKO_qq,,,,,,,,
ZKO_sq,,,,,,,,
OSF,,,,,,,,
OSF_yy,,-31.09,422.67,76.16,334.68,5.30,-21.51,-32.03
OSF_sy,,-11.01,22.64,-40.70,151.39,3.34,-20.27,-7.11
OSF_qq,,,,,,,,
OSF_sq,,,,,,,,
NetDebt,-1989772000,-2647181000,-5391706000,-1560002000,-8613283000,-16921985000,-6617435000,-6472051000
NetDebt_yy,,,,,,,,
NetDebt_sy,,,,,,,,
NetDebt_qq,,,,,,,,
NetDebt_sq,,,,,,,,
NetDebtEBITDA,,,,,,,,
NetDebtEBITDA_yy,,3109.62,-97.67,-81.74,452.32,167.42,-64.89,-18.56
NetDebtEBITDA_sy,,97.53,-16.02,0.66,-315.67,42.56,171.84,-16.36
NetDebtEBITDA_qq,,,,,,,,
NetDebtEBITDA_sq,,,,,,,,
DebtFin,-2001446000,-2734069000,-6170841000,-2574300000,-2076409000,-17727298000,-10442825000,-9130760000
DebtFin_yy,,,,,,,,
DebtFin_sy,,,,,,,,
DebtFin_qq,,,,,,,,
DebtFin_sq,,,,,,,,
DebtFinEBITDA,,,,,,,,
DebtFinEBITDA_yy,,3190.39,-97.42,-73.67,-19.33,1062.05,-47.11,-27.20
DebtFinEBITDA_sy,,198.66,-12.15,-25.30,-395.56,68.24,402.32,-35.39
DebtFinEBITDA_qq,,,,,,,,
DebtFinEBITDA_sq,,,,,,,,
SP1,,,,,,,,
SP1_yy,,0.62,58.63,-38.98,1354.81,77.46,-91.42,1.91
SP1_sy,,25.33,-24.40,-12.96,-27.23,-4.77,-1.49,59.86
SP1_qq,,,,,,,,
SP1_sq,,,,,,,,
SP2,,,,,,,,
SP2_yy,,0.66,58.56,-38.98,1354.81,77.46,-90.68,3.27
SP2_sy,,13.51,-7.25,-8.40,-9.19,0.92,0.66,10.88
SP2_qq,,,,,,,,
SP2_sq,,,,,,,,
CAR,,,,,,,,
CAR_yy,,72.45,-72.26,-67.75,-19.07,687.40,-88.28,80.67
CAR_sy,,-2.97,-46.48,-52.46,-33.19,-50.49,269.90,62.94
CAR_qq,,,,,,,,
CAR_sq,,,,,,,,
QR,,,,,,,,
QR_yy,,61.48,-72.57,-65.37,234.72,68.53,-87.70,84.31
QR_sy,,77.86,-50.12,-26.52,-36.43,-23.64,42.23,68.14
QR_qq,,,,,,,,
QR_sq,,,,,,,,
CR,,,,,,,,
CR_yy,,61.48,-72.57,-65.37,234.72,68.53,-87.70,84.31
CR_sy,,72.64,-39.92,-30.69,-33.82,7.56,2.43,41.76
CR_qq,,,,,,,,
CR_sq,,,,,,,,
PP,,,,,,,,
PP_yy,,64.57,-72.38,-67.59,272.79,69.49,-88.28,80.67
PP_sy,,18.15,-49.84,-54.95,-40.20,-50.64,272.42,60.10
PP_qq,,,,,,,,
PP_sq,,,,,,,,
RCLR,,,,,,,,
RCLR_yy,,33.40,-75.14,-30.32,-44.01,21.50,-48.15,140.18
RCLR_sy,,82.31,-29.06,-33.99,-33.92,-9.66,6.59,29.30
RCLR_qq,,,,,,,,
RCLR_sq,,,,,,,,
KP,,,,,,,,
KP_yy,,3.99,257.34,-79.56,886.68,7.35,-58.12,34.61
KP_sy,,61.67,-22.56,-45.07,-110.32,140.00,151.56,1029.19
KP_qq,,,,,,,,
KP_sq,,,,,,,,
PKKO,,,,,,,,
PKKO_yy,,,,,,,,
PKKO_sy,,,,,,,,
PKKO_qq,,,,,,,,
PKKO_sq,,,,,,,,
RN,,,,,,,,
RN_yy,,1.93,-52.37,3.48,-52.58,561.51,4.93,-29.17
RN_sy,,-2.13,-10.75,-11.64,1.35,16.32,-41.42,58.01
RN_qq,,,,,,,,
RN_sq,,,,,,,,
CRN,493000,484000,1015000,981000,2069000,313000,298000,421000
CRN_yy,,-1.83,109.71,-3.35,110.91,-84.87,-4.79,41.28
CRN_sy,,2.22,13.04,11.54,,-13.79,247.00,-68.59
CRN_qq,,,,,,,,
CRN_sq,,,,,,,,
CPZ,333000,245000,2068000,2867000,10799000,1344000,2470000,1452000
CPZ_yy,,-26.43,744.08,38.64,276.67,-87.55,83.78,-41.21
CPZ_sy,,-32.43,44.00,25.93,15.44,35.67,269.48,-85.32
CPZ_qq,,,,,,,,
CPZ_sq,,,,,,,,
RZ,,,,,,,,
RZ_yy,,,,,,,,
RZ_sy,,,,,,,,
RZ_qq,,,,,,,,
RZ_sq,,,,,,,,
CRZ,,,,,,,,
CRZ_yy,,,,,,,,
CRZ_sy,,,,,,,,
CRZ_qq,,,,,,,,
CRZ_sq,,,,,,,,
RMO,,,,,,,,
RMO_yy,,-15.74,-56.83,107.91,-92.17,382.86,342.60,-7.75
RMO_sy,,5.17,-20.26,19.76,25.70,16.91,-48.74,69.55
RMO_qq,,,,,,,,
RMO_sq,,,,,,,,
RMT,,,,,,,,
RMT_yy,,-13.75,184.06,-65.31,773.53,730.81,-49.52,-33.88
RMT_sy,,10.88,-36.70,-5.01,-17.49,-7.55,15.57,8.64
RMT_qq,,,,,,,,
RMT_sq,,,,,,,,
RM,,,,,,,,
RM_yy,,-14.29,70.00,-42.16,-44.07,396.97,250.61,-15.30
RM_sy,,8.92,-29.89,-3.35,-7.32,-3.44,-10.85,32.94
RM_qq,,,,,,,,
RM_sq,,,,,,,,
COP,,,,,,,,
COP_yy,,,,,,,,
COP_sy,,,,,,,,
COP_qq,,,,,,,,
COP_sq,,,,,,,,
CSP,,,,,,,,
CSP_yy,,,,,,,,
CSP_sy,,,,,,,,
CSP_qq,,,,,,,,
CSP_sq,,,,,,,,
