,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_sq,,,,,,,-26.43,26.76,862.35,-79.68,-21.32,-8.92,416.77,-21.96,-18.95,17.28,59.52,-66.49,8.77,162.90,-28.76,-46.85,-36.51,44.08,-80.99,203.40,79.80,6.81,,,,,,,-16.85,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,-68.35,,,-25.67,,709.30,834.20,169.54,63.35,121.21,147.14,129.56,94.51,-23.58,-63.71,-66.15,-71.83,-70.97,-82.77,-46.54,-35.69,-4.85,156.12,-30.98,-23.02,-22.83,-24.15,-74.17,-80.25,-78.65,-69.94,11.52,9.89,39.69,-9.38,-23.78,13.67,-47.27
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-0.29,258.92,82.26,24.08,15.10,3.56,10.46,68.02,28.59,-3.81,-6.41,-33.99,-38.93,-10.29,-22.09,-31.99,-63.76,178.42,-6.28,0.62,-2.45,-24.97,4.52,0.86,-4.11,-74.45,-20.07,9.03,34.99,-5.21,-21.24,38.60,-12.43,-20.27,17.46,-35.70
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,215.89,,,34.54,,-87.64,-89.29,-62.90,-38.79,-54.80,-59.53,-56.45,-48.58,30.86,175.48,195.51,254.89,244.52,480.52,87.05,55.48,5.11,-60.95,44.87,29.90,29.59,31.83,287.24,406.33,368.32,232.72,-10.36,-8.99,-28.42,10.35,31.23,-12.03,89.61
CPCurrent_sy,,,57.49,,,125.44,,-20.63,-20.05,12.26,96.24,30.76,26.26,14.36,-10.92,-0.15,14.99,-0.29,38.70,12.20,0.41,-44.29,-64.87,-62.90,-60.92,-1.70,32.66,43.11,71.41,23.63,9.61,16.89,-11.39,-13.31,3.29,-6.66,5.19,11.40,-0.92,-4.46
CPCurrent_qq,,,,,0.28,-72.13,-45.13,-19.41,-13.11,-3.43,-9.48,-40.49,-22.21,3.92,6.88,51.45,63.76,11.48,28.35,47.03,175.94,-64.08,6.69,-0.60,2.50,33.27,-4.33,-0.84,4.28,291.46,25.09,-8.29,-25.91,5.46,27.00,-27.87,14.22,25.43,-14.87,55.47
