,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
ShareAmountCurrent,5166667000,5166667000,5166667000,5166667000,5706705000,5706705000,5706705000,5706705000,5706705000,6277372000,7077372000,7077372000,7077372000,7077372000,7077372000,7077372000,7077372000,7077372000,8504345000,8504345000,11077372000,11077372000,11077372000,11077372000,11077372000,11077372000,11077372000,85957372000,85957372000,85957372000,85957372000,85957372000,85957372000,85957372000,85957372000,64468029000,70913084000,78739759000,78739759000,78739759000,78739759000,78739759000
WKCurrent,320,390,2200,4440,3940,3930,4030,4430,5450,5180,5670,5910,6180,6460,6630,6690,6940,6660,6620,6100,5710,6030,6040,2480,5740,5720,5720,970,990,1020,1040,900,920,870,840,1270,1290,1060,960,620,450,400
CWKCurrent,910,750,130,70,70,70,70,70,50,60,50,50,50,40,40,40,40,40,40,50,50,50,50,120,50,50,50,300,290,280,280,320,310,330,340,230,230,270,300,470,640,730
WKGrahamCurrent,230,270,1850,1480,490,-300,-170,110,1400,-720,170,-1000,-1790,-1380,-710,-2270,-2430,-3620,-2760,-4220,-3770,-3370,-3480,-3870,-2790,-2610,-2190,-800,-760,-680,-630,-820,-800,-820,-860,-1190,-970,-860,-530,160,170,190
CWKGrahamCurrent,1270,1060,160,200,590,,,2640,210,,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,1720,1550
PCurrent,1730,1760,2720,6010,6160,7440,8090,9270,10680,9580,9020,9750,10540,12490,13050,13900,14480,13830,11620,12080,9130,9500,9860,4380,3940,3380,2390,790,930,1100,1250,1410,1390,1260,1280,1770,1400,1150,1460,800,820,880
CPCurrent,170,160,110,50,50,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,30,30,30,70,70,90,120,370,310,260,230,210,210,230,230,160,210,250,200,360,350,330
ZCurrent,150,80,390,1170,1060,750,370,530,860,1030,1030,950,940,990,960,780,760,200,90,90,-60,440,400,940,1200,1070,1050,670,650,630,660,80,70,40,30,0,150,20,-90,-460,-650,-650
CZCurrent,1920,3670,740,250,270,390,790,550,340,280,280,310,310,290,300,370,380,1480,3390,3150,,660,720,310,240,270,280,440,440,460,440,3600,4050,7630,9920,120620,1900,12950,,,,
