,2016/Q4,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,4000,4000,4000,4000
ShareAmountCurrent,12100020000,12970020000,12970020000,12970020000
WKCurrent,940,990,920,860
CWKCurrent,4260,4059,4330,4660
WKGrahamCurrent,250,-170,-350,-550
CWKGrahamCurrent,16250,,,
PCurrent,0,0,0,0
CPCurrent,,1271630,10801600,1002110
ZCurrent,-70,-160,-180,-220
CZCurrent,,,,
ZOCurrent,-80,-160,-180,-220
CZOCurrent,,,,
EVCurrent,3230,3580,3670,3920
EVPCurrent,,1136690,9910030,981980
EVEBITCurrent,-41110,-23030,-20090,-18040
EVEBITDACurrent,-42710,-23670,-20580,-18490
DTAR,340,370,420,420
CG,590,660,810,800
LDER,250,470,580,750
PZAT,400,210,170,140
PELDR,1450,1190,1110,1000
TSF,730,830,820,910
ZKO,690,1350,1880,4810
OSF,800,1060,1260,2740
NetDebt,-2602381000,2862760000,4746612000,7792885000
NetDebtEBITDA,2840,-1460,-2050,-2830
DebtFin,-9306498000,-5505372000,-4282185000,-1042128000
DebtFinEBITDA,10170,2810,1850,380
SP1,1160,780,670,570
SP2,1450,1150,1060,990
CAR,2370,2250,1600,1780
QR,2470,2210,1530,2680
CR,2470,2520,1870,2860
PP,2370,2250,1800,1780
RCLR,,10,70,350
KP,300,170,100,60
PKKO,-161680,-69610,-43280,-17650
RN,,120,30,210
CRN,,2985000,14567000,1714000
CPZ,,12140000,126233000,11170000
RZ,,,,
CRZ,,,,
RMO,,10,0,10
RMT,,0,0,0
RM,,0,0,0
COP,,,,
CSP,,,,
