,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600
ShareAmountCurrent,6807516000,6807516000,6807516000,6807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000,9807516000
WKCurrent,7700,9770,10880,19620,14000,14310,0,15260,15740,15640,16149,16510,17010,16880,17370,17810,18350,18350,18850,19510,20160,20810,21680,22230,22980,22930,23760,24340,25070,24970,25660,26290,26940,26480
CWKCurrent,4880,3850,3460,1920,2690,2630,,2460,2390,2400,2330,2280,2210,2230,2160,2110,2050,2050,1990,1930,1870,1810,1730,1690,1640,1640,1580,1550,1500,1510,1470,1430,1400,1420
WKGrahamCurrent,1930,3430,1610,8490,6390,6700,0,6140,6290,5950,6460,6780,7240,7190,7420,6590,7300,7450,7480,7480,7320,5860,6780,6250,7100,7280,8310,8140,8800,8940,9890,10560,11170,10700
CWKGrahamCurrent,19530,10980,23320,4430,5880,5620,,6120,5970,6320,5820,5540,5200,5230,5070,5700,5150,5050,5030,5030,5140,6410,5540,6010,5290,5160,4520,4620,4270,4210,3800,3560,3370,3510
PCurrent,11470,12440,12250,14710,10850,11280,11510,11890,12300,12610,13490,14000,14580,15220,15180,15870,16129,16280,16700,17370,18270,19350,20500,21550,22180,22830,23580,23510,23680,23390,22810,22530,22210,22310
CPCurrent,3280,3020,3070,2560,3470,3330,3270,3160,3060,2980,2790,2690,2580,2470,2480,2370,2330,2310,2250,2160,2060,1940,1830,1750,1700,1650,1590,1600,1590,1610,1650,1670,1690,1690
ZCurrent,2250,1910,1550,2150,1400,1480,1380,1650,1750,1840,1950,1750,1780,1740,1720,1810,1830,1970,1980,2190,2310,2980,3230,3130,3230,2660,2680,2690,2660,2600,2520,2580,2510,2510
CZCurrent,16710,19720,24250,17460,26940,25370,27160,22770,21500,20480,19300,21490,21170,21620,21850,20820,20510,19110,19010,17150,16250,12630,11640,12010,11650,14150,14020,14000,14160,14480,14920,14580,14980,14970
ZOCurrent,2100,2660,1840,2790,1870,1700,1760,1980,2020,2070,2040,1880,1990,1970,1950,2120,2170,2310,2400,2630,2870,3090,3370,3360,3440,3440,3460,3400,3320,3180,3100,3100,3020,3030
CZOCurrent,17870,14150,20430,13500,20060,22110,21400,18970,18640,18150,18420,20030,18850,19060,19230,17770,17360,16280,15700,14280,13090,12180,11160,11200,10920,10940,10880,11040,11330,11810,12110,12120,12460,12400
EVCurrent,37970,37470,38520,32320,33570,34250,37600,35580,35390,35030,35030,34690,33980,33750,34260,34520,34250,34210,35570,36450,35360,36760,36550,37650,37250,36930,36660,37420,35350,36070,35500,35700,36230,37100
EVPCurrent,3310,3010,3140,2200,3090,3040,3270,2990,2880,2780,2600,2480,2330,2220,2260,2180,2120,2100,2130,2100,1940,1900,1780,1750,1680,1620,1550,1590,1490,1540,1560,1580,1630,1660
