,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4
RS_sy,,-46.00,34.80,47.16,6.78,-12.57,-34.40,-21.41,35.53,15.05,2.78
RS_qq,,,,,,,,,,,
RS_sq,,,,,,,,,,,
GPM,,,,,,,,,,,
GPM_yy,,-730.19,-149.40,-212.85,73.87,11.75,-103.66,281.54,-111.43,91.73,-380.95
GPM_sy,,-12.98,-84.61,707.45,15.54,-66.18,38.58,-4.83,6.57,33.47,3.15
GPM_qq,,,,,,,,,,,
GPM_sq,,,,,,,,,,,
RBS,,,,,,,,,,,
RBS_yy,,,,,,,,,,,
RBS_sy,,,,,,,,,,,
RBS_qq,,,,,,,,,,,
RBS_sq,,,,,,,,,,,
ROPA,,,,,,,,,,,
ROPA_yy,,-13.58,-67.25,-3164.00,106.70,-266.23,-486.33,55.36,57.91,137.94,118.69
ROPA_sy,,-39.11,18.20,-1.38,-1.27,-13.24,-12.38,-4.80,23.06,21.24,4.38
ROPA_qq,,,,,,,,,,,
ROPA_sq,,,,,,,,,,,
ZNPO,,,,,,,,,,,
ZNPO_yy,,-56.46,5553.33,-317.14,60.24,0.97,-68.92,285.49,-106.48,118.56,-145.02
ZNPO_sy,,-21.97,45.85,-40.12,88.41,-67.05,-2.57,48.74,-35.01,65.22,9.46
ZNPO_qq,,,,,,,,,,,
ZNPO_sq,,,,,,,,,,,
ZFI,,,,,,,,,,,
ZFI_yy,,,,-1197.76,88.71,469.02,-243.43,,,,-214.29
ZFI_sy,,,,2.13,8.75,1.46,4.95,,,,35.01
ZFI_qq,,,,,,,,,,,
ZFI_sq,,,,,,,,,,,
DTAR,,,,,,,,,,,
DTAR_yy,,4.72,11.93,8.72,17.26,1.33,19.75,-61.74,0.50,-3.05,-12.73
DTAR_sy,,-10.67,24.07,-18.69,-5.89,9.94,2.32,-1.61,10.03,-10.68,1.09
DTAR_qq,,,,,,,,,,,
DTAR_sq,,,,,,,,,,,
CG,,,,,,,,,,,
CG_yy,,41.70,11204.55,-100.46,-9.17,4.19,36.31,152.26,4.57,-13.64,-25.72
CG_sy,,-16.86,58.99,-39.17,-10.86,19.91,6.36,-4.70,18.16,-20.99,-0.42
CG_qq,,,,,,,,,,,
CG_sq,,,,,,,,,,,
LDER,,,,,,,,,,,
LDER_yy,,23.11,1629.21,-103.66,78.87,28.28,56.77,400.49,2.59,-30.45,-71.81
LDER_sy,,-43.48,75.58,-26.94,-25.67,74.37,-2.50,3.49,7.05,-30.45,-4.58
LDER_qq,,,,,,,,,,,
LDER_sq,,,,,,,,,,,
PZAT,,,,,,,,,,,
