,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,16700,16700,16700,16700,16700,16700,16700,16700,16700
ShareAmountCurrent,20400000000,20400000000,20400000000,20400000000,2700000000,2700000000,2700000000,2700000000,2700000000
WKCurrent,250,390,860,970,20660,21440,22710,23190,23320
CWKCurrent,66980,42730,19360,17280,810,780,740,720,720
WKGrahamCurrent,180,350,760,860,19810,20570,21900,22280,21570
CWKGrahamCurrent,92550,48110,21890,19440,840,810,760,750,770
PCurrent,1530,2470,5350,5840,43850,42960,41310,38520,40400
CPCurrent,10890,6750,3120,2860,380,390,400,430,410
ZCurrent,90,200,600,630,4450,3910,3390,3080,3620
CZCurrent,186470,85450,27820,26530,3750,4280,4920,5430,4620
ZOCurrent,140,300,830,860,5710,5000,4310,3920,4600
CZOCurrent,122370,55030,20140,19390,2920,3340,3880,4260,3630
EVCurrent,17110,17130,17710,18050,14070,11920,9970,12270,14090
EVPCurrent,11160,6930,3310,3090,320,280,240,320,350
EVEBITCurrent,125380,56450,21360,20950,2460,2380,2310,3130,3070
EVEBITDACurrent,118730,54830,21010,20590,2410,2330,2240,3030,2970
DTAR,700,650,660,630,380,130,120,70,160
CG,2290,1880,1950,1700,620,150,140,70,180
LDER,60,40,60,100,30,30,10,10,20
PZAT,2350,2230,1130,650,780,780,1810,2450,3390
PELDR,3850,9500,9300,10020,25230,25500,28690,26140,12220
TSF,320,360,360,410,640,900,890,940,850
ZKO,760,680,690,660,390,130,120,70,170
OSF,2760,6180,6040,6010,9630,3310,3520,1780,2000
NetDebt,11350000000,14267000000,33692000000,33027000000,-1309000000,-7935000000,-12382000000,-8938000000,1442000000
NetDebtEBITDA,3860,2240,1960,1850,-80,-570,-1030,-820,110
DebtFin,8379000000,8805000000,20688000000,27446000000,-7091000000,-12915000000,-18173000000,-11972000000,-7045000000
DebtFinEBITDA,2850,1380,1200,1540,-450,-930,-1520,-1090,-550
SP1,3640,9100,8780,9140,24470,24740,28340,25920,12020
SP2,3850,9500,9300,10020,25230,25500,28690,26140,12210
CAR,20,10,20,20,1090,2420,2720,3420,930
QR,600,660,460,290,1370,3950,4470,5820,2180
CR,1350,1510,1500,1610,2670,9430,8840,16600,6580
PP,30,50,20,20,1090,2430,2720,3430,960
RCLR,560,590,430,260,250,1410,1670,2270,1140
KP,240,320,320,360,610,860,860,910,790
PKKO,-25480,-40620,-59490,-64080,-168340,-168530,-167270,-161810,-148140
RN,4930,5820,10820,12010,12130,11470,11490,10580,10080
CRN,74000,63000,34000,30000,30000,32000,32000,35000,36000
CPZ,132000,106000,72000,78000,91000,82000,65000,45000,24000
RZ,,,,,,,,,
CRZ,,,,,,,,,
RMO,2040,2290,3190,2920,2110,1830,1650,1460,1640
RMT,22370,57590,76070,72290,61690,52840,49910,45230,35890
RM,1870,2200,3070,2800,2040,1770,1590,1420,1570
COP,,,,,,,,,
CSP,,,,,,,,,
