,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,43165844000,112245164000,112245164000,112245164000,112245164000,124181576000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,7.17,-13.05,7.71,,-5.73,,,14.86,21.56,15.58,10.02,15.33,12.06,-51.28,-49.08,-53.49,-45.49,15.09
WKCurrent_sy,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,-1.78,9.42,3.49,3.28,3.95,4.03,-1.49,8.27,1.00,-54.77,2.95,-1.12,18.38,-4.49
WKCurrent_sq,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-6.69,15.01,-7.15,,6.08,,,-12.94,-17.74,-13.48,-9.11,-13.30,-10.76,105.25,96.39,115.04,83.46,-13.12
CWKCurrent_sy,,16.99,15.59,2.17,,21.16,,,15.21,-11.83,-3.39,-4.85,0.32,-3.26,14.67,7.77,0.89,-1.82,-5.09
CWKCurrent_qq,,,,,,1.81,-8.61,-3.37,-3.17,-3.81,-3.88,1.52,-7.64,-0.99,121.09,-2.87,1.13,-15.53,4.70
CWKCurrent_sq,,,,,,36.82,-21.08,7.35,-0.61,4.70,-13.52,5.73,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,
