,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DebtFinEBITDA,-970,-210,-260,-250,-770,-140,-1380,-2490,-1990,-2810,7030,-1220,3440,-1800,2530,2720,3260,-1170,2029,2190,2250,2460,1190,3060,3090,2950,1850,1750,1720,2260,2020,2450,2330,3160,3770,3990,4380,4310,3630,4000,5330,5030,1530,3030,2830
SP1,1790,2490,2490,1540,2570,2490,1870,1720,1690,1550,1430,1440,1320,990,930,940,810,800,890,920,870,870,870,880,910,920,1210,1220,1240,1050,1140,1110,1060,1020,990,980,980,960,1010,1020,1000,1000,1620,1600,1600
SP2,1820,2520,2520,1770,2710,2610,2170,1990,1940,1850,1710,1700,1560,1310,1450,1480,1270,1310,1380,1410,1370,1170,2009,1540,1540,1480,1780,1770,1780,1590,1650,1600,1510,1480,1410,1410,1370,1310,1350,1330,1290,1270,1940,1780,1780
CAR,90,40,100,40,160,30,360,320,240,210,200,150,220,140,250,160,150,200,260,180,220,170,270,40,20,30,100,80,70,60,80,80,50,30,20,10,30,20,40,50,20,30,240,40,30
QR,560,660,830,870,550,500,630,570,470,480,570,470,510,400,590,480,330,350,400,300,340,290,670,280,300,230,340,340,330,230,270,220,220,230,230,210,140,130,180,180,190,170,400,210,200
CR,1190,1320,1310,1420,2340,2220,1970,1620,1630,1500,1520,1480,1330,1200,1440,1400,1240,1210,1290,1300,1270,1100,2750,1490,1500,1430,1950,1740,1700,1530,1740,1480,1450,1340,1350,1310,1330,1240,1310,1250,1240,1180,1710,1490,1470
PP,90,40,120,40,170,190,360,330,260,220,300,260,310,240,410,290,150,200,260,180,220,170,270,40,20,30,120,110,70,60,80,80,50,30,20,10,30,20,40,50,20,30,240,40,30
RCLR,470,620,710,810,370,310,250,230,200,260,260,200,190,220,180,190,160,140,130,120,120,120,370,240,280,190,210,230,250,160,160,140,170,200,210,190,110,110,130,120,170,140,150,160,160
KP,130,210,200,210,430,410,350,280,270,240,230,220,170,110,180,180,110,110,140,150,130,60,390,200,210,190,300,270,270,220,260,210,190,170,160,150,150,120,140,120,120,100,290,230,230
PKKO,90,200,130,280,640,580,450,410,420,430,400,380,300,200,300,310,200,220,250,260,240,110,630,330,310,290,400,380,370,330,350,330,270,260,230,230,200,170,180,170,150,130,350,290,290
RN,5620,3250,4440,2060,3560,5220,8119,11950,12360,10610,9830,10610,10470,10480,12180,11910,12340,13820,14390,16059,17430,17660,16580,14450,12790,12910,14080,15440,17120,18060,18580,19150,20740,17930,15630,14300,15510,18470,21500,25440,22250,20610,21010,20130,20120
CRN,65000,112000,82000,177000,102000,70000,45000,31000,30000,34000,37000,34000,35000,35000,30000,31000,30000,26000,25000,23000,21000,21000,22000,25000,29000,28000,26000,24000,21000,20000,20000,19000,18000,20000,23000,26000,24000,20000,17000,14000,16000,18000,17000,18000,18000
CPZ,137000,181000,116000,214000,145000,123000,104000,109000,122000,145000,154000,147000,154000,160000,150000,156000,156000,162000,168000,167000,166000,169000,146000,140000,128000,110000,111000,103000,97000,97000,99000,110000,113000,122000,132000,134000,132000,128000,123000,121000,123000,125000,119000,117000,119000
RZ,3590,2460,5140,2650,2430,1940,1840,1530,1430,1340,1330,1390,1490,1620,1740,1670,1630,1470,1390,1350,1340,1350,1360,1370,1420,1450,1470,1520,1540,1520,1500,1390,1400,1350,1330,1370,1360,1410,1440,1480,1530,1550,1570,1550,1430
CRZ,102000,148000,71000,138000,150000,188000,198000,238000,255000,273000,273000,263000,246000,226000,210000,218000,224000,249000,263000,270000,272000,270000,268000,267000,256000,252000,248000,240000,237000,241000,243000,262000,260000,270000,275000,267000,268000,258000,253000,246000,238000,236000,232000,236000,256000
RMO,2230,1520,2410,1220,1570,1640,1800,1690,1650,1520,1520,1620,1630,1680,1810,1750,1780,1720,1700,1740,1740,1760,1800,1810,1900,2000,2100,2180,2240,2220,2210,2080,2100,2020,1970,2009,2070,2190,2290,2370,2370,2350,2320,2260,2140
RMT,11420,9510,15510,3390,4600,4780,5050,4560,4220,3800,3640,3710,3670,3460,3370,3090,2820,2720,2790,2880,3040,3160,3170,3130,3210,3230,3380,3600,3850,3870,3820,3620,3530,3490,3410,3430,3470,3540,3640,3720,3730,3790,4130,4380,4660
RM,1870,1310,2080,900,1170,1220,1330,1240,1190,1090,1070,1130,1130,1130,1180,1120,1090,1060,1060,1080,1110,1130,1150,1150,1190,1240,1300,1360,1420,1410,1400,1320,1320,1280,1250,1270,1300,1350,1410,1450,1450,1450,1480,1490,1470
COP,167000,260000,153000,315000,252000,258000,243000,269000,285000,307000,310000,297000,281000,261000,240000,249000,254000,275000,288000,293000,293000,291000,290000,292000,285000,280000,274000,264000,258000,261000,263000,281000,278000,290000,298000,293000,292000,278000,270000,260000,254000,254000,249000,254000,274000
CSP,30000,79000,37000,101000,107000,135000,139000,160000,163000,162000,156000,150000,127000,101000,90000,93000,98000,113000,120000,126000,127000,122000,144000,152000,157000,170000,163000,161000,161000,164000,164000,171000,165000,168000,166000,159000,160000,150000,147000,139000,131000,129000,130000,137000,155000
