,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,15077440000,15077440000,15077440000,15077440000,15077440000,15077440000,15077440000,15077440000,15228210000,15228210000,15228210000,15228210000,15228210000,15378980000,15378980000,15378980000,15378980000,15479493000,15479493000,15479493000,15479493000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,16.13,14.54,,,,13.78,19.27,12.68,16.64,28.46,20.80,19.81,15.66,12.70,19.08,15.46,13.22,4.36,6.77,8.67
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-1.33,3.86,4.80,5.94,3.43,-1.88,8.49,16.68,-2.74,-2.68,4.73,13.69,2.76,-5.64,2.71,4.79,5.14,-3.97
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-13.89,-12.70,,,,-12.11,-16.16,-11.25,-14.27,-22.15,-17.22,-16.53,-13.54,-11.28,-16.02,-13.39,-11.67,-4.18,-6.34,-7.98
CWKCurrent_sy,,4.58,-7.48,,,,-10.11,-11.02,-10.84,-8.49,-3.21,-2.11,-0.49,-1.64,-9.47,-16.12,-12.34,-5.16,-2.61,3.40,0.27
CWKCurrent_qq,,,,1.35,-3.71,-4.58,-5.61,-3.31,1.92,-7.82,-14.29,2.81,2.76,-4.52,-12.04,-2.69,5.98,-2.63,-4.57,-4.88,4.13
