,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZKO,1490,860,860,850,820,1080,,,,1480,1280,1210,1180,1230,1200,1380,1400,1480,1380,1380,1320,1320,1240,1170,1120,1180,1060,1040,990,970,910,840,800,800,760,710,670,760,750,730,990,1030,880,900,870,910,890,900,1030,1010,960,1180
OSF,670,1040,1050,1040,1010,1010,,,,1040,950,920,930,920,940,990,1000,1050,990,1020,1000,1010,970,1020,1020,1010,990,990,980,980,970,940,920,910,900,880,860,890,880,860,930,950,890,910,900,910,910,910,960,960,940,1000
NetDebt,31022000000,17492000000,22434000000,21242000000,20998000000,28346000000,,,,45354000000,78591000000,93115000000,89691000000,91122000000,85363000000,89450000000,91210000000,80324000000,91099000000,81678000000,83236000000,84216000000,92255000000,89972000000,86547000000,90203000000,97092000000,95795000000,89714000000,75866000000,85758000000,75352000000,71965000000,62514000000,66717000000,59557000000,53008000000,75967000000,81393000000,79012000000,137616000000,194345000000,146639000000,185905000000,171672000000,168311000000,188880000000,198963000000,244769000000,231486000000,244465000000,313181000000
NetDebtEBITDA,4070,1540,2020,1980,1910,2690,,,,5590,8850,8610,6800,7360,6090,3520,3850,3810,4760,10170,7830,8170,6850,4620,3880,2740,2570,2550,2290,2610,3060,2520,2290,1620,1630,1450,1290,1720,1860,1870,3040,3770,2250,2450,2130,2100,2430,2490,3040,2800,2910,3650
DebtFin,14876000000,2363000000,3396000000,3959000000,4113000000,7414000000,,,,28381000000,37019000000,41249000000,41481000000,38508000000,40939000000,42056000000,41991000000,41518000000,47461000000,44287000000,42897000000,44221000000,43750000000,40404000000,38530000000,43006000000,38922000000,38438000000,34060000000,24141000000,27706000000,19262000000,15966000000,10095000000,8607000000,-1862000000,462000000,6453000000,18997000000,13848000000,54514000000,65286000000,53202000000,54054000000,54122000000,44750000000,48734000000,65363000000,102657000000,91232000000,90698000000,88736000000
DebtFinEBITDA,1950,210,310,370,380,700,,,,3500,4170,3810,3140,3110,2920,1650,1770,1970,2480,5510,4040,4290,3250,2070,1730,1310,1030,1020,870,830,990,640,510,260,210,-50,10,150,430,330,1200,1270,820,710,670,560,630,820,1280,1100,1080,1030
SP1,450,1210,1220,1230,1230,930,,,,700,740,760,780,750,780,720,710,710,720,740,760,760,790,870,910,860,940,950,990,1010,1060,1130,1160,1140,1190,1250,1290,1160,1180,1180,940,920,1010,1010,1030,1000,1020,1010,930,950,980,840
SP2,830,1400,1370,1330,1330,1010,,,,1140,1140,1150,1150,1130,1150,1090,1070,1080,1080,1080,1090,1060,1080,1160,1280,1220,1280,1260,1270,1260,1290,1340,1340,1300,1350,1400,1430,1410,1440,1380,1250,1190,1260,1280,1280,1250,1270,1270,1230,1220,1230,1080
CAR,20,400,270,270,200,50,,,,30,40,40,20,50,10,70,40,60,40,60,50,10,10,20,60,210,210,180,240,310,210,250,260,330,260,380,330,470,410,290,120,160,290,280,340,380,310,300,240,260,190,150
QR,560,1020,960,930,1010,670,,,,780,790,760,760,680,760,760,720,660,700,680,720,570,670,690,860,860,890,930,970,920,950,1050,1080,1010,1120,1190,1290,1330,1430,1330,1110,1090,1300,1330,1380,1250,1270,1280,1110,1010,1030,730
CR,870,1380,1310,1290,1330,1010,,,,1280,1290,1280,1290,1250,1320,1250,1210,1280,1230,1270,1270,1220,1220,1270,1580,1490,1510,1480,1470,1540,1520,1680,1700,1700,1820,1850,1980,2029,2160,2110,1830,1830,2180,2040,2110,2029,1930,1960,1760,1690,1660,1190
PP,20,410,270,270,200,50,,,,40,40,50,30,50,10,70,40,60,40,60,50,20,20,30,60,260,210,190,250,310,210,250,260,340,260,390,450,470,410,300,120,160,390,290,350,380,350,330,240,270,200,150
RCLR,540,610,680,660,800,620,,,,770,770,750,760,660,770,720,710,620,690,640,650,590,700,720,860,650,750,790,760,660,780,850,900,720,900,840,870,870,1000,1040,1020,940,930,1050,1030,880,930,950,870,740,830,580
KP,-80,160,140,130,140,10,,,,80,100,100,110,90,110,80,70,80,70,80,80,70,80,90,160,140,160,150,150,150,160,190,190,180,200,210,230,240,260,240,180,160,200,200,210,190,190,190,170,160,160,70
PKKO,-60,150,150,140,140,10,,,,110,170,150,120,80,100,80,70,80,80,80,90,70,80,100,170,160,180,170,170,160,170,200,210,200,230,250,280,330,350,310,280,340,350,340,320,290,300,310,260,240,240,100
RN,5530,4200,4840,4720,4660,4570,4770,4800,5060,4590,3930,4230,4950,5080,5040,5110,5030,5270,5470,5780,6060,5880,5840,5640,5570,5640,5670,5510,5390,5340,5280,5370,5390,5420,5530,5680,5880,5510,5310,5080,4710,4670,5110,5020,5040,5220,4880,4880,4820,4810,4820,4890
CRN,66000,87000,75000,77000,78000,80000,77000,76000,72000,79000,93000,86000,74000,72000,72000,71000,73000,69000,67000,63000,60000,62000,63000,65000,66000,65000,64000,66000,68000,68000,69000,68000,68000,67000,66000,64000,62000,66000,69000,72000,78000,78000,71000,73000,72000,70000,75000,75000,76000,76000,76000,75000
CPZ,122000,118000,118000,119000,114000,116000,111000,107000,116000,103000,121000,113000,97000,98000,99000,98000,102000,98000,97000,95000,92000,96000,96000,97000,92000,89000,87000,87000,91000,92000,92000,89000,85000,83000,78000,77000,75000,76000,77000,76000,79000,79000,73000,74000,73000,72000,77000,79000,83000,88000,90000,102000
RZ,7670,7610,7060,6740,6870,6900,7340,7850,7280,5820,5110,5490,6390,6170,5910,5970,5870,6020,6200,6110,5970,5630,5570,5540,5550,5780,5780,5900,6150,6090,6240,6190,6190,6120,6040,6030,5900,5820,5730,5650,5470,5340,5360,5350,5320,5320,5320,5330,5230,5130,5050,4940
CRZ,48000,48000,52000,54000,53000,53000,50000,46000,50000,63000,71000,67000,57000,59000,62000,61000,62000,61000,59000,60000,61000,65000,65000,66000,66000,63000,63000,62000,59000,60000,59000,59000,59000,60000,60000,61000,62000,63000,64000,65000,67000,68000,68000,68000,69000,69000,69000,69000,70000,71000,72000,74000
RMO,3440,2270,2280,2300,2430,2560,2740,2920,3110,2750,2330,2510,2920,2920,2890,2920,2860,2960,3030,3100,3130,3040,3040,3020,3030,2960,2880,2780,2690,2650,2650,2650,2680,2680,2700,2700,2660,2490,2370,2310,2290,2370,2520,2510,2460,2440,2340,2310,2290,2280,2310,2340
RMT,3900,4000,3840,3620,3520,3180,3160,3010,2590,1710,1690,2020,2430,2550,2550,2340,2090,1910,1820,1820,1840,1840,1900,2020,2120,2160,2210,2210,2220,2220,2240,2260,2270,2270,2240,2240,2220,2170,2120,2040,1870,1650,1580,1540,1510,1520,1510,1480,1480,1500,1530,1580
RM,1830,1450,1430,1410,1440,1420,1470,1480,1410,1050,980,1120,1330,1360,1360,1300,1210,1160,1140,1150,1160,1150,1170,1210,1250,1250,1250,1230,1220,1210,1210,1220,1230,1230,1220,1220,1210,1160,1120,1080,1030,970,970,960,930,940,920,900,900,900,920,940
COP,114000,135000,127000,131000,131000,133000,127000,122000,122000,142000,164000,153000,131000,131000,134000,132000,135000,130000,126000,123000,121000,127000,128000,131000,132000,128000,127000,128000,127000,128000,128000,127000,127000,127000,126000,125000,124000,129000,133000,137000,145000,146000,139000,141000,141000,139000,144000,144000,146000,147000,148000,149000
CSP,-8000,17000,9000,12000,17000,17000,16000,15000,6000,39000,43000,40000,34000,33000,35000,34000,33000,32000,29000,28000,29000,31000,32000,34000,40000,39000,40000,41000,36000,36000,36000,38000,42000,44000,48000,48000,49000,53000,56000,61000,66000,67000,66000,67000,68000,67000,67000,65000,63000,59000,58000,47000
