,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent,18950,11170,11500,12610,11010,9240,8570,9100,13830,6700,5050,5460,6270,6020,8700,11910,23590,26400,339980,-60540,-17080,-12100,-18120,-35100,304080,36720,17410,15510,10720,8440,10310,13660,15650,16500,17380,26740,37840,71990,38940,18000,13310,-26220,-25010,-19320,-23650,50530,35160,28550,19660,7520,6180,5400
DTAR,350,430,380,530,,360,210,210,,210,310,380,,280,280,290,,240,230,230,,300,300,270,,290,260,260,260,240,220,240,280,310,310,260,310,300,260,280,290,280,240,260,270,300,490,500,530,460,450,510
CG,550,770,620,1140,,570,260,260,,260,440,620,,390,400,410,,310,290,290,,430,420,370,,400,340,350,350,320,280,310,380,450,450,340,450,420,350,390,410,380,320,350,360,420,950,1010,1110,850,810,1030
LDER,110,70,70,70,,50,20,30,,30,30,30,,30,40,40,,50,40,30,,40,50,50,,30,30,30,30,30,30,40,40,50,70,70,70,60,60,60,60,50,20,40,20,40,210,150,150,60,60,50
PZAT,5190,7670,7670,7550,,7890,12560,13500,,14170,15400,15330,,12890,13230,12710,,10580,13510,14820,,12770,11390,11360,,14920,16120,16059,14280,22270,17370,15240,15210,9950,7930,7980,7750,8060,7890,8360,9120,10590,21610,12810,31730,15110,3450,3790,3540,8640,8790,9180
PELDR,1840,1880,1970,1890,,2530,3500,2890,,2060,2560,2090,,2080,2270,2029,,1990,1930,1880,,1790,1770,1790,,1900,1990,2020,2090,1720,1740,1740,1750,1820,1840,1820,1840,1830,1860,1800,1860,1710,1780,1710,1730,1620,1070,1190,1330,1220,1270,1340
TSF,720,610,660,500,,670,810,810,,820,710,640,,740,740,740,,800,800,800,,730,740,760,,740,770,760,760,780,810,790,750,720,730,790,740,750,790,760,750,760,780,770,750,730,620,570,550,570,580,520
ZKO,580,650,590,730,,500,270,290,,350,450,550,,440,440,470,,400,390,400,,510,510,470,,470,420,420,410,440,420,450,500,550,550,480,540,520,470,500,500,500,430,480,470,550,1170,1190,960,880,860,940
OSF,960,1110,1030,1270,,1160,900,800,,680,970,1110,,880,880,870,,760,720,710,,870,860,810,,870,800,820,830,740,690,760,840,960,950,820,940,900,830,850,870,810,750,780,800,840,1030,1180,1020,1010,1000,1060
NetDebt,13097000000,16761000000,14406000000,33440000000,,13117000000,-14303000000,-8823000000,,6953000000,8154000000,35100000000,,5020000000,20028000000,24170000000,,21989000000,24451000000,22113000000,,32268000000,36156000000,30893000000,,35718000000,22510000000,28303000000,21408000000,25354000000,14082000000,23100000000,30473000000,26151000000,27444000000,17580000000,39223000000,29998000000,26519000000,28238000000,34221000000,23281000000,21978000000,24918000000,28876000000,30829000000,81462000000,87313000000,97523000000,80358000000,72249000000,95177000000
NetDebtEBITDA,2640,2110,1830,4400,,1460,-1400,-860,,440,470,1990,,330,1630,2540,,4830,64510,-10730,,-3230,-5200,-8620,,10520,3310,3410,1940,1790,1280,2630,3980,4019,4300,4080,11740,18040,8460,4210,3650,-5140,-4480,-3960,-5440,12680,19100,16700,13410,4210,3330,3650
DebtFin,-1303000000,-6714000000,-4829000000,406000000,,-12461000000,-39718000000,-33799000000,,-20753000000,-39664000000,-30656000000,,-34900000000,-20072000000,-13568000000,,-6838000000,1746000000,-2324000000,,-6165000000,-1085000000,-1349000000,,-2403000000,-8625000000,1791000000,-9032000000,-7817000000,-14021000000,-6902000000,-7313000000,-19856000000,-16201000000,-11942000000,-651000000,-6523000000,-4118000000,-5544000000,-1545000000,-7444000000,-3654000000,-4684000000,-622000000,-3387000000,23670000000,22977000000,16768000000,17290000000,7833000000,14486000000
DebtFinEBITDA,-260,-850,-610,50,,-1390,-3900,-3300,,-1310,-2290,-1740,,-2280,-1630,-1420,,-1500,4610,1130,,620,160,380,,-710,-1270,220,-820,-550,-1280,-780,-960,-3050,-2540,-2770,-190,-3920,-1310,-830,-170,1640,750,740,120,-1390,5550,4400,2310,910,360,560
SP1,1640,1730,1760,1750,,2310,3360,2800,,1950,2140,2020,,2009,2000,1880,,1890,1840,1800,,1710,1680,1710,,1830,1900,1960,2020,1680,1650,1680,1690,1720,1720,1710,1720,1720,1740,1690,1760,1630,1740,1640,1700,1550,880,1000,1070,1140,1170,1120
SP2,1820,1850,1880,1870,,2430,3430,2870,,2020,2210,2080,,2080,2070,1950,,1970,1910,1860,,1780,1760,1780,,1890,1960,2020,2090,1720,1700,1740,1750,1810,1830,1820,1840,1830,1860,1800,1860,1710,1780,1710,1730,1610,1070,1150,1230,1210,1240,1180
CAR,170,320,280,60,,530,1710,1480,,860,890,490,,970,610,500,,420,240,310,,270,150,180,,140,390,250,460,290,610,330,270,540,510,620,170,380,340,350,230,400,280,280,160,220,70,50,80,70,150,80
QR,1420,1300,1280,1120,,1460,2750,2610,,2060,1270,1320,,1630,1210,1210,,1390,1270,1200,,1090,1110,1210,,1370,1340,1560,1620,1890,1710,1560,1400,1570,1610,1840,1440,1590,1630,1550,1480,1430,1480,1350,1230,1180,620,610,800,850,800,610
CR,2150,1710,1910,1470,,2190,4070,3870,,3300,2370,1910,,2480,2490,2370,,2930,2930,2860,,2160,2190,2410,,2300,2600,2590,2660,2470,2720,2510,2210,2040,2110,2580,2170,2260,2570,2380,2330,2310,2520,2390,2250,2029,1100,990,1210,1220,1250,1120
PP,170,320,290,60,,540,1710,1500,,870,890,490,,970,610,500,,430,250,310,,280,150,180,,140,400,250,470,290,610,330,280,540,510,620,170,380,350,350,230,400,280,280,160,220,70,50,80,70,150,80
RCLR,1230,1010,1060,850,,990,1100,1070,,1270,760,820,,670,660,810,,1000,1060,900,,820,950,1030,,1230,980,1290,1140,1570,1180,1210,1120,1030,1090,1200,1270,1210,1270,1180,1240,1030,1110,1050,1050,960,490,410,640,790,680,580
KP,320,280,310,230,,390,580,530,,410,390,330,,380,380,360,,390,380,370,,310,310,330,,340,370,380,400,330,330,310,300,290,300,330,310,320,340,330,330,320,340,320,320,280,40,0,100,90,110,60
PKKO,200,160,160,160,,220,530,510,,510,500,390,,370,410,460,,700,670,630,,520,430,400,,400,460,480,490,420,400,420,430,380,340,310,310,360,430,430,470,440,460,460,500,450,80,-10,150,110,120,60
RN,6040,5260,5380,5370,6620,6550,6260,6410,5440,5150,5190,4670,5320,5560,5320,5430,4460,4030,3720,4000,3640,3970,4300,4290,4560,4130,4019,3740,3930,3750,3760,3650,3580,4150,4220,4360,4170,3780,3500,3350,3380,3340,3430,3640,3870,3830,4030,4570,4470,4300,4330,4160
CRN,60000,69000,68000,68000,55000,56000,58000,57000,67000,71000,70000,78000,69000,66000,69000,67000,82000,91000,98000,91000,100000,92000,85000,85000,80000,88000,91000,98000,93000,97000,97000,100000,102000,88000,87000,84000,88000,97000,104000,109000,108000,109000,106000,100000,94000,95000,91000,80000,82000,85000,84000,88000
CPZ,49000,64000,65000,72000,58000,59000,61000,54000,64000,62000,72000,89000,78000,87000,94000,95000,116000,113000,105000,93000,102000,101000,96000,92000,86000,82000,84000,84000,80000,78000,75000,78000,80000,78000,79000,76000,77000,81000,84000,88000,88000,92000,93000,90000,89000,92000,113000,128000,142000,144000,134000,132000
RZ,8580,12980,12390,10510,13390,10770,7350,5460,4490,3990,4360,4740,5420,5040,4040,3080,2410,2020,1900,1880,1780,2130,2580,2940,3080,3330,3080,3180,3320,3630,4140,4070,4310,4880,5730,6430,6600,5630,4490,4059,3810,3360,3250,3100,2850,2780,2900,3610,4570,5380,6050,6000
CRZ,43000,28000,29000,35000,27000,34000,50000,67000,81000,91000,84000,77000,67000,72000,90000,118000,152000,181000,192000,194000,205000,171000,141000,124000,118000,110000,119000,115000,110000,101000,88000,90000,85000,75000,64000,57000,55000,65000,81000,90000,96000,109000,112000,118000,128000,131000,126000,101000,80000,68000,60000,61000
RMO,3460,3390,3320,3090,3810,3420,2470,2000,1700,1580,1690,1770,2020,1910,1730,1570,1290,1260,1290,1360,1240,1400,1620,1770,1880,1930,1800,1750,1800,1800,1860,1800,1850,2000,2120,2170,2160,1990,1830,1770,1740,1650,1660,1710,1740,1740,1830,2050,2100,2230,2330,2320
RMT,5300,6960,6860,6830,8420,8270,7210,5600,4750,3490,3300,3410,3890,3890,3370,2740,2250,2060,1940,1890,1730,1930,2230,2440,2590,2730,2650,2780,2930,2740,2610,2310,2200,2480,2780,2890,2940,2700,2430,2410,2380,2210,2210,2230,2200,2190,1920,1950,2040,2140,2500,2710
RM,2090,2280,2240,2130,2620,2420,1840,1480,1250,1090,1120,1170,1330,1280,1140,1000,820,780,770,790,720,810,940,1020,1090,1120,1070,1070,1110,1090,1090,1010,990,1090,1170,1200,1200,1110,1010,1000,990,930,940,960,970,970,940,980,1010,1070,1180,1240
COP,103000,97000,97000,103000,82000,90000,108000,124000,148000,162000,154000,155000,136000,138000,159000,185000,234000,272000,290000,285000,305000,263000,226000,209000,198000,198000,210000,213000,203000,198000,185000,190000,187000,163000,151000,141000,143000,162000,185000,199000,204000,218000,218000,218000,222000,226000,217000,181000,162000,153000,144000,149000
CSP,54000,33000,32000,31000,24000,31000,47000,70000,84000,100000,82000,66000,58000,51000,65000,90000,118000,159000,185000,192000,203000,162000,130000,117000,112000,116000,126000,129000,123000,120000,110000,112000,107000,85000,72000,65000,66000,81000,101000,111000,116000,126000,125000,128000,133000,134000,104000,53000,20000,9000,10000,17000
