,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
ShareAmountCurrent,5409200000,5409200000,5409200000,7159200000,7159200000,7159200000,7159200000,7159200000,7159200000,7159200000,7159200000,7159200000,7159200000,7159200000
WKCurrent,5870,6200,6980,11270,11750,12190,12790,13160,13910,14160,14550,15090,15360,15190
CWKCurrent,2900,2740,2440,1510,1450,1390,1330,1290,1220,1200,1170,1130,1110,1120
WKGrahamCurrent,-3880,-5790,-6240,1170,1560,1490,-380,-2500,-2620,-3320,-4490,-4440,-3960,-5790
CWKGrahamCurrent,,,,14470,10920,11400,,,,,,,,
PCurrent,33990,36800,38620,34810,35970,38060,39530,40580,43800,44220,46430,47930,48120,50240
CPCurrent,500,460,440,490,470,450,430,420,390,380,370,350,350,340
ZCurrent,730,350,880,1560,1580,1710,1820,1880,2150,2160,1940,2120,1640,1240
CZCurrent,23310,48990,19290,10910,10760,9950,9320,9060,7890,7860,8760,8010,10350,13760
ZOCurrent,1010,870,1680,2300,2340,2530,2580,2680,2820,2760,2660,2810,2520,2160
CZOCurrent,16850,19610,10140,7400,7260,6720,6600,6340,6040,6160,6380,6050,6760,7870
EVCurrent,24330,26180,27470,18260,19110,20260,22430,24560,24190,24490,25590,24980,24130,25890
EVPCurrent,720,710,710,520,530,530,570,610,550,550,550,520,500,520
EVEBITCurrent,24120,30200,16379,7940,8160,8010,8710,9160,8590,8880,9610,8880,9590,11990
EVEBITDACurrent,12250,12560,9300,5680,5820,5790,6240,6500,6020,6020,6220,5660,5650,6430
DTAR,720,750,720,530,560,560,570,570,580,570,590,570,570,610
CG,2630,2930,2600,1110,1280,1280,1300,1310,1400,1350,1420,1330,1320,1580
LDER,450,880,1440,490,560,580,620,640,630,630,650,600,580,640
PZAT,3630,2180,1310,1830,1540,1490,1660,1840,1870,1950,2000,2140,2150,2130
PELDR,930,1010,1310,1680,1820,1830,1590,1400,1390,1340,1290,1260,1280,1210
TSF,400,480,680,710,690,690,700,710,680,690,680,690,680,640
ZKO,1340,1470,1530,910,910,910,1020,1170,1160,1210,1280,1280,1240,1320
OSF,800,760,810,1020,1040,1040,1000,980,970,980,980,990,990,950
NetDebt,82847000000,97053000000,96643000000,57858000000,73957000000,82110000000,94431000000,113367000000,124112000000,122587000000,137628000000,132983000000,129306000000,159110000000
NetDebtEBITDA,7710,8610,6050,2510,3150,3280,3670,4190,4310,4210,4670,4210,4230,5520
DebtFin,39666000000,49667000000,56655000000,9010000000,15130000000,23348000000,38850000000,54124000000,51474000000,53606000000,61517000000,57106000000,51039000000,63679000000
DebtFinEBITDA,3690,4410,3550,390,640,930,1510,2000,1790,1840,2090,1810,1670,2210
SP1,600,520,530,1120,1150,1140,970,840,840,810,770,770,800,720
SP2,880,980,1290,1660,1800,1810,1570,1380,1370,1320,1260,1240,1260,1190
CAR,10,20,30,630,560,480,390,160,200,200,130,140,200,120
QR,410,420,630,1140,1200,1300,1160,890,950,900,820,720,800,700
CR,910,980,1470,1950,1970,2009,1860,1680,1580,1550,1440,1410,1430,1280
PP,10,20,30,630,560,480,390,160,200,200,130,140,200,120
RCLR,440,430,640,540,670,840,790,770,790,740,730,630,650,610
KP,-60,-10,150,280,300,310,250,200,180,170,140,130,140,100
PKKO,-40,-10,120,240,280,280,230,180,170,160,130,120,130,100
RN,6060,6740,7460,7300,7220,7020,6750,6140,6000,5970,6010,6160,6390,6430
CRN,60000,54000,49000,50000,51000,52000,54000,59000,61000,61000,61000,59000,57000,57000
CPZ,137000,126000,76000,72000,75000,75000,75000,77000,76000,79000,80000,82000,84000,87000
RZ,5160,4840,5180,6400,5920,5800,5630,5540,5990,5920,6110,6180,6140,6140
CRZ,71000,75000,71000,57000,62000,63000,65000,66000,61000,62000,60000,59000,59000,59000
RMO,2940,2980,3250,3280,2890,2660,2490,2510,2700,2780,2920,2970,3000,3020
RMT,3490,3070,2920,3490,3580,3710,3590,3270,3130,2820,2710,2650,2560,2550
RM,1600,1510,1540,1690,1600,1550,1470,1420,1450,1400,1400,1400,1380,1380
COP,131000,129000,120000,107000,113000,115000,119000,125000,122000,123000,121000,118000,116000,116000
CSP,-6000,3000,44000,35000,38000,40000,44000,48000,46000,44000,41000,36000,32000,29000
