,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,
ShareAmountCurrent,18622505000,18622505000,18622505000,18622505000,23278131000,23278131000,23278131000,23278131000,23278131000,23278131000,23278131000,25605944000,25605944000,25605944000
ShareAmountCurrent_yy,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,
WKCurrent_yy,,651.79,18.87,128.12,,,,3.25,31.41,6.13,11.83,8.47,8.27,1.92
WKCurrent_sy,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-20.22,21.70,2.78,3.46,1.54,-1.71,8.30,0.35,1.36,-7.48
WKCurrent_sq,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,
CWKCurrent_yy,,,-15.87,-56.16,,,,-3.16,-23.90,-5.77,-10.58,-7.80,-7.64,-1.88
CWKCurrent_sy,,,21.16,-11.83,,,,-3.26,14.67,7.77,0.89,-1.82,-5.09,-6.12
CWKCurrent_qq,,,,,25.34,-17.83,-2.71,-3.35,-1.51,1.74,-7.67,-0.34,-1.34,8.08
CWKCurrent_sq,,,,,-13.52,5.73,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-101.27,-606.17,1644.50,,,,0.88,30.10,14.58,38.49,36.71,34.17,13.62
WKGrahamCurrent_sy,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,-20.95,14.52,3.56,7.60,1.95,0.87,25.17,6.22,0.05,-14.58
WKGrahamCurrent_sq,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,-0.87,-23.13,-12.72,-27.79,-26.85,-25.46,-11.99
CWKGrahamCurrent_sy,,,,,,,,-3.16,15.42,-12.72,-14.39,-11.23,-18.91,-8.26
