,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP1_sq,,,,74.95,-15.83,15.15,-54.19,23.54,-35.41,-48.55,-4.86,8.37,-11.54,8.32,6.66,118.63,-57.37,6.46,6.35,-10.94,-1.24
SP2,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,24.33,18.87,,,,383.25,347.66,158.95,-53.08,-45.23,-46.36,-55.88,-81.54,-94.45,-47.50,0.13,126.45,1091.61,63.14,82.17
SP2_sy,,1.16,48.68,,,,-9.13,-44.82,-48.79,-79.01,-61.72,-63.45,-58.26,-6.39,2.78,108.47,13.69,11.85,11.00,-44.32,13.27
SP2_qq,,,,15.66,-25.82,488.17,-4.24,7.15,-57.09,6.57,11.78,4.94,-64.71,-55.41,-66.41,893.30,-32.69,0.85,76.74,35.99,-24.84
SP2_sq,,,,73.44,-15.62,16.92,-46.90,5.32,-21.68,-52.08,-3.18,0.57,-10.55,7.47,6.31,103.99,-51.22,5.74,5.50,2.33,-0.77
CAR,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,-41.06,25.62,,,,26.02,-51.38,-24.52,-96.15,,164.51,318.29,311.02,,-62.77,-76.67,-53.61,266.00,152.70,141.89
CAR_sy,,13.35,-32.40,,,,-19.62,-16.95,-21.88,-47.32,,10.47,-34.36,-21.37,,-50.54,-46.83,-19.50,-25.20,8.33,-29.28
CAR_qq,,,,63.54,-51.36,1101.58,-86.82,-36.90,-24.49,-38.74,,,19.41,-39.80,-74.52,103.28,-25.17,19.71,101.00,40.35,-28.38
CAR_sq,,,,50.62,0.67,14.33,-53.63,55.61,-5.31,-22.90,,,-43.73,-7.65,8.55,-12.32,-39.51,39.82,0.87,26.98,-60.51
QR,,,,,,,,,,,,,,,,,,,,,
QR_yy,,-31.05,29.63,,,,219.16,157.76,150.70,-69.91,-45.78,-52.93,-35.25,-34.48,-84.66,-67.95,-79.55,-59.43,332.19,232.29,280.58
QR_sy,,-34.89,-15.78,,,,-5.13,35.47,-16.16,-14.99,54.13,-40.35,-41.37,-43.07,-59.48,-52.39,-23.28,-30.26,10.28,-18.99,-9.46
QR_qq,,,,18.02,-12.92,411.74,-39.32,-4.68,-15.30,-38.57,9.34,-17.26,16.52,-37.85,-74.40,72.87,-25.66,23.32,172.69,32.91,-14.85
QR_sq,,,,49.63,-7.80,21.74,-43.51,113.66,-42.94,23.43,2.43,-17.31,-43.92,19.85,-27.09,-2.85,-9.63,8.94,15.29,-28.64,1.01
CR,,,,,,,,,,,,,,,,,,,,,
CR_yy,,-31.09,29.63,,,,219.16,157.76,150.33,-69.91,-45.77,-52.92,-35.22,-34.35,-84.66,-67.96,-79.56,-59.46,332.19,232.29,280.58
CR_sy,,-34.91,-12.48,,,,-3.45,40.72,-10.01,-9.55,45.71,-38.01,-43.82,-46.40,-58.97,-55.80,-24.54,-30.84,8.93,-17.84,-9.26
CR_qq,,,,18.02,-12.79,411.00,-39.32,-4.68,-15.30,-38.57,9.36,-17.26,16.56,-37.75,-74.45,72.87,-25.66,23.46,172.38,32.91,-14.85
CR_sq,,,,43.96,-7.72,23.22,-41.02,109.83,-40.99,23.85,-4.99,-10.73,-46.52,18.17,-27.28,-3.82,-8.70,8.29,14.55,-27.46,0.84
PP,,,,,,,,,,,,,,,,,,,,,
PP_yy,,-27.78,36.20,,,,345.57,202.91,208.57,-73.01,-50.37,-54.80,-36.66,-39.76,-85.34,-66.93,-79.55,-54.97,333.36,213.28,245.62
PP_sy,,-20.17,-52.01,,,,55.87,41.74,-13.58,-17.08,-33.56,-76.06,-73.88,-83.12,-28.12,-37.98,-18.09,4.43,-17.82,-48.61,-44.63
PP_qq,,,,38.86,-15.57,557.74,-42.22,-5.60,-13.99,-42.47,6.23,-14.02,20.54,-45.28,-74.15,93.93,-25.45,20.46,148.82,40.19,-17.75
PP_sq,,,,192.60,-7.77,25.54,-53.99,166.08,-43.77,20.46,-63.14,-4.12,-38.64,-22.16,56.96,-17.27,-18.95,-0.77,23.52,-48.26,-12.68
RCLR,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-35.79,18.78,,,,-20.20,6.30,-21.02,4.96,2.91,-34.95,-17.99,-1.10,-81.57,-74.94,-80.11,-77.22,324.23,383.55,556.00
RCLR_sy,,33.00,-15.64,,,,-22.77,59.96,-31.15,29.70,43.55,-22.70,-33.43,-42.08,-63.73,-25.13,-19.77,-47.47,58.30,-11.85,-3.70
RCLR_qq,,,,-21.40,-4.09,-20.17,32.58,4.71,-28.73,6.09,29.99,-33.82,-10.15,27.93,-75.77,-10.02,-28.69,46.56,351.14,2.57,-3.27
RCLR_sq,,,,-35.56,57.43,-27.88,5.56,33.46,-32.24,35.87,16.83,-28.14,-41.64,18.21,-26.83,48.33,-37.46,-22.61,120.50,-17.40,-31.68
KP,,,,,,,,,,,,,,,,,,,,,
KP_yy,,-7.64,13.29,,,,29.33,23.87,26.76,-27.71,-22.48,-20.16,-21.27,-12.72,-90.90,-36.07,-57.39,-30.53,1074.41,75.63,167.58
KP_sy,,-41.38,26.93,,,,-7.70,-26.97,-47.15,-43.63,-26.27,-34.50,-19.40,-28.42,-31.89,10.11,18.88,26.96,89.40,-34.76,-27.58
KP_qq,,,,4.17,-6.65,37.26,-3.10,-0.23,-4.47,-21.73,3.92,2.76,-5.81,-13.22,-89.17,621.98,-37.23,41.50,83.13,7.97,-4.36
KP_sq,,,,46.76,-3.26,6.30,-38.84,16.13,-29.99,13.37,-20.00,3.17,-13.86,0.69,-23.89,66.80,-7.00,7.53,13.55,-42.55,3.23
PKKO,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,-10.44,-3400.11,,,,-148.59,-246.68,-510.41,44.57,43.95,47.93,44.80,33.74,92.56,47.02,62.60,54.80,-120.05,70.08,75.81
PKKO_sy,,57.09,-143.44,,,,16.94,3.38,4.07,-5.96,58.81,54.34,63.30,58.61,12.65,11.55,-193.50,0.91,-9.24,91.00,93.68
PKKO_qq,,,,26.17,50.60,-598.91,2.49,-2.97,13.02,36.54,1.39,4.34,7.79,23.82,88.92,-580.81,34.89,7.94,46.08,7.42,47.37
PKKO_sq,,,,32.24,8.35,1.36,-35.59,21.18,9.00,-8.96,47.29,12.64,26.86,-22.88,-11.25,11.54,-142.69,58.51,-22.64,92.71,-70.40
RN,,,,,,,,,,,,,,,,,,,,,
RN_yy,,20.13,83.67,,,,11.46,14.88,23.74,14.23,16.60,12.90,7.44,10.82,9.10,20.56,8.98,19.28,18.80,3.91,7.59
RN_sy,,-9.62,112.79,,,,16.85,7.70,32.80,-2.27,-44.67,0.01,-17.58,17.78,16.96,16.76,11.46,-6.66,-15.70,13.26,24.40
RN_qq,,,,1.04,4.15,4.05,1.79,4.14,12.18,-3.94,3.90,0.84,6.75,-0.92,2.29,11.43,-3.51,8.45,1.88,-2.54,-0.09
RN_sq,,,,-42.88,0.36,4.11,95.78,-47.36,23.76,-23.38,10.84,-4.85,1.98,9.50,10.07,-5.01,-2.65,-8.30,-0.59,27.62,6.93
CRN,125000,104000,57000,56000,54000,52000,51000,49000,44000,45000,44000,43000,41000,41000,40000,36000,37000,34000,34000,35000,35000
CRN_yy,,-16.80,-45.19,,,,-10.53,-12.50,-18.52,-13.46,-13.73,-12.24,-6.82,-8.89,-9.09,-16.28,-9.76,-17.07,-15.00,-2.78,-5.41
CRN_sy,,24.40,-57.88,,,,-15.27,-59.38,54.31,101.80,81.98,-27.06,23.46,-8.04,-9.41,-16.74,-13.57,-1.46,11.48,-13.04,-21.47
CRN_qq,,,,-1.75,-3.57,-3.70,-1.92,-3.92,-10.20,2.27,-2.22,-2.27,-4.65,,-2.44,-10.00,2.78,-8.11,,2.94,
CRN_sq,,,,469.47,-84.45,-4.31,,172.97,-40.92,25.14,-9.82,9.41,,,-11.17,0.55,3.80,6.28,,-21.57,
CPZ,66000,85000,59000,56000,49000,43000,47000,44000,42000,45000,42000,46000,46000,46000,84000,106000,155000,184000,145000,117000,70000
CPZ_yy,,28.79,-30.59,,,,-20.34,-21.43,-14.29,4.65,-10.64,4.55,9.52,2.22,100.00,130.43,236.96,300.00,72.62,10.38,-54.84
CPZ_sy,,90.22,18.00,,,,46.25,-70.34,32.34,59.34,-4.97,66.84,123.79,126.30,48.26,36.41,-15.52,-40.05,-28.79,-23.08,51.70
CPZ_qq,,,,-5.08,-12.50,-12.24,9.30,-6.38,-4.55,7.14,-6.67,9.52,,,82.61,26.19,46.23,18.71,-21.20,-19.31,-40.17
CPZ_sq,,,,207.75,-81.51,2.55,150.62,-37.58,-17.51,23.47,49.48,9.58,,,-2.07,0.82,-31.47,-11.39,16.31,8.91,35.15
RZ,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,,,,,,,,,
CRZ,14000,,,,,,,,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,11.94,34.66,,,,-60.25,-63.15,-63.78,-26.16,41.44,72.37,87.01,64.50,39.71,35.46,15.59,-1.89,-5.45,-4.04,16.33
RMO_sy,,-38.24,3.43,,,,-3.69,44.57,46.67,86.45,28.44,39.20,40.91,20.89,17.96,18.76,9.19,45.66,46.67,36.48,49.68
RMO_qq,,,,-4.24,3.71,-38.63,-34.78,-11.22,1.95,25.10,24.92,8.20,10.61,10.04,6.09,4.91,-5.62,-6.60,2.25,6.47,14.41
RMO_sq,,,,-36.63,1.89,-2.28,52.65,-4.88,3.37,24.22,5.15,3.09,4.64,6.58,2.60,3.79,-3.79,42.18,3.31,-3.42,5.52
RMT,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,65.59,53.16,,,,2.69,29.89,15.92,9.70,23.27,-2.68,-19.20,-47.85,-72.87,-70.80,-57.60,-13.78,341.33,341.20,323.18
RMT_sy,,-22.83,371.44,,,,-69.63,-72.50,-72.87,-81.37,-1.30,-10.74,-18.54,26.01,14.15,16.18,28.57,10.69,-3.10,-52.39,-54.01
RMT_qq,,,,-1.52,3.38,5.38,-4.27,24.56,-7.75,-0.28,7.57,-1.66,-23.41,-35.63,-44.04,5.84,11.20,30.92,186.44,5.81,6.65
RMT_sq,,,,18.22,4.40,6.36,-76.87,7.06,3.01,-26.96,22.53,-3.18,-5.99,12.99,10.99,-1.45,4.04,-2.72,-2.84,-51.58,0.50
RM,,,,,,,,,,,,,,,,,,,,,
RM_yy,,17.74,36.46,,,,-57.76,-60.49,-61.27,-28.20,28.83,51.10,57.42,45.09,21.79,24.76,17.65,5.85,17.84,16.25,32.71
RM_sy,,-40.58,54.23,,,,-18.11,58.01,75.24,60.35,28.10,-4.29,-24.37,-24.12,-20.70,-18.06,-8.41,3.82,-5.22,-4.21,-8.18
RM_qq,,,,-3.99,3.68,-36.12,-33.57,-10.19,1.64,18.40,19.20,5.33,5.89,9.13,0.06,7.89,-0.14,-1.81,11.39,6.44,14.01
RM_sq,,,,-36.26,4.84,-0.06,22.60,23.00,16.28,-8.55,-2.05,-8.10,-8.12,-8.25,2.36,-5.04,2.70,3.99,-6.55,-4.03,-1.55
COP,139000,,,,,,,,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,,,,,,,,,
CSP,73000,,,,,,,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,,,,,,,,,
