,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_qq,,,,-9.81,-1.94,26.23,22.03,-7.91,-6.50,-5.72,-25.03,-9.93,-7.66,-14.50,16.84,-5.87,-29.23,-12.36,-1.14,-1.17,9.72
CZCurrent_sq,,,,-14.89,-5.77,5.96,89.58,1.37,-8.67,97.21,-33.81,-34.06,20.00,35.15,-40.05,-8.20,7.45,-1.90,38.80,-4.91,-37.07
ZOCurrent,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,148.78,79.41,,,,-29.45,-30.95,-29.70,-3.58,63.41,76.31,77.80,97.48,24.59,22.48,54.19,25.60,45.44,29.97,-9.88
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,7.07,4.95,-22.14,-19.36,4.79,6.86,6.77,36.68,13.06,7.75,18.59,-13.77,11.15,35.65,-3.40,-0.15,-0.67,-5.94
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-59.81,-44.27,,,,41.75,44.83,42.23,3.72,-38.81,-43.28,-43.75,-49.36,-19.74,-18.36,-35.14,-20.38,-31.24,-23.06,10.95
CZOCurrent_sy,,-18.85,-45.04,,,,-2.75,97.12,184.27,300.21,3.30,-17.53,-26.30,-48.88,6.27,-2.31,-18.70,-12.23,-5.87,-19.22,-16.76
CZOCurrent_qq,,,,-6.61,-4.71,28.43,24.02,-4.57,-6.42,-6.34,-26.83,-11.56,-7.20,-15.68,15.97,-10.03,-26.28,3.51,0.15,0.68,6.31
CZOCurrent_sq,,,,-38.89,-3.78,-5.26,74.58,23.86,38.76,33.38,-54.94,-1.12,24.00,-7.48,-6.33,-9.10,3.19,-0.12,0.46,-21.99,6.33
EVCurrent,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-11.64,-24.31,,,,7.09,58.26,-10.88,270.44,57.25,-204.23,-189.45,-140.22,-114.38,-39.82,-186.71,-418.90,-147.06,50.22,101.55
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-20.66,80.86,-153.85,238.58,17.25,1.85,3.00,27.85,-177.72,12.60,53.69,54.28,-655.59,-79.22,16.19,78.23,-52.26,105.58
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-64.85,-58.17,,,,37.43,82.27,-19.74,192.23,-38.31,-140.34,-141.03,-121.70,-110.29,-11.16,-96.26,-284.12,-73.44,62.75,101.53
EVPCurrent_sy,,-15.47,-45.70,,,,-17.53,-35.30,22.63,76.29,5.71,16.53,31.45,24.75,11.64,27.94,14.77,-7.90,5.24,30.16,21.92
