,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000,11000000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,31.60,,,,94.91,56.93,48.13,19.19,46.60,80.29,49.62,29.67,-3.69,-10.28,-9.27,-12.11,-3.25,4.02,-11.12
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,3.09,26.80,35.83,9.77,-17.00,19.69,9.30,35.01,2.09,-0.68,-5.28,0.28,-4.90,0.44,-8.25,10.40,2.24,-14.17
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-24.02,,,,-48.69,-36.28,-32.49,-16.10,-31.78,-44.53,-33.16,-22.88,3.82,11.44,10.21,13.78,3.36,-3.85,12.51
CWKCurrent_sy,,5.89,,,,-2.71,4.24,1.05,1.96,1.24,1.60,7.06,7.26,9.04,5.80,1.92,3.39,-0.18,3.66,5.72
CWKCurrent_qq,,,-3.00,-21.14,-26.37,-8.91,20.48,-16.45,-8.51,-25.93,-2.04,0.68,5.57,-0.28,5.15,-0.44,8.99,-9.42,-2.19,16.51
CWKCurrent_sq,,,-7.64,8.03,-2.97,0.49,-1.04,4.73,-2.10,-0.21,-0.69,10.35,-1.92,1.44,-3.63,6.30,-0.50,-2.07,0.08,8.41
