,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800
ShareAmountCurrent,5000000000,5000000000,5000000000,5000000000,5000000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6100000000,6607490000,6607490000,6607490000
WKCurrent,3520,4400,5320,6090,8830,7400,7580,7970,8440,8700,8470,8890,10510,10930,11810,12500,13250,14360,14440,18130,17440,19000,19720
CWKCurrent,7890,6320,5230,4570,3150,3750,3670,3490,3290,3200,3280,3130,2640,2540,2350,2220,2100,1940,1920,1530,1590,1460,1410
WKGrahamCurrent,-890,-660,-1610,-1050,1670,440,-160,-1140,-800,-650,-960,-590,-60,270,970,750,380,810,20,2950,2390,2600,2090
CWKGrahamCurrent,,,,,16650,62710,,,,,,,,102900,28740,37020,73060,34400,1804040,9430,11650,10690,13310
PCurrent,24570,29450,33440,33890,35150,30910,31570,32810,32930,33480,34220,34840,35520,37080,40150,41400,43100,48800,53110,56790,56760,58810,59840
CPCurrent,1130,940,830,820,790,900,880,850,840,830,810,800,780,750,690,670,650,570,520,490,490,470,460
ZCurrent,790,850,990,1060,1190,1140,1140,1170,1300,1310,1320,1360,1660,1900,2670,2940,2910,3610,3220,3380,3140,3670,4350
CZCurrent,35150,32780,28130,26200,23350,24470,24440,23750,21450,21170,21000,20460,16730,14670,10420,9460,9550,7690,8650,8220,8870,7580,6390
ZOCurrent,1180,1370,1430,1210,1440,1340,1420,1490,1750,1800,1830,1870,2240,2560,3420,3800,3700,4650,4270,4330,4340,4830,5370
CZOCurrent,23500,20350,19440,22930,19260,20700,19560,18710,15860,15470,15170,14860,12430,10840,8130,7320,7510,5970,6510,6420,6410,5750,5170
EVCurrent,29680,29380,30100,30250,28420,30140,31110,32140,30080,30620,30950,31110,30810,30700,28990,29130,28670,31820,34350,28560,30820,31920,32070
EVPCurrent,1210,1000,900,890,810,970,990,980,910,910,900,890,870,830,720,700,670,650,650,500,540,540,540
EVEBITCurrent,25090,21510,21050,24950,19690,22440,21890,21630,17170,17040,16890,16630,13780,11970,8480,7670,7750,6840,8039,6590,7110,6610,5970
EVEBITDACurrent,22590,19330,18730,21140,16990,19670,19310,19150,15440,15170,14890,14520,12130,10670,7740,7050,7080,6350,7410,6080,6580,6150,5580
DTAR,580,600,640,640,420,510,520,550,480,520,550,560,450,460,480,500,470,560,530,480,440,480,470
CG,1410,1520,1760,1750,730,1040,1070,1230,910,1100,1200,1270,820,840,930,980,890,1260,1110,910,780,910,880
LDER,240,160,280,210,180,180,220,340,310,280,300,270,240,230,210,230,250,290,320,270,280,270,260
PZAT,5290,7140,4650,5520,4410,5170,4530,3350,3510,3830,3720,3870,4140,4250,4370,3800,3390,2750,2550,2550,2570,2610,2710
PELDR,990,1010,980,1030,1460,1260,1200,1170,1200,1190,1170,1200,1240,1260,1320,1310,1290,1370,1330,1520,1480,1480,1410
TSF,510,460,460,440,690,580,590,600,690,610,590,560,680,670,630,620,660,570,630,670,720,670,670
ZKO,1220,1110,1210,1110,790,950,1020,1130,1120,1070,1100,1060,1010,970,920,940,970,960,1000,850,850,870,890
OSF,970,960,930,950,980,1010,1000,990,1020,1000,990,990,1000,1000,1000,1000,1000,1010,1000,1010,980,1010,1000
