,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
TSF,-7250,-9370,-8470,-8750,-1230,210,-710,190,,890,900,850,,660,530,640,,770,710,620,,510,640,570,,480,500,560,560,-120,0,-260,430,300,580,400,70,-340,70,-630,-1600,-55910,,,,,,,,,,
ZKO,8330,10500,9620,9900,2270,3710,1730,970,,130,120,190,,570,760,720,,540,600,820,,1310,1560,790,,980,970,800,730,2280,2160,2790,6450,8620,14240,18350,26520,19420,15540,16400,5270,70160,1555300,2545940,3346750,3808810,89610,10640,10650,10300,10300,10320
OSF,-7103890,-8338860,-5367470,-6052700,-203820,50,-135320,840,,720,620,740,,930,1060,930,,790,870,960,,2650,4019,2210,,960,980,1400,1360,-2029,-1560,-3410,-9400,-11310,-16890,-25860,-46640,-48250,-23710,-46200,-612290,-20795770,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-338962940,-339890090,-316353500,-316789060,-317591810
NetDebt,196464000000,184980000000,186670000000,185509000000,42009000000,169609000000,39857000000,4369000000,,-14266000000,-13083000000,2231000000,,9885000000,16430000000,22045000000,,11553000000,18249000000,34366000000,,152009000000,111958000000,139405000000,,165962000000,191594000000,171966000000,196937000000,269763000000,271299000000,253083000000,207978000000,219110000000,181532000000,178654000000,179345000000,181827000000,173164000000,173014000000,178254000000,165562000000,160194000000,160393000000,160643000000,159969000000,161570000000,175797000000,176032000000,170106000000,170288000000,170433000000
NetDebtEBITDA,-2425480,22850,22250,-63180,-109680,7220,1570,160,,7320,3140,-370,,-890,-960,-900,,-450,-800,-1060,,-5110,-3810,-8490,,-9240,-19750,-52730,-118420,-1360,-1340,-1160,-950,-6540,-3810,-5000,-5290,-12980,4556950,70330,135860,-16329,-14770,-14940,-28710,338920,369730,-8290,-8310,-10550,-10610,30010
DebtFin,-423000000,-235000000,-207000000,-291000000,-113000000,27506000000,-598000000,-3857000000,,-613000000,330000000,32000000,,3919000000,6112000000,12773000000,,10516000000,-10805000000,9983000000,,32959000000,52356000000,83500000000,,94654000000,110862000000,109373000000,112617000000,155894000000,161725000000,151147000000,15482000000,10373000000,7430000000,6427000000,5160000000,6589000000,4817000000,3986000000,3168000000,103454000000,102796000000,103087000000,103142000000,102490000000,102501000000,95826000000,95830000000,95848000000,95506000000,95882000000
DebtFinEBITDA,5220,-30,-20,100,300,1170,-20,-140,,310,-80,-10,,-350,-360,-520,,-410,470,-310,,-1110,-1780,-5080,,-5270,-11430,-33540,-67720,-790,-800,-690,-70,-310,-160,-180,-150,-470,126760,1620,2410,-10200,-9480,-9600,-18430,217140,234560,-4520,-4530,-5940,-5950,16880
SP1,-853290,-794090,-557800,-611500,-89950,10,-78060,860,,5430,5210,3790,,1630,1400,1290,,1460,1450,1170,,2029,2580,2800,,990,1010,1750,1860,-890,-720,-1220,-1460,-1310,-1190,-1410,-1760,-2480,-1530,-2820,-116140,-296420,-22869430,-26720830,-32118200,-390020,-31952600,-31854600,-31901200,-30717200,-30750800,-30782000
SP2,-852840,-793650,-557200,-610840,-89320,270,-77350,960,,5440,5240,3810,,1640,1410,1290,,1560,1520,1230,,2340,2880,3100,,1210,1410,2300,2590,-300,10,-610,630,400,680,480,80,-410,110,-790,-45390,-296360,-22869430,-26720830,-32118200,-390020,-31952600,-31854600,-31901200,-30717200,-30750800,-30782000
CAR,0,0,0,0,0,0,10,110,,250,170,420,,50,40,40,,30,700,30,,20,20,20,,20,30,20,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,
