,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP2,1490,1300,1260,1280,1270,,1210,1230,1260,,1170,1120,1200,1200,1120,1150,1130,1130,1120,1170,1210,1190,1170,1220,1250,1250,1230,1260,1260,1260,1170,1200,1180
CAR,270,60,80,190,210,,120,60,110,,60,90,100,80,90,90,50,60,80,50,60,90,70,80,90,60,70,80,50,80,80,90,50
QR,1170,910,900,1050,1040,,930,980,1050,,910,870,980,990,870,920,880,890,840,870,930,900,860,870,890,910,860,920,870,850,740,750,710
CR,1800,1600,1400,1530,1520,,1390,1440,1460,,1380,1340,1400,1420,1340,1390,1350,1340,1330,1340,1370,1340,1380,1390,1410,1410,1410,1480,1390,1400,1290,1320,1290
PP,270,60,80,190,210,,120,60,110,,60,90,100,80,90,90,50,60,80,50,60,90,70,80,90,60,70,80,50,80,80,90,50
RCLR,810,810,750,810,780,,730,820,850,,780,740,820,840,740,790,770,760,760,750,820,770,780,790,800,850,790,840,820,770,660,660,660
KP,250,190,160,200,190,,160,170,180,,140,130,160,160,130,150,130,140,130,140,150,140,140,150,160,160,150,170,150,160,120,130,120
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN,3310,3640,2970,3140,3370,3100,3330,3340,3150,3260,3080,3100,2970,3100,3210,3300,3400,3490,3480,3540,3390,3340,3380,3330,3310,3390,3430,3630,3540,3570,3760,3930,4070
CRN,110000,100000,123000,116000,108000,118000,110000,109000,116000,112000,118000,118000,123000,118000,114000,111000,107000,104000,105000,103000,108000,109000,108000,110000,110000,108000,106000,100000,103000,102000,97000,93000,90000
CPZ,136000,124000,163000,144000,136000,148000,146000,141000,145000,141000,145000,150000,158000,148000,145000,138000,136000,136000,136000,136000,139000,141000,138000,138000,140000,133000,132000,122000,125000,127000,127000,128000,131000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,1500,1850,1610,1660,1760,1620,1730,1790,1760,1810,1760,1750,1690,1780,1840,1900,1950,1970,1980,2000,1940,1920,1950,1920,1890,1960,1970,2090,2060,2029,2080,2110,2110
RMT,1890,1980,2160,2270,2350,2160,2250,2290,2230,2310,2110,1980,1880,2009,2040,2130,2130,2130,2170,2220,2200,2180,2200,2180,2120,2220,2230,2320,2300,2270,2340,2410,2370
RM,830,960,920,960,1010,920,980,1000,980,1020,960,930,890,940,970,1000,1020,1020,1040,1050,1030,1020,1030,1020,1000,1040,1050,1100,1090,1070,1100,1120,1120
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
