,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
ShareAmountCurrent,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,10948520000,12498520000,12498520000,12498520000,35736717000,35736717000,35736717000,35736717000,35736717000,35736717000,35736717000,35736717000,35736717000,39116859000,39116859000,39116859000,39116859000,39116859000,42478221000,42478221000,42478221000,42478221000
WKCurrent,-40,-60,10,300,290,290,260,250,220,230,240,200,170,170,-10,210,370,390,420,430,440,450,450,460,550,560,570,580,590,650,640,660,680
CWKCurrent,,,120690,4520,4600,4640,5160,5330,6070,5920,5520,6840,7820,7900,,6290,3650,3450,3250,3140,3080,3010,2980,2910,2450,2410,2360,2310,2280,2070,2090,2029,1980
WKGrahamCurrent,-40,-80,-40,-80,-70,-70,110,-50,-50,30,20,-60,-60,-60,-90,80,80,100,100,110,110,120,110,120,50,50,50,60,60,120,80,70,60
CWKGrahamCurrent,,,,,,,11800,,,46050,66060,,,,,16480,17130,14070,12920,12400,12020,11480,12070,11570,26640,25710,25820,24120,23550,11240,16860,18980,21180
PCurrent,0,10,30,40,100,130,160,170,170,180,180,210,210,220,250,150,230,320,390,410,400,400,410,410,390,410,440,470,500,480,500,520,560
CPCurrent,809000,118240,44330,37380,13600,10530,8230,8029,7930,7450,7520,6310,6530,6020,5400,9280,5820,4260,3490,3310,3360,3380,3310,3310,3450,3310,3100,2850,2720,2830,2690,2570,2410
ZCurrent,-80,-20,-40,-20,-20,-20,-30,-50,-70,-60,-20,0,10,0,-280,-90,-70,-50,70,80,70,60,40,30,30,30,40,40,40,40,20,30,40
CZCurrent,,,,,,,,,,,,545410,93510,450040,,,,,18140,16990,19990,23860,37030,39320,47070,45250,36830,35350,31830,34150,61730,42570,31610
ZOCurrent,-80,-10,-40,-40,-40,-40,-30,-30,-30,-60,-20,-20,-10,20,-270,-80,-60,-40,90,100,80,60,40,30,30,40,50,50,50,50,30,40,60
CZOCurrent,,,,,,,,,,,,,,80370,,,,,15380,13970,16960,20800,36330,41090,42110,36420,29770,27530,26310,27410,43780,32810,23670
EVCurrent,1410,1430,1380,1350,1350,1350,1200,1350,1350,1330,1300,1300,1350,1370,1420,1310,1290,1270,1270,1270,1300,1300,1280,1280,1340,1340,1330,1330,1360,1240,1320,1330,1330
EVPCurrent,844430,125060,45160,37380,13600,10530,7290,8029,7930,7350,7250,6100,6530,6090,5670,9000,5580,4000,3290,3110,3250,3260,3140,3140,3430,3280,3040,2810,2740,2610,2620,2530,2370
EVEBITCurrent,-17890,-112460,-37080,-36400,-36400,-36400,-39660,-44790,-44790,-21270,-77560,-63390,-109110,81360,-5290,-15860,-21020,-34540,14480,13120,16379,20030,34550,38940,41810,36120,29280,27170,26460,25240,42650,32210,23310
EVEBITDACurrent,-17890,-123090,-39960,-39230,-39230,-39230,-69610,-78620,-78620,-39650,-77560,-135000,203930,44340,-6150,-18740,-26120,-52520,12680,11610,14170,17070,27140,30390,33100,29600,24770,22050,21190,19780,28390,23880,18560
DTAR,2620,3520,920,200,190,190,280,180,200,230,190,480,430,550,1050,250,140,140,110,200,110,90,70,90,60,80,90,80,100,90,70,70,60
CG,-1620,-1400,11310,260,230,230,380,210,240,300,240,910,750,1220,-18250,330,160,160,120,250,120,100,80,100,70,90,90,90,120,100,70,80,70
