,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_yy,,-40.34,-30.03,0.84,,,,-2.06,-7.93,-3.43,-3.60,-6.66,-4.22,-7.49,-7.03,-10.00,-12.43,-12.36,-16.08,-22.20,-25.59,-28.27,-28.56,-19.68,-16.32,-10.65,-4.97,-6.06,-2.71,-1.09,1.23,4.74,2.77,-1.63
CPCurrent_sy,,-22.25,-0.42,-16.27,,,,-7.92,-3.45,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,,3.20,-4.95,-1.77,1.65,-2.99,-0.31,-1.95,-1.57,-0.45,-3.72,-1.46,-4.71,-3.14,-3.64,-5.65,-11.66,-7.36,-7.11,-6.03,-0.67,-3.48,-0.83,-0.05,-1.81,-0.04,0.83,2.29,1.59,-1.92,-3.48
CPCurrent_sq,,,,,-7.08,0.85,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-54.57,182.71,18.86,,,,-0.57,4.68,-8.50,-18.07,7.20,6.28,4.83,9.57,-9.21,-5.96,-8.60,18.53,85.57,126.71,184.27,150.48,53.87,31.67,0.15,-19.28,-13.54,-25.28,-33.36,-45.87,-75.08,-82.61,-72.85
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-6.98,16.42,3.56,-11.34,-2.07,1.77,-7.27,16.01,-2.91,0.37,-3.08,-3.87,0.56,-2.45,25.69,50.50,22.85,22.32,10.75,-7.54,5.13,-6.96,-10.74,-0.97,-9.14,-17.03,-27.49,-54.41,-36.58,29.53
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,120.11,-64.63,-15.87,,,,0.59,-4.46,9.30,22.04,-6.73,-5.91,-4.62,-8.72,10.15,6.33,9.41,-15.64,-46.11,-55.89,-64.82,-60.08,-35.01,-24.05,-0.15,23.89,15.67,33.84,50.07,84.76,301.34,474.94,268.33
CZCurrent_sy,,-26.83,1.61,21.48,,,,11.26,30.51,53.22,22.04,-29.58,-26.54,-19.73,-8.72,-8.94,0.29,9.50,-0.44,-0.65,-37.68,-4.97,-8.97,0.04,6.85,-16.93,-1.37,-1.13,20.85,21.76,-7.01,28.44,33.44,3.56
CZCurrent_qq,,,,,7.51,-14.11,-3.42,12.79,2.11,-1.73,7.83,-13.80,3.01,-0.38,3.19,4.02,-0.56,2.51,-20.43,-33.56,-18.60,-18.25,-9.70,8.15,-4.87,7.48,12.03,0.98,10.07,20.52,37.92,119.35,57.68,-22.79
CZCurrent_sq,,,,,-18.31,-33.76,13.79,80.70,-4.17,-22.24,-9.37,4.26,-0.03,-15.02,3.05,4.02,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,-26.24,10.00,6.56,14.35,-9.84,10.83,-18.62,57.94,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-47.49,156.80,18.92,,,,3.29,14.01,-10.14,-18.09,-14.07,-23.44,-26.36,-24.52,-5.91,14.63,36.23,77.71,122.02,146.78,168.25,139.10,49.01,28.57,-0.65,-19.54,-14.41,-26.32,-31.25,-43.84,-69.04,-71.93,-62.26
