,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
ShareAmountCurrent,10000000000,10000000000,10000000000,10000000000,10000000000,13550000000,13550000000,13700000000,13700000000,13700000000,13700000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,13850000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000,14000000000
WKCurrent,570,790,1340,1970,5150,3890,3920,3830,3960,4019,4130,4180,4140,4230,4340,4410,4200,4320,4440,4550,4250,4340,4500,4590,4240,4340,4570,4660,4490,4590,4820,5020,4740,4980,5200,5330,5030,5160,5270,5290,5100,5190,5330,5400,5390
CWKCurrent,11240,8070,4780,3250,1240,1640,1630,1670,1620,1590,1550,1530,1550,1510,1470,1450,1520,1480,1440,1410,1510,1480,1420,1390,1510,1480,1400,1370,1430,1390,1330,1270,1350,1290,1230,1200,1270,1240,1210,1210,1250,1230,1200,1180,1190
WKGrahamCurrent,110,420,810,-180,1270,1000,930,820,940,1000,1070,1100,980,1010,1070,1150,930,1060,1220,1340,990,1040,1110,1250,890,1020,1270,1450,1260,1400,1650,1900,1640,1910,2160,2320,2029,2170,2250,2130,1990,2100,2200,2250,2200
CWKGrahamCurrent,56440,15360,7930,,5040,6410,6860,7790,6800,6380,6000,5840,6550,6320,5950,5550,6850,6040,5250,4770,6460,6130,5770,5140,7190,6300,5050,4410,5070,4560,3870,3360,3900,3360,2960,2760,3150,2950,2850,3000,3220,3050,2910,2840,2910
PCurrent,1260,1600,2320,2710,2930,2230,2140,2040,2009,1960,2029,2130,2220,2410,2600,2690,2920,3070,3370,3620,3620,3620,3610,3500,3440,3500,3790,3820,3920,4059,4190,4870,5640,6540,6460,6230,6180,5790,5830,6000,5920,6140,6240,6270,6170
CPCurrent,5080,4000,2760,2360,2180,2870,2990,3140,3180,3270,3160,3000,2890,2660,2470,2380,2190,2080,1900,1770,1770,1770,1770,1830,1860,1830,1690,1680,1630,1580,1530,1310,1130,980,990,1030,1040,1100,1100,1070,1080,1040,1030,1020,1040
ZCurrent,210,340,500,630,620,470,300,130,190,150,230,360,320,330,340,310,340,370,430,480,470,460,460,450,440,440,520,510,550,550,550,660,330,890,870,810,1300,210,670,560,340,670,320,360,410
CZCurrent,30090,18860,12920,10150,10290,13720,21300,48200,34140,44060,28160,17790,20080,19160,19080,20930,18980,17230,14770,13240,13500,14020,14060,14370,14710,14460,12360,12450,11580,11540,11610,9740,19420,7210,7340,7880,4900,29800,9560,11350,18810,9560,20260,17680,15600
