,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200,11200
ShareAmountCurrent,3872000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000
WKCurrent,1410,3890,4690,5830,7480,7940,8150,8960,9750,9650,10160,10380,10060,9920,10530,10850,10880,11160,12430,13040,13150,13360,14670,15370
CWKCurrent,7960,2880,2390,1920,1500,1410,1370,1250,1150,1160,1100,1080,1110,1130,1060,1030,1030,1000,900,860,850,840,760,730
WKGrahamCurrent,460,3010,3270,4010,4040,2390,2530,3660,4680,4500,5080,5190,4910,4680,5220,5550,5020,5090,6060,6760,6820,6940,8230,8990
CWKGrahamCurrent,24400,3730,3430,2790,2770,4690,4430,3060,2400,2490,2210,2160,2280,2400,2140,2020,2230,2200,1850,1660,1640,1610,1360,1250
PCurrent,7100,11350,12530,14410,16140,16960,19760,19750,20850,20720,18500,20210,19760,20780,23040,24540,27160,29290,33380,35400,35710,35450,35620,36080
CPCurrent,1580,990,890,780,690,660,570,570,540,540,610,550,570,540,490,460,410,380,340,320,310,320,310,310
ZCurrent,630,720,800,1140,1660,460,210,810,790,760,460,600,310,270,370,470,810,1230,1820,2100,2180,2120,2240,2330
CZCurrent,17820,15470,13950,9820,6760,24400,54160,13830,14180,14810,24450,18660,35830,41090,30680,23720,13780,9070,6170,5330,5130,5290,5010,4810
ZOCurrent,850,1020,1060,1500,2090,670,610,1240,1030,970,580,730,500,460,610,800,1170,1670,2500,2790,3010,2950,2960,3180
CZOCurrent,13190,11010,10610,7480,5370,16780,18390,9050,10870,11560,19210,15340,22360,24590,18290,14080,9560,6720,4480,4010,3720,3790,3790,3520
EVCurrent,11200,9840,11170,10600,10790,11130,10990,13360,13720,12430,12280,11620,14120,12730,12620,16950,14300,16650,14160,13990,13430,13610,14670,14950
EVPCurrent,1580,870,890,740,670,660,560,680,660,600,660,570,710,610,550,690,530,570,420,400,380,380,410,410
EVEBITCurrent,13180,9680,10580,7080,5170,16670,18050,10800,13310,12820,21070,15910,28200,27950,20620,21310,12210,9980,5660,5010,4470,4610,4960,4700
