,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
QuoteCurrent,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170
ShareAmountCurrent,26316000,52632000,52632000,52632000,52632000,52632000,52632000,52632000,52632000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,578947000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000,1615189000
WKCurrent,22380,76530,81740,86320,0,96480,98740,97890,0,26700,28940,26450,0,22040,21300,20710,0,21650,22480,22320,0,23690,28710,73840,0,35710,36190,36650,37480,38290,42230,44840,46870,46820,47630,46940,45520,28770,29000,-12670,-13130,-13490,-13920,-14230,-14570,-14910,-15400
CWKCurrent,50,20,10,10,,10,10,10,,40,40,40,,50,50,60,,50,50,50,,50,40,20,,30,30,30,30,30,30,30,30,30,20,20,30,40,40,,,,,,,,
WKGrahamCurrent,11860,69810,70680,74950,0,84150,88370,85180,0,15310,15060,14670,0,15480,14720,15350,0,14720,15670,15470,0,13520,18680,-3310,0,5200,8780,9920,11460,3740,6720,9120,9780,10750,10480,10780,9930,19640,19730,-14340,-14790,-15230,-15670,-16110,-16550,-17000,-19260
CWKGrahamCurrent,100,20,20,20,,10,10,10,,80,80,80,,80,80,80,,80,70,80,,90,60,,,230,130,120,100,310,170,130,120,110,110,110,120,60,60,,,,,,,,
PCurrent,100210,63330,67390,71780,79530,99460,136740,184980,260180,33990,40510,43460,43070,39120,33300,29940,26880,25660,28050,27670,28580,26170,21000,17840,11390,20620,54420,93320,162130,321680,530530,762450,1029740,917050,843430,673400,387350,329440,159690,58430,1510,1440,1370,1350,1330,1320,1300
CPCurrent,10,20,20,20,10,10,10,10,0,30,30,30,30,30,40,40,40,50,40,40,40,40,60,70,100,60,20,10,10,0,0,0,0,0,0,0,0,0,10,20,770,810,850,870,880,890,900
ZCurrent,5930,11230,14670,16000,19040,39750,36820,29030,21170,-550,-750,-720,-600,-4560,-5310,-5630,-5400,-380,1180,1610,2310,2029,1490,1610,1550,2580,2820,3390,2960,3070,4190,6250,7400,6040,5380,2060,-1350,-5510,-6090,-47050,-46080,-42260,-42920,-1550,-1450,-1410,-1350
CZCurrent,200,100,80,70,60,30,30,40,60,,,,,,,,,,990,730,510,580,790,730,750,450,410,340,390,380,280,190,160,190,220,570,,,,,,,,,,,
ZOCurrent,7870,13410,16990,18430,20940,22320,18640,9610,360,-2090,-2550,-2660,-2480,-1380,-2220,-2730,-2530,-1390,790,1610,2580,2440,1810,2020,2000,2710,3380,4660,5210,7430,9470,11490,14220,11410,10880,8830,3080,3360,1310,-13330,-12210,-12470,-12480,1170,1200,1200,1180
CZOCurrent,150,90,70,60,60,50,60,120,3240,,,,,,,,,,1490,730,450,480,650,580,580,430,350,250,220,160,120,100,80,100,110,130,380,350,890,,,,,1000,970,980,1000
EVCurrent,-6090,-60090,-63580,-60520,1170,-49500,-34530,-14070,1170,-6230,-5870,-5430,1170,-5550,-5500,-3840,1170,-4150,-3620,-4410,1170,-2340,-6650,5980,1170,2650,4810,4220,5770,7180,8010,13420,12980,8330,12160,14940,23940,15390,14440,15740,16129,16440,16770,17110,17450,17790,18120
EVPCurrent,-60,-950,-940,-840,10,-500,-250,-80,0,-180,-140,-120,30,-140,-170,-130,40,-160,-130,-160,40,-90,-320,340,100,130,90,50,40,20,20,20,10,10,10,20,60,50,90,270,10670,11410,12220,12650,13140,13480,13900
