,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PKKO,170,120,-530,-430,-1000,-1060,-3700,-4120,-4040,-4110,-3630,-4080,-4000,-4220,-3850,-4330,-3780,-3710,-3350,-3130,-2990,-3130,-2180,-2460,-2040,-2870,-2190,-2600,-2570,-2820,-2600,-3840,-3150,-5180,-2990,-3000,-2590,-2350,-1920,-1350,-1270,-1080,-1660,-1790,-1780
RN,7510,8410,8580,7540,7980,8340,8100,7990,7900,7540,7540,7590,7770,8189,8320,8900,9250,9600,9690,9230,8870,8380,7930,7220,6750,6410,6280,6440,6570,6620,6360,6100,5840,5680,5720,5990,6170,6390,6470,6170,6160,6080,5940,6230,6490
CRN,49000,43000,43000,48000,46000,44000,45000,46000,46000,48000,48000,48000,47000,45000,44000,41000,39000,38000,38000,40000,41000,44000,46000,51000,54000,57000,58000,57000,56000,55000,57000,60000,63000,64000,64000,61000,59000,57000,56000,59000,59000,60000,61000,59000,56000
CPZ,62000,56000,55000,111000,98000,91000,87000,79000,75000,73000,70000,70000,66000,63000,63000,60000,60000,59000,60000,60000,60000,60000,59000,63000,68000,72000,77000,77000,75000,75000,69000,68000,70000,69000,73000,72000,71000,73000,75000,83000,86000,93000,103000,107000,113000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,6470,6600,5240,2920,2990,3030,2310,2190,1960,1770,1830,1840,1900,1950,1940,2040,2120,2260,2360,2460,2520,2570,2710,2670,2670,2580,2450,2410,2440,2500,2600,2500,2350,2140,2040,2120,2170,2340,2360,2360,2480,2540,2400,2260,2100
RMT,830,890,1000,680,750,780,770,810,830,840,870,880,900,930,930,970,990,1020,1050,1040,1020,1000,980,930,890,840,790,760,760,740,730,710,660,650,620,620,610,600,600,570,560,550,540,540,540
RM,740,780,840,550,600,620,580,590,580,570,590,600,610,630,630,660,680,710,730,730,730,720,720,690,660,630,590,580,580,570,570,550,520,500,470,480,480,470,480,460,460,450,440,440,430
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
