,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100
ShareAmountCurrent,4000100000,5500100000,5500100000,5500100000,5500100000,5500100000,5900100000,5900100000,5900100000,5900100000,5900100000,5900100000,5900100000,5900100000,5900100000,5900100000,5900100000,6637612000,6637612000,6637612000,7137612000,7137612000,7137612000,7137612000,7137612000,7137612000,7137612000,7137612000,8327214000,8327214000,8327214000,8327214000,8327214000,8327214000,12019524000,12019524000,12019524000,12019524000,12019524000,12019524000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000,13285346000
WKCurrent,4040,0,4740,4820,0,4910,5450,5480,5590,5700,5510,5670,0,6310,7170,6890,0,4000,7850,8280,0,7690,7390,7470,0,7740,9100,9160,7890,7710,7870,7840,7950,16270,11300,11250,11050,10770,10740,12310,11090,10910,10800,10570,10380,9220,9090,8950,8720,9270,9010,8640
CWKCurrent,1760,,1500,1470,,1440,1300,1300,1270,1250,1290,1250,,1130,990,1030,,1780,900,860,,920,960,950,,920,780,780,900,920,900,910,890,440,630,630,640,660,660,580,640,650,660,670,680,770,780,790,810,770,790,820
WKGrahamCurrent,-1340,0,-610,-950,0,-2420,-1720,-2250,-2230,-2580,-2930,-3170,0,-3900,-4930,-5150,0,-5120,-5780,-6150,0,-7690,-8250,-8090,0,-7710,-6220,-6270,-5510,-5610,-5330,-5600,-7410,-1410,-3040,-3520,-3850,-4570,-4580,-2910,-2710,-3390,-3450,-3830,-6180,-7530,-8100,-8460,-8630,-8710,-8920,-9170
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,3780,5690,6190,6510,7170,8200,8620,9460,10210,10560,11220,11880,12910,13900,15500,17250,18470,17410,17950,18340,17400,17620,18090,18690,19600,20310,21050,21600,18640,18920,19000,19020,19710,20720,15800,17800,19100,20230,20810,20880,19140,19430,19570,19740,20200,20890,21570,22120,22520,23450,23820,24480
CPCurrent,1880,1250,1150,1090,990,870,820,750,700,670,630,600,550,510,460,410,380,410,400,390,410,400,390,380,360,350,340,330,380,380,370,370,360,340,450,400,370,350,340,340,370,370,360,360,350,340,330,320,320,300,300,290
ZCurrent,20,0,-60,-90,-140,50,0,40,110,170,140,180,240,570,830,1180,1160,710,700,350,240,120,-280,-250,-30,30,510,470,240,50,50,10,80,100,-10,-30,-310,-450,-510,-590,-400,-340,-420,-570,-720,-1710,-1730,-1630,-1660,60,-70,-210
CZCurrent,400010,,,,,137990,,170290,63280,41190,52230,38610,29400,12370,8560,5990,6120,10030,10130,20480,29710,61060,,,,212040,13890,15060,29890,144910,131680,923800,93550,74180,,,,,,,,,,,,,,,,126270,,
