,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
ShareAmountCurrent,2797256712000,2797256712000,2797256712000,2797256712000,2860989772000,2860989772000,3154588909000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000,1752549394000
WKCurrent,3940,3980,4240,4340,4370,4450,4660,8610,8650,8820,8920,9160,9110,9320,9300,9590,9570,9780,9890,10160,10150,10330,10250,10550,10530,10750,9140,9330,9160,9330,9500,9860,10060,10180,10290,10700,10660
CWKCurrent,460,460,430,420,420,410,390,210,210,210,210,200,200,200,200,190,190,190,190,180,180,180,180,170,170,170,200,200,200,200,190,190,180,180,180,170,170
WKGrahamCurrent,-1500,-1660,-1520,-1230,-1210,-1170,-990,-1780,-1900,-2160,-4190,-3950,-4240,-4250,-4970,-4780,-4950,-5110,-5600,-5500,-5790,-5800,-6520,-6250,-6540,-6600,-6900,-6760,-6750,-6920,-7130,-6830,-6830,-6890,-7420,-6930,-7060
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,4380,4450,4900,4980,4950,5110,4890,9660,10560,11210,11840,12500,12970,13580,14120,13390,12640,11840,10920,10760,10640,10630,10600,10540,10620,10550,10420,10290,10180,10050,10070,10080,10020,10000,9940,10070,10190
CPCurrent,420,410,370,370,370,360,370,190,170,160,150,150,140,130,130,140,140,150,170,170,170,170,170,170,170,170,180,180,180,180,180,180,180,180,180,180,180
ZCurrent,50,50,280,320,300,300,270,540,620,660,710,710,800,870,840,940,840,810,750,650,680,650,670,730,670,690,-1030,-1130,-1440,-1490,210,390,780,730,790,790,540
CZCurrent,33350,39120,6470,5710,6170,6050,6720,3380,2970,2790,2580,2580,2290,2110,2170,1940,2180,2250,2450,2800,2700,2810,2720,2490,2740,2650,,,,,8730,4690,2340,2500,2320,2330,3400
ZOCurrent,70,120,470,520,490,480,440,820,890,910,940,970,1120,1230,1240,1370,1200,1170,1100,1010,1040,1010,1040,1020,1020,1040,-1080,-1160,-1600,-1660,460,640,1080,1060,1030,1070,840
CZOCurrent,27390,14750,3880,3500,3760,3790,4130,2240,2060,2009,1950,1890,1640,1490,1480,1340,1530,1570,1660,1800,1760,1810,1750,1800,1790,1770,,,,,4000,2870,1690,1730,1780,1700,2170
EVCurrent,2260,2290,2140,2220,2029,1880,1840,2150,1800,2080,4130,4520,4360,4390,4420,4750,4700,4430,4810,5350,5350,5440,5880,5790,5830,5910,6520,6800,6760,6670,6920,7270,7140,7080,7150,7420,7540
EVPCurrent,520,510,440,450,410,370,380,220,170,190,350,360,340,320,310,350,370,370,440,500,500,510,550,550,550,560,630,660,660,660,690,720,710,710,720,740,740
EVEBITCurrent,33830,18440,4530,4240,4180,3880,4140,2620,2029,2290,4400,4680,3900,3570,3580,3470,3920,3790,4360,5280,5130,5390,5630,5690,5710,5700,-6010,-5870,-4230,-4019,15130,11390,6600,6690,6940,6900,8940
EVEBITDACurrent,4570,3960,2270,2210,2110,1960,2100,1350,1080,1230,2370,2500,2180,2040,2009,2029,2150,2060,2300,2660,2600,2670,2840,2850,2880,2910,-166920,-54570,-11620,-10210,4910,4580,3500,3510,3580,3620,4130
DTAR,350,360,360,330,330,330,350,320,330,320,440,430,430,430,460,440,440,440,450,440,440,440,480,460,460,460,500,490,490,490,500,480,470,500,500,470,470
