,2014/Q4,2015/Q4,2016/Q4,2017/Q4
EVEBITCurrent_yy,,-79.52,431.56,-59.64
EVEBITCurrent_sy,,,,
EVEBITCurrent_qq,,,,
EVEBITCurrent_sq,,,,
EVEBITDACurrent,,,,
EVEBITDACurrent_yy,,-70.68,140.36,-41.82
EVEBITDACurrent_sy,,,,
EVEBITDACurrent_qq,,,,
EVEBITDACurrent_sq,,,,
ROE,,,,
ROE_yy,,160.15,-85.94,94.62
ROE_sy,,,,
ROE_qq,,,,
ROE_sq,,,,
ROA,,,,
ROA_yy,,234.64,-86.43,93.10
ROA_sy,,,,
ROA_qq,,,,
ROA_sq,,,,
OPM,,,,
OPM_yy,,449.81,-71.53,63.89
OPM_sy,,,,
OPM_qq,,,,
OPM_sq,,,,
ROS,,,,
ROS_yy,,572.66,-77.33,80.45
ROS_sy,,,,
ROS_qq,,,,
ROS_sq,,,,
RS,,,,
RS_yy,,492.31,-89.65,336.86
RS_sy,,,,
RS_qq,,,,
RS_sq,,,,
GPM,,,,
GPM_yy,,572.66,-77.33,80.45
GPM_sy,,,,
GPM_qq,,,,
GPM_sq,,,,
RBS,,,,
RBS_yy,,85.46,-13.32,-29.59
RBS_sy,,,,
RBS_qq,,,,
RBS_sq,,,,
ROPA,,,,
ROPA_yy,,174.09,-82.98,75.49
ROPA_sy,,,,
ROPA_qq,,,,
ROPA_sq,,,,
ZNPO,,,,
ZNPO_yy,,302.42,-144.67,385.55
ZNPO_sy,,,,
ZNPO_qq,,,,
ZNPO_sq,,,,
ZFI,,,,
ZFI_yy,,-17.79,13.50,-16.08
ZFI_sy,,,,
ZFI_qq,,,,
ZFI_sq,,,,
DTAR,,,,
DTAR_yy,,-7.82,1.39,0.22
DTAR_sy,,,,
DTAR_qq,,,,
DTAR_sq,,,,
CG,,,,
CG_yy,,-28.42,5.26,0.82
CG_sy,,,,
CG_qq,,,,
CG_sq,,,,
LDER,,,,
LDER_yy,,11.27,-1.93,-0.73
LDER_sy,,,,
LDER_qq,,,,
LDER_sq,,,,
PZAT,,,,
PZAT_yy,,-7.86,-4.14,1.96
PZAT_sy,,,,
PZAT_qq,,,,
PZAT_sq,,,,
PELDR,,,,
PELDR_yy,,-7.74,-1.63,1.31
PELDR_sy,,,,
PELDR_qq,,,,
PELDR_sq,,,,
TSF,,,,
TSF_yy,,37.48,-4.83,-1.06
TSF_sy,,,,
TSF_qq,,,,
TSF_sq,,,,
ZKO,,,,
ZKO_yy,,70.12,-22.37,-5.58
ZKO_sy,,,,
ZKO_qq,,,,
ZKO_sq,,,,
OSF,,,,
OSF_yy,,71.37,-18.82,-3.99
OSF_sy,,,,
OSF_qq,,,,
OSF_sq,,,,
NetDebt,27642000000,56303000000,66226000000,97400000000
NetDebt_yy,,,,
NetDebt_sy,,,,
NetDebt_qq,,,,
NetDebt_sq,,,,
NetDebtEBITDA,,,,
NetDebtEBITDA_yy,,-48.15,174.37,-17.77
NetDebtEBITDA_sy,,,,
NetDebtEBITDA_qq,,,,
NetDebtEBITDA_sq,,,,
DebtFin,4832000000,22812000000,26960000000,32664000000
DebtFin_yy,,,,
DebtFin_sy,,,,
DebtFin_qq,,,,
DebtFin_sq,,,,
DebtFinEBITDA,,,,
DebtFinEBITDA_yy,,20.18,175.67,-32.26
DebtFinEBITDA_sy,,,,
DebtFinEBITDA_qq,,,,
DebtFinEBITDA_sq,,,,
SP1,,,,
SP1_yy,,0.73,4.57,1.69
SP1_sy,,,,
SP1_qq,,,,
SP1_sq,,,,
SP2,,,,
SP2_yy,,7.53,3.31,1.23
SP2_sy,,,,
SP2_qq,,,,
SP2_sq,,,,
CAR,,,,
CAR_yy,,-39.59,-48.79,-0.35
CAR_sy,,,,
CAR_qq,,,,
CAR_sq,,,,
QR,,,,
QR_yy,,-21.47,59.16,31.42
QR_sy,,,,
QR_qq,,,,
QR_sq,,,,
CR,,,,
CR_yy,,-4.83,15.14,3.62
CR_sy,,,,
CR_qq,,,,
CR_sq,,,,
PP,,,,
PP_yy,,-39.59,-48.79,-0.35
PP_sy,,,,
PP_qq,,,,
PP_sq,,,,
RCLR,,,,
RCLR_yy,,-12.44,19.73,-12.99
RCLR_sy,,,,
RCLR_qq,,,,
RCLR_sq,,,,
KP,,,,
KP_yy,,31.16,45.26,27.66
KP_sy,,,,
KP_qq,,,,
KP_sq,,,,
PKKO,,,,
PKKO_yy,,-95.42,4.74,46.05
PKKO_sy,,,,
PKKO_qq,,,,
PKKO_sq,,,,
RN,,,,
RN_yy,,-0.08,-55.98,20.22
RN_sy,,,,
RN_qq,,,,
RN_sq,,,,
CRN,73000,73000,167000,139000
CRN_yy,,,128.77,-16.77
CRN_sy,,,,
CRN_qq,,,,
CRN_sq,,,,
CPZ,135000,154000,293000,280000
CPZ_yy,,14.07,90.26,-4.44
CPZ_sy,,,,
CPZ_qq,,,,
CPZ_sq,,,,
RZ,,,,
RZ_yy,,-73.55,-60.97,148.70
RZ_sy,,,,
RZ_qq,,,,
RZ_sq,,,,
CRZ,12000,46000,118000,48000
CRZ_yy,,283.33,156.52,-59.32
CRZ_sy,,,,
CRZ_qq,,,,
CRZ_sq,,,,
RMO,,,,
RMO_yy,,-8.07,-54.23,0.94
RMO_sy,,,,
RMO_qq,,,,
RMO_sq,,,,
RMT,,,,
RMT_yy,,-61.04,-35.10,9.59
RMT_sy,,,,
RMT_qq,,,,
RMT_sq,,,,
RM,,,,
RM_yy,,-50.19,-40.23,7.16
RM_sy,,,,
RM_qq,,,,
RM_sq,,,,
COP,85000,119000,285000,187000
COP_yy,,40.00,139.50,-34.39
COP_sy,,,,
COP_qq,,,,
COP_sq,,,,
CSP,-50000,-35000,-8000,-93000
CSP_yy,,30.00,77.14,-1062.50
CSP_sy,,,,
CSP_qq,,,,
CSP_sq,,,,
