,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,6482550000,6482550000,6482550000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,8643400000,10589100000,10589100000,10589100000,10589100000,10589100000,10589100000,10589100000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,47.23,32.42,92.39,,,,19.84,26.38,19.57,10.50,12.75,7.58,19.76,69.38,37.12,32.34,16.12,-16.41,-3.09,3.83,10.61
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,1.75,4.25,8.49,4.14,7.30,-1.36,0.26,6.25,2.38,9.80,41.81,-13.99,-1.18,-3.66,2.08,-0.29,5.88,2.63
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-32.08,-24.48,-48.02,,,,-16.55,-20.87,-16.37,-9.51,-11.31,-7.05,-16.50,-40.96,-27.07,-24.44,-13.89,19.62,3.19,-3.69,-9.59
CWKCurrent_sy,,-15.85,20.41,-23.56,,,,-5.06,-35.07,-14.00,-6.45,-15.74,-14.23,-12.21,-14.74,-6.90,-7.48,-6.12,-4.59,-5.70,-5.90,1.05
CWKCurrent_qq,,,,,-1.71,-4.08,-7.82,-3.97,-6.80,1.38,-0.27,-5.88,-2.33,-8.93,-29.48,16.26,1.20,3.79,-2.04,0.29,-5.55,-2.56
