,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
WKGrahamCurrent_yy,10.68,-38.42,,,,12.91,14.26,15.16,18.15,27.42,33.61,8.13,10.04,-5.58,-3.35,13.78,5.59,1.05,-6.52,-17.67,-12.09,0.55,16.02,11.04,-18.62,-29.99,-39.50,-17.16,8.88,27.06,20.03,-14.89,-34.43,-34.90,-32.59,-4.33,15.64,20.18,26.51,-0.22,-5.07,-8.00,-17.26,-21.00,-23.08,-30.11,-26.84,-16.14,-15.13,-61.47,-121.03,-139.71,-143.75
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,0.37,0.81,10.79,0.73,1.57,1.61,13.66,8.63,6.50,-17.77,15.68,-6.79,9.02,-3.20,7.35,-10.80,0.85,-14.74,14.62,2.03,16.37,-18.40,-16.00,-12.23,0.56,11.72,10.41,2.43,-5.00,-20.78,-14.94,1.71,-1.63,12.42,2.81,5.70,3.55,-11.33,-2.18,2.44,-6.88,-15.34,-4.76,-6.93,-2.51,-2.96,-3.62,-57.74,-153.19,-83.27,-6.20
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-9.66,62.43,,,,-11.44,-12.48,-13.16,-15.37,-21.54,-25.14,-7.52,-9.14,5.93,3.43,-12.12,-5.26,-1.04,7.00,21.48,13.72,-0.57,-13.84,-9.95,22.91,42.88,65.35,20.73,-8.16,-21.30,-16.70,17.48,52.51,53.59,48.34,4.52,-13.54,-16.78,-20.95,0.23,5.34,8.69,20.85,26.58,30.02,43.10,36.69,19.26,17.83,159.50,,,
CWKGrahamCurrent_sy,15.94,-49.76,,,,-10.56,9.40,-25.83,25.08,-58.56,-45.12,-24.11,-14.43,-21.07,-25.30,-10.03,-53.50,-3.99,-13.40,-10.33,4.78,15.36,-3.95,8.99,-7.58,30.57,71.38,9.49,18.96,13.17,-17.89,-4.85,18.44,-12.02,-5.78,-9.72,-32.54,-10.57,-3.02,6.59,30.97,7.70,-16.55,-0.41,-7.61,-0.19,43.59,19.73,14.58,19.10,,,
CWKGrahamCurrent_qq,,,-0.38,-0.80,-9.73,-0.72,-1.55,-1.58,-12.03,-7.96,-6.07,21.59,-13.57,7.31,-8.29,3.31,-6.83,12.09,-0.83,17.29,-12.78,-1.99,-14.07,22.59,19.05,13.93,-0.56,-10.49,-9.43,-2.37,5.26,26.24,17.57,-1.68,1.66,-11.06,-2.74,-5.37,-3.44,12.78,2.23,-2.37,7.37,18.12,5.01,7.44,2.57,3.06,3.75,136.62,,,
CWKGrahamCurrent_sq,,,-30.21,-5.58,-7.26,46.36,-14.64,-35.99,56.39,-51.50,13.04,-11.49,76.35,-55.27,6.98,6.61,-8.85,-7.65,-3.51,10.39,6.52,1.67,-19.66,25.25,-9.67,43.64,5.45,-19.98,-1.85,36.65,-23.49,-7.27,22.17,1.51,-18.07,-11.15,-8.70,34.55,-11.15,-2.34,12.17,10.65,-31.16,16.55,4.06,19.54,-0.96,-2.81,-0.42,24.25,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
