,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000,6000000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,2.83,11.64,,,222.60,,208.31,,16.90,27.55,17.30,23.39,25.53,-12.05,-17.62,-5.11,-28.87,-27.29,-8.16,-18.05,2.28,21.14,16.36,7.25,20.96,29.47,7.17,12.93,0.94,12.56,34.95
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-100.00,,0.96,12.36,-4.10,7.46,10.17,3.33,0.88,9.31,-22.81,-3.21,16.20,-18.06,-21.10,22.26,3.68,2.27,-6.55,17.44,-4.44,15.35,0.02,-2.79,0.70,3.10,11.53,16.54
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
