,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050,90050
ShareAmountCurrent,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,117205988000,116040659000,116040659000,116040659000,116040659000,116040659000,97595565000,97595565000,97595565000,97595565000,111612055000,112085270000,112085269000
WKCurrent,170340,167000,162200,0,173210,179800,201930,0,186170,194780,192720,196130,187920,0,187670,191230,150810,151890,149930,145100,121880,133560,133640,126530,130590,0,0,0,105440,106120,108170
CWKCurrent,530,540,560,,520,500,450,,480,460,470,460,480,,480,470,600,590,600,620,740,670,670,710,690,,,,850,850,830
WKGrahamCurrent,-174010,-187790,-206230,0,-185980,-180750,-198440,0,-206640,-199090,-205700,-205480,-209660,0,-197410,-202290,-153530,-148640,-141580,-147630,-157720,-152860,-158610,-161780,-166040,0,0,0,-91910,-90930,-96000
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,23940,25010,24890,25030,25650,26000,26760,27530,27820,28950,29600,30210,24670,22950,20810,18250,21880,21420,20400,19790,17280,16390,15760,15250,19010,17600,16650,15290,12120,12370,12550
CPCurrent,3760,3600,3620,3600,3510,3460,3370,3270,3240,3110,3040,2980,3650,3920,4330,4930,4120,4200,4410,4550,5210,5490,5710,5910,4740,5120,5410,5890,7430,7280,7170
ZCurrent,2690,1910,3620,7020,10610,9710,16680,12780,9670,9240,3940,7480,3930,7920,6120,4290,6230,1780,620,3130,-12960,-8420,-8189,-23280,-17520,-33410,-34250,-28930,-19980,-23030,-20680
CZCurrent,33480,47120,24870,12830,8490,9270,5400,7050,9310,9740,22870,12030,22930,11370,14700,20980,14460,50710,145800,28740,,,,,,,,,,,
ZOCurrent,6030,8150,7720,9500,14250,13600,27800,27840,24660,26880,14200,15900,11960,10960,8690,9740,16830,11720,14810,35980,6230,17390,16880,-14350,-2330,-18900,-24810,-19230,4170,4870,7650
CZOCurrent,14930,11050,11660,9480,6320,6620,3240,3230,3650,3350,6340,5660,7530,8220,10370,9250,5350,7680,6080,2500,14450,5180,5340,,,,,,21590,18470,11780
EVCurrent,254380,271510,269970,90050,253360,264140,266400,90050,261459,265890,270410,271840,264720,90050,252800,258899,231270,228130,227890,223340,222470,223280,228240,235980,230460,90050,90050,90050,170190,169360,172780
EVPCurrent,10620,10850,10850,3600,9880,10160,9960,3270,9400,9180,9130,9000,10730,3920,12150,14190,10570,10650,11170,11280,12870,13620,14480,15480,12120,5120,5410,5890,14040,13690,13760
EVEBITCurrent,42180,33310,34950,9480,17780,19420,9580,3230,10600,9890,19040,17100,22130,8220,29110,26580,13740,19470,15380,6210,35690,12840,13520,-16440,-98970,-4760,-3630,-4680,40800,34740,22600
EVEBITDACurrent,42180,37600,87470,13630,17780,19500,8510,3230,10600,9890,19040,17100,22130,8220,29110,26580,13740,19470,15380,6210,35690,12840,13520,-16440,-98970,-4760,-3630,-4680,40800,34740,22600
DTAR,560,590,600,,560,550,540,,550,560,560,560,580,,560,560,550,540,550,570,600,580,580,590,600,,,,540,540,540
CG,1290,1450,1520,,1280,1220,1180,,1300,1270,1290,1280,1360,,1280,1260,1230,1180,1240,1310,1520,1380,1380,1460,1510,,,,1150,1140,1180
LDER,1010,1210,1240,,990,950,960,,1010,1010,1030,1000,1040,,1040,980,840,820,860,840,890,830,850,890,1190,,,,860,850,860
PZAT,1710,1510,1530,,1750,1830,1800,,1940,1830,1830,1820,1750,,1780,1890,1880,1910,1860,1990,2009,2070,1950,1940,1570,,,,1710,1730,1770
PELDR,990,1040,980,,990,980,990,,930,990,990,1000,1010,,1000,970,930,930,950,910,850,870,930,910,1010,,,,1050,1050,1180
TSF,870,900,880,,870,880,890,,850,890,890,880,860,,900,870,820,830,830,800,750,770,780,770,870,,,,860,860,850
ZKO,4760,4480,6120,,6270,5630,5880,,6750,5180,5860,5540,5490,,5710,6200,5840,5770,4170,4500,6630,5820,7060,7860,6370,,,,4090,3980,4000
OSF,2360,2100,2680,,3110,2820,2970,,3130,2560,2850,2760,2730,,2790,3030,2950,2950,2150,2230,2990,2750,3520,3770,2950,,,,2310,2260,2550
NetDebt,6080296000000,6475703000000,6647677000000,,6018568000000,5810711000000,5936258000000,,6255119000000,6197626000000,6477235000000,6378323000000,6515182500000,,6072559000000,6173923000000,4672402800000,4552396400000,4520227600000,4607734500000,4952870000000,4670424500000,4669721600000,4623680300000,3989168000000,,,,2776732000000,2725048000000,2725177000000
NetDebtEBITDA,33570,30670,73410,,14190,14690,7020,,9030,8080,16090,14330,19260,,24920,22910,9950,13800,10950,4640,27620,9600,10170,-12330,-77370,,,,24870,20990,13870
DebtFin,4936166000000,5306526000000,5279371000000,,4861117000000,5085265000000,4758754000000,,4815478000000,5016132000000,5112261000000,5088701000000,4941632600000,,4567234000000,4670971000000,3941476800000,3886526600000,3842656900000,3675511400000,3809557000000,3726486500000,3759603700000,3813571000000,3108925000000,,,,2144407000000,2112201000000,2126052000000
