,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,7252245000,7252245000,7252245000,7252245000,7252245000,7252245000,7252245000,7292245000,7292245000,7292245000,7292245000,7292245000,7292245000,7292245000,11195941000,11195941000,11195941000,11195941000,11195941000,11195941000,12355504000,12355504000,12355504000,12355504000,12355504000,12355504000,12355504000,12355504000,12355504000,12355504000,12355504000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-37.92,,,129.55,,100.75,29.78,33.97,30.52,25.55,23.25,27.66,26.99,166.00,145.98,135.07,131.08,14.17,28.78,9.99,8.50,5.00,-2.76,11.35,11.51,7.97,7.84,8.93,8.56,12.71
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,64.60,6.27,7.01,7.26,6.41,9.70,4.25,3.18,4.46,13.62,3.71,116.12,-3.41,8.58,1.95,6.78,8.96,-7.27,0.57,3.33,0.91,6.20,0.71,0.04,0.78,7.28,0.37,3.87
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
