,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent_qq,,,,,24.84,539.34,-100.00,,19.22,2.32,-100.00,,16.04,-10.29,-100.00,,218.54,-21.76,-100.00,,-697.05,179.20,-63.30,166.85,-32.08,279.20,-18.23,10.47,4.90,45.09,11.68,3.02,-27.45,-22.12,-43.80,-349.87,-102.83,-12.18,-28.50,-74.47,-30.66,-13.57,-1.81,37.26,-0.08,-0.10
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,580.44,,,,-88.51,-87.96,-24.80,,-17.01,-14.73,-2.76,,,197.73,241.44,,,,164.19,,,,-60.36,-82.19,-57.01,-72.15,-27.25,-46.75,-42.89,-17.45,53.84,205.70,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,-34.22,,,,3.94,-1.63,8.10,,4.98,13.00,6.03,,,-1.68,-2.40,,,,-5.55,,,,3.83,51.06,-6.35,-6.37,15.42,-25.44,21.26,48.07,25.49,6.25,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,-19.93,-84.35,,,-16.11,-2.28,,,-13.81,11.45,,,,27.81,,,,,172.29,-62.52,47.22,-73.62,22.32,-9.49,-4.65,-31.08,-10.47,-2.93,37.83,28.43,77.91,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,-12.46,7.48,,,-17.15,18.11,,,-10.82,10.83,,,,10.02,,,,,-8.54,40.02,-13.73,-6.02,33.05,-13.20,-13.74,15.85,-14.05,41.17,5.33,-1.82,-27.22,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,7.19,48.21,-29.09,,,,-17.10,-0.30,24.20,30.70,20.88,15.55,107.03,118.55,161.40,156.42,30.53,16.68,-1.66,-4.19,9.53,12.39,15.87,17.24,4.45,1.27,-15.47,-23.14,-19.62,-27.90,-17.58,-18.88,-17.60,-9.62,-15.98,-14.17,-14.99,-29.33,-78.33,-85.30,-91.15,-91.95,16.45,95.79,140.35
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
