,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000
ShareAmountCurrent,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,6900000000,9500000000,9500000000,9500000000,9500000000,10290000000,10290000000,10800000000,10800000000,10800000000,10800000000,11160000000,11160000000,11500000000,11800000000,11800000000,11800000000,11800000000,11800000000,11800000000,11800000000,13720772000
WKCurrent,-10,-10,-50,3000,3150,3060,3060,2800,2950,2910,2840,3080,2640,2600,5720,5630,5480,5410,7930,7810,9240,9110,9060,8840,4070,3170,11920,11460,320,-770,-1830,-2960,-4590,-5810,5040
CWKCurrent,,,,35320,33680,34590,34630,37880,35910,36390,37310,34440,40090,40840,18520,18820,19340,19610,13370,13570,11470,11640,11710,11990,26020,33470,8890,9250,335430,,,,,,21040
WKGrahamCurrent,-10,-30,-70,2980,2470,3050,2850,1060,540,290,-1280,3030,-2180,-2590,1620,-140,-1220,-2390,-1330,-3280,-3110,-4140,-5210,-6900,-2510,-3290,-5240,-6210,-5470,-6520,-7870,-9040,-10730,-11910,-150
CWKGrahamCurrent,,,,35580,42850,34760,37160,100330,196860,366070,,34940,,,65540,,,,,,,,,,,,,,,,,,,,
PCurrent,0,10,40,50,450,490,740,1330,140,140,-120,820,130,150,70,-1060,0,-10,50,50,80,60,280,270,240,230,0,0,0,0,0,0,0,0,0
CPCurrent,,8264410,2908150,2206330,237090,218400,143780,79590,742260,736280,,128509,826440,713560,1556410,,167833330,,2267650,2177130,1379280,1780400,384030,386630,432840,462820,203166670,208466670,,,,,,,
ZCurrent,-30,-50,-80,-90,70,10,30,80,-200,-150,-220,-130,-310,-320,-310,-480,-410,-450,-400,-430,-410,-480,-430,-540,-3810,-4590,-5610,-6490,-4730,-4960,-4850,-4750,-4910,-5030,-5370
CZCurrent,,,,,1551810,11736200,4219940,1387010,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent,-30,-60,-60,-60,50,80,50,50,-270,-330,-410,-270,-340,-330,-320,-520,-420,-460,-400,-420,-420,-490,-450,-530,-3770,-4550,-5550,-6480,-4710,-5080,-5160,-5030,-5290,-5260,-5120
CZOCurrent,,,,,1940310,1339680,1940310,1940310,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent,105990,106000,106000,106000,103470,106000,106000,106000,104810,105130,105810,106000,105350,105950,102650,104890,105620,106000,104290,104180,105370,106610,107370,105860,105480,105690,107110,106000,105820,107120,108520,110360,111510,113210,101460
EVPCurrent,,8264350,2908150,2206330,231430,218400,143780,79590,733940,730270,,128509,821380,713200,1507290,,167232330,,2231010,2139770,1371020,1790640,389010,386120,430710,461450,205295670,208472500,,,,,,,
EVEBITCurrent,-3152430,-1876430,-1876440,-1876440,1893970,1339680,1940310,1940310,-387210,-317100,-259660,-391600,-307490,-322180,-321540,-201100,-250470,-230160,-260720,-248440,-249060,-216960,-241040,-199290,-27960,-23250,-19300,-16370,-22490,-21110,-21030,-21940,-21090,-21540,-19820
EVEBITDACurrent,-3417580,-1915900,-1915910,-1915910,1550850,1164000,1588790,1588790,-629040,-538670,-348720,-636170,-519600,-572910,-627150,-310800,-341870,-307000,-356870,-336690,-331470,-277240,-364780,-407600,-31440,-26420,-21710,-18060,-25700,-23890,-23840,-25160,-24220,-24970,-22910
DTAR,1350,1220,2690,10,70,10,50,10,240,230,400,40,540,530,260,260,310,350,330,450,330,360,400,460,460,560,330,370,960,1100,1200,1390,1660,1260,600
CG,-3930,-5660,-1530,10,80,20,60,20,320,290,670,50,1170,1140,340,360,450,540,490,810,480,570,680,860,850,1270,490,590,23470,-10840,-6020,-3590,-2520,-4810,1480
LDER,,-30,,0,0,0,0,0,240,240,640,0,950,870,320,340,370,380,390,420,400,420,450,590,360,440,340,340,3770,-1600,-670,-440,-300,-230,490
PZAT,,9140,,,59670,,,,1070,1160,620,,410,450,440,710,990,1310,1260,1560,1580,1600,1640,1270,4540,4600,1470,1490,4840,4640,4910,4690,4450,4560,2110
PELDR,,-520,,47320,4680,6090,4390,670,1530,1390,1140,3980,1080,940,1850,1310,1120,960,1190,1000,1050,980,920,890,960,790,940,880,950,740,490,310,30,-190,2110
TSF,,-210,,980,930,850,820,530,940,960,990,780,900,870,990,990,950,900,930,780,940,900,860,850,730,630,900,840,200,60,-70,-220,-460,-200,600
ZKO,2290,2040,8320,10,90,20,60,50,640,750,3080,40,3350,7930,550,1080,1990,5490,1520,2070,3270,4900,6740,10410,3660,5450,10410,11960,3800,4500,3480,6800,13690,1740,1020
OSF,-1920,-1080,-21610,350,430,100,280,30,780,830,2120,170,1840,3970,760,1050,1620,3800,1300,1460,2450,3370,4280,5840,2260,2670,7230,7760,210,-610,-1060,-3300,-10230,-1660,990
NetDebt,144000000,417890000,574000000,152000000,-15750590000,341000000,1339000000,373000000,-1658366000,-118000000,11742000000,963000000,16916000000,20059000000,-13115000000,8643000000,19807000000,27742000000,22541000000,46654000000,41380000000,55033000000,65994000000,80929000000,32520000000,41314000000,65695000000,79917000000,72692000000,85886000000,105351000000,122660000000,135565000000,156371000000,33863000000
NetDebtEBITDA,-670,-1090,-1500,-400,-34210,540,2910,810,1440,90,-5610,-840,-12090,-15720,8430,-2700,-6750,-8460,-7500,-14650,-12050,-13250,-20760,-28850,-870,-930,-1160,-1150,-1500,-1620,-1960,-2370,-2500,-2920,-560
DebtFin,-37000000,-4910000,,,-17468440000,,,,-8195546000,-5972000000,-1295000000,,-4482000000,-373000000,-31783000000,-10561000000,-3606000000,-43000000,-17622000000,-18713000000,-6857000000,6580000000,14838000000,-1489000000,-5842000000,-3505000000,12774000000,35000000,-2106000000,13190000000,29716000000,51424000000,64993000000,85107000000,-62227000000
