,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_qq,,,,-2.92,0.86,-6.00,3.39,5.94,6.27
RS_sq,,,,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,
GPM_yy,,2110.64,-55.62,,,,76.00,224.65,-18.16
GPM_sy,,107.44,15.58,,,,1.55,93.04,52.97
GPM_qq,,,,-37.19,144.67,28.98,-11.20,15.85,-38.32
GPM_sq,,,,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,
RBS_yy,,-0.39,-4.23,,,,1.67,5.93,6.93
RBS_sy,,-8.49,-0.47,,,,-1.22,3.08,7.91
RBS_qq,,,,-2.47,-0.11,-0.80,5.19,1.62,0.84
RBS_sq,,,,4.57,-4.54,0.14,-1.19,9.12,-0.07
ROPA,,,,,,,,,
ROPA_yy,,-14.39,116.80,,,,-56.00,81.19,-46.49
ROPA_sy,,2.40,69.80,,,,-39.91,-0.50,12.54
ROPA_qq,,,,-51.50,120.10,-12.76,-52.75,99.72,-34.99
ROPA_sq,,,,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,
ZNPO_yy,,3065.55,-63.48,,,,105.07,291.48,30.87
ZNPO_sy,,707.55,11.82,,,,0.61,759.54,1265.50
ZNPO_qq,,,,-39.51,153.72,45.42,-8.11,15.47,-15.18
ZNPO_sq,,,,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,
ZFI_yy,,-6.16,2.65,,,,-0.83,1.54,-19.52
ZFI_sy,,-18.32,-46.46,,,,151.95,71.94,12.90
ZFI_qq,,,,-3.33,-5.42,-4.31,13.35,-1.03,-25.03
ZFI_sq,,,,-3.54,63.81,19.20,33.76,-34.17,7.56
DTAR,,,,,,,,,
DTAR_yy,,-2.35,14.28,,,,-27.06,7.29,-36.19
DTAR_sy,,-5.19,8.94,,,,3.35,-1.59,2.56
DTAR_qq,,,,-30.20,-8.40,-0.24,14.35,2.67,-45.52
DTAR_sq,,,,2.10,2.34,-0.12,-0.98,-2.78,6.66
CG,,,,,,,,,
CG_yy,,-12.46,197.63,,,,-83.71,23.84,-58.23
CG_sy,,-13.07,10.13,,,,11.95,6.31,5.65
CG_qq,,,,-85.69,-20.67,-0.56,44.39,8.72,-73.24
CG_sq,,,,3.59,13.84,2.06,-6.98,-1.63,13.14
LDER,,,,,,,,,
LDER_yy,,-29.99,245.88,,,,-89.01,-14.73,-55.89
LDER_sy,,-18.31,-15.81,,,,32.02,4.48,-4.37
LDER_qq,,,,-87.34,-9.64,-0.06,-3.85,-1.79,-53.26
LDER_sq,,,,12.41,14.75,4.38,-1.93,-11.05,5.04
PZAT,,,,,,,,,
PZAT_yy,,31.40,-24.99,,,,94.70,28.44,37.16
PZAT_sy,,18.11,-18.73,,,,11.13,10.17,-6.67
PZAT_qq,,,,63.56,-9.29,-1.32,32.98,7.90,-3.12
PZAT_sq,,,,1.64,23.72,-2.84,-9.05,0.76,4.82
PELDR,,,,,,,,,
PELDR_yy,,-16.91,9.89,,,,-13.97,-17.00,18.59
PELDR_sy,,25.56,-5.44,,,,-3.18,-3.85,13.75
PELDR_qq,,,,-3.08,9.95,0.72,-19.85,-6.49,57.09
PELDR_sq,,,,4.23,-8.41,2.37,-0.94,3.52,8.35
TSF,,,,,,,,,
TSF_yy,,-15.99,10.68,,,,-18.40,-20.89,4.63
TSF_sy,,-6.16,2.67,,,,-7.75,-2.77,-5.62
TSF_qq,,,,-3.57,8.91,0.29,-22.52,-6.51,44.04
TSF_sq,,,,-1.26,-2.50,3.26,-7.21,4.08,-5.36
ZKO,,,,,,,,,
ZKO_yy,,18.98,33.35,,,,-67.01,-46.05,-79.00
ZKO_sy,,-8.24,-6.43,,,,6.51,12.77,3.23
ZKO_qq,,,,-37.40,-23.85,-6.95,-25.62,2.37,-70.37
ZKO_sq,,,,-8.50,17.09,0.16,-0.74,-3.12,7.19
OSF,,,,,,,,,
OSF_yy,,31.29,-49.17,,,,55.69,-50.96,-63.65
OSF_sy,,-7.05,0.39,,,,-8.78,5.95,20.89
OSF_qq,,,,206.97,-11.22,-6.25,-39.06,-3.31,-34.19
OSF_sq,,,,-13.63,-2.55,2.09,6.16,0.32,11.20
NetDebt,248692000000,349536000000,449012000000,307895000000,313476000000,313113000000,455025000000,510830000000,256944000000
NetDebt_yy,,,,,,,,,
NetDebt_sy,,,,,,,,,
NetDebt_qq,,,,,,,,,
NetDebt_sq,,,,,,,,,
NetDebtEBITDA,,,,,,,,,
NetDebtEBITDA_yy,,15.46,-46.96,,,,52.60,-44.52,-22.89
NetDebtEBITDA_sy,,-12.57,45.88,,,,-5.54,-7.91,12.90
NetDebtEBITDA_qq,,,,42.28,-59.30,13.10,133.01,-48.28,-43.43
NetDebtEBITDA_sq,,,,-6.96,-5.95,10.24,-2.08,-9.30,15.31
DebtFin,240583000000,336891000000,422947000000,285846000000,280009000000,285892000000,435620000000,490877000000,213877000000
DebtFin_yy,,,,,,,,,
DebtFin_sy,,,,,,,,,
DebtFin_qq,,,,,,,,,
DebtFin_sq,,,,,,,,,
DebtFinEBITDA,,,,,,,,,
DebtFinEBITDA_yy,,15.04,-48.16,,,,55.10,-42.58,-28.14
DebtFinEBITDA_sy,,-49.56,320.76,,,,-34.13,-66.12,0.31
DebtFinEBITDA_qq,,,,40.23,-60.84,15.61,144.31,-48.08,-51.00
DebtFinEBITDA_sq,,,,58.26,-52.49,64.16,-46.63,-18.60,40.66
SP1,,,,,,,,,
SP1_yy,,10.40,-61.87,,,,371.71,-9.10,73.16
SP1_sy,,31.47,8.09,,,,-10.56,-9.82,-4.68
SP1_qq,,,,390.17,16.58,0.74,-18.06,-5.55,122.09
SP1_sq,,,,-2.45,-7.34,-3.40,2.44,-1.65,-2.05
SP2,,,,,,,,,
SP2_yy,,-16.91,9.89,,,,-13.97,-17.00,18.59
SP2_sy,,20.33,-0.01,,,,-11.91,-11.90,-3.50
SP2_qq,,,,-3.08,9.95,0.72,-19.85,-6.49,57.09
SP2_sq,,,,2.78,-9.06,-1.17,-4.64,2.79,-0.39
CAR,,,,,,,,,
CAR_yy,,-70.65,162.96,,,,-43.62,-30.69,913.20
CAR_sy,,1.27,39.80,,,,-5.89,-9.36,-12.65
CAR_qq,,,,-29.50,185.73,-15.55,-66.86,-13.33,4077.06
CAR_sq,,,,15.55,-14.88,-13.16,10.20,11.29,-17.97
QR,,,,,,,,,
QR_yy,,-81.43,51.33,,,,-10.14,-11.51,750.46
QR_sy,,-2.74,8.73,,,,-3.05,-15.69,-19.07
QR_qq,,,,-13.06,156.62,11.79,-63.97,-14.38,2366.31
QR_sq,,,,25.18,-6.43,7.05,-22.68,8.86,-10.19
CR,,,,,,,,,
CR_yy,,-81.43,51.33,,,,-10.14,-11.51,750.46
CR_sy,,41.37,-9.11,,,,-11.67,-8.69,-1.38
CR_qq,,,,-13.06,156.62,11.79,-63.97,-14.38,2366.31
CR_sq,,,,3.78,-13.52,3.99,-5.36,7.28,-6.60
PP,,,,,,,,,
PP_yy,,-83.15,72.89,,,,-6.67,10.95,950.36
PP_sy,,1.17,25.24,,,,-0.95,-15.82,-1.13
PP_qq,,,,-29.50,185.73,21.01,-61.72,-16.18,2605.02
PP_sq,,,,25.91,-24.26,1.27,2.56,7.01,-11.04
RCLR,,,,,,,,,
RCLR_yy,,-75.16,-1.72,,,,-25.11,-54.81,201.94
RCLR_sy,,13.95,-18.78,,,,-7.71,60.25,55.83
RCLR_qq,,,,57.66,100.74,-13.51,-72.64,-4.87,1241.39
RCLR_sq,,,,-9.57,-14.96,59.56,-24.78,57.02,-17.31
KP,,,,,,,,,
KP_yy,,-1236.36,52.53,,,,-160.11,-136.60,1216.54
KP_sy,,23.67,48.85,,,,-44.24,-36.68,54.38
KP_qq,,,,-37.78,87.05,52.76,-2986.67,-25.32,161.09
KP_sq,,,,-0.98,-50.23,10.80,2.12,12.45,21.33
PKKO,,,,,,,,,
PKKO_yy,,-1271.62,57.19,,,,-201.52,-203.76,1816.99
PKKO_sy,,11.46,-30.48,,,,19.36,14.21,-11.41
PKKO_qq,,,,-21.15,86.34,55.18,-3965.44,-22.04,177.22
PKKO_sq,,,,0.24,14.31,4.78,-0.58,-4.09,-11.34
RN,,,,,,,,,
RN_yy,,-12.16,26.41,,,,-11.93,-7.60,-18.16
RN_sy,,-3.29,19.04,,,,-16.78,-9.11,-8.07
RN_qq,,,,-4.42,0.19,3.26,-10.94,0.27,-11.26
RN_sq,,,,-16.28,-3.30,2.55,0.25,-8.57,-2.19
CRN,66000,75000,59000,62000,62000,60000,67000,67000,75000
CRN_yy,,13.64,-21.33,,,,13.56,8.06,20.97
CRN_sy,,2.67,-15.58,,,,20.00,14.48,12.18
CRN_qq,,,,5.08,,-3.23,11.67,,11.94
CRN_sq,,,,11.54,,-0.64,0.65,,5.42
CPZ,233000,1070000,1246000,988000,595000,452000,707000,944000,838000
CPZ_yy,,359.23,16.45,,,,-43.26,-4.45,40.84
CPZ_sy,,6.33,-6.70,,,,13.43,12.12,2.11
CPZ_qq,,,,-20.71,-39.78,-24.03,56.42,33.52,-11.23
CPZ_sq,,,,-12.23,14.85,-12.53,28.66,-13.25,4.59
RZ,,,,,,,,,
RZ_yy,,,,,,,,,
RZ_sy,,,,,,,,,
RZ_qq,,,,,,,,,
RZ_sq,,,,,,,,,
CRZ,,,,,,,,,
CRZ_yy,,,,,,,,,
CRZ_sy,,,,,,,,,
CRZ_qq,,,,,,,,,
CRZ_sq,,,,,,,,,
RMO,,,,,,,,,
RMO_yy,,17.44,16.40,,,,-28.52,-39.18,-59.86
RMO_sy,,-4.34,-3.00,,,,10.98,14.00,12.96
RMO_qq,,,,2.19,-4.62,-5.35,-22.52,-13.04,-37.07
RMO_sq,,,,-1.02,0.93,9.66,1.31,1.67,0.01
RMT,,,,,,,,,
RMT_yy,,-4.72,4.24,,,,10.99,9.03,0.88
RMT_sy,,31.67,33.26,,,,25.23,-16.04,15.35
RMT_qq,,,,5.16,2.71,1.26,1.49,3.30,-4.97
RMT_sq,,,,-4.90,-4.51,-9.49,52.37,-36.24,31.19
RM,,,,,,,,,
RM_yy,,-3.72,4.75,,,,8.51,5.26,-5.93
RM_sy,,5.32,31.88,,,,4.29,1.44,32.80
RM_qq,,,,5.11,2.43,0.79,,1.96,-8.46
RM_sq,,,,-8.57,-12.25,-14.35,,-11.07,14.88
COP,,,,,,,,,
COP_yy,,,,,,,,,
COP_sy,,,,,,,,,
COP_qq,,,,,,,,,
COP_sq,,,,,,,,,
CSP,,,,,,,,,
CSP_yy,,,,,,,,,
CSP_sy,,,,,,,,,
CSP_qq,,,,,,,,,
CSP_sq,,,,,,,,,
