,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400
ShareAmountCurrent,6410000000,6410000000,6410000000,6410000000,6410000000,6410000000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000,8362549000
WKCurrent,5030,5250,5650,6200,8760,11750,12430,12970,13640,13870,14030,14990,15630,16610,17140,16840,19010,20020,21100,20650
CWKCurrent,7630,7320,6800,6200,4380,3270,3090,2960,2820,2770,2740,2560,2460,2310,2240,2280,2020,1920,1820,1860
WKGrahamCurrent,-110,230,-210,680,6370,7380,9130,8660,4830,3760,4500,920,890,2720,2510,2350,3400,570,1000,-920
CWKGrahamCurrent,,164700,,56580,6030,5210,4200,4430,7950,10230,8530,41930,42930,14090,15290,16309,11290,66940,38550,
PCurrent,11190,16680,29650,25430,30680,39170,34210,34170,35070,37120,34190,31990,31150,30940,33570,38510,54740,69240,79520,92650
CPCurrent,3430,2300,1300,1510,1250,980,1120,1120,1090,1030,1120,1200,1230,1240,1140,1000,700,550,480,410
ZCurrent,570,210,400,520,2650,2690,2100,2080,2280,1480,1530,2009,1990,2740,3110,2380,3910,3940,4490,4990
CZCurrent,66850,180050,96100,74120,14510,14270,18260,18440,16820,25880,25060,19080,19260,14020,12350,16110,9830,9740,8550,7690
ZOCurrent,730,470,1010,1410,3760,3860,3010,3030,3260,2270,2300,3090,2970,3680,4180,3150,5190,5630,6460,7130
CZOCurrent,52770,81940,38110,27230,10220,9940,12760,12680,11780,16910,16720,12410,12940,10440,9190,12180,7400,6820,5940,5380
EVCurrent,39500,41250,40860,42470,40860,43800,44950,44220,42030,51350,38830,41770,54710,50790,47120,50160,52790,53660,62020,63690
EVPCurrent,3530,2470,1380,1670,1330,1120,1310,1290,1200,1380,1140,1310,1760,1640,1400,1300,960,780,780,690
EVEBITCurrent,54280,88030,40540,30120,10870,11340,14930,14610,12890,22610,16910,13500,18440,13810,11270,15910,10170,9530,9600,8930
EVEBITDACurrent,26310,30530,20270,19770,9700,9700,12760,12450,11370,19250,14340,11870,15800,12250,10100,13680,9270,8470,8570,7950
DTAR,520,630,690,700,670,650,600,620,630,650,660,660,680,700,690,730,690,700,710,770
CG,1100,1670,2260,2350,2060,1900,1530,1610,1700,1830,1960,1910,2090,2360,2200,2760,2250,2290,2480,3340
LDER,400,710,610,1050,560,640,540,600,560,990,1150,1020,920,880,490,590,660,650,1030,1300
PZAT,2370,1310,1550,730,370,540,450,480,1090,700,550,870,980,900,1640,1380,1160,1410,870,730
PELDR,1370,1790,1560,2310,6100,4520,6060,5000,2520,2810,3280,2220,2100,2320,1810,1910,2080,1740,2180,2240
TSF,670,640,490,610,510,570,610,610,580,700,730,690,620,560,470,420,510,500,580,530
ZKO,1020,970,1020,960,740,750,680,710,830,870,860,970,970,940,940,950,930,990,980,1010
OSF,1000,1020,980,1070,2710,2020,2550,2130,1280,1190,1270,1030,1030,1120,1100,1110,1130,1020,1030,970
NetDebt,30521835000,51485159000,75968939000,84686166000,100294000000,137636000000,155559000000,166054000000,185867000000,200027000000,212800000000,234878000000,268893000000,289683000000,307809000000,378918000000,352267000000,353700000000,411167000000,519121000000
NetDebtEBITDA,3170,5940,5880,6150,3720,4760,5280,5590,6010,8970,9400,7980,9290,8360,7890,12360,7400,6680,6800,7750
DebtFin,7059407000,18292813000,15745868000,26060400000,15739000000,34621000000,54802000000,48647000000,30391000000,108294000000,3569000000,28209000000,136354000000,103628000000,72882000000,98377000000,120342000000,127578000000,197528000000,211478000000
DebtFinEBITDA,730,2110,1220,1890,580,1200,1860,1640,980,4850,160,960,4710,2990,1870,3210,2530,2410,3270,3160
SP1,980,1050,960,1120,3660,2690,3770,3010,1550,1370,1470,1070,1060,1200,1170,1160,1220,1030,1050,960
SP2,1370,1790,1550,2300,5730,4400,5800,4800,2420,2720,3170,2150,2029,2250,1750,1850,2020,1700,2130,2200
CAR,220,140,100,170,180,60,30,80,60,120,180,40,30,190,30,30,20,110,90,160
QR,1030,620,500,950,670,840,910,820,790,1230,1170,600,560,630,320,350,480,500,640,800
CR,1550,1780,1340,1890,1860,2000,2280,2250,1800,2500,2810,2210,1830,1710,1380,1340,1530,1410,1740,1620
PP,220,140,100,170,180,60,30,80,60,120,180,40,30,190,30,30,20,110,110,160
RCLR,730,360,360,770,520,800,940,800,770,1110,1070,620,570,420,260,270,470,410,480,500
KP,180,280,170,350,420,440,500,480,340,440,500,370,320,310,200,190,260,210,310,290
PKKO,-2480,-4480,-3180,310,440,440,530,560,420,540,710,580,570,690,400,390,360,230,340,330
RN,4400,9120,8720,4090,4510,4480,3890,3280,3240,3150,2860,2810,2830,3000,3660,4019,5210,6100,6050,5830
CRN,83000,40000,42000,89000,81000,81000,94000,111000,113000,116000,127000,130000,129000,122000,100000,91000,70000,60000,60000,63000
CPZ,114000,110000,115000,116000,156000,111000,114000,131000,136000,130000,138000,148000,161000,200000,232000,257000,201000,170000,150000,134000
RZ,,,,3200,1760,2190,2240,1920,1960,2100,1840,1700,1470,1190,1130,1120,1480,1880,2120,2520
CRZ,,,,114000,207000,167000,163000,190000,186000,174000,198000,215000,248000,307000,323000,325000,246000,194000,172000,145000
RMO,2070,1860,2360,1670,1260,1500,1470,1280,1290,1290,1150,1080,1000,900,920,940,1240,1530,1630,1730
RMT,2180,3330,5060,4610,12840,10820,11070,9350,7100,5600,4170,3010,2570,2370,2340,2670,3740,4320,4570,4830
RM,1060,1190,1610,1220,1140,1320,1300,1120,1090,1050,900,790,720,650,660,690,930,1130,1200,1270
COP,,,,203000,288000,248000,257000,301000,299000,290000,325000,345000,377000,429000,423000,416000,316000,254000,232000,208000
CSP,,,,87000,132000,137000,143000,170000,163000,160000,187000,197000,216000,229000,191000,159000,115000,84000,82000,74000
