,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140,17140
ShareAmountCurrent,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,250000000000,253708444000,253708444000,253708444000,253708444000
WKCurrent,0,0,2220,-120,290,1170,1510,2040,2520,3070,3230,4770,5370,5440,5580,-1430,-840,-470,-2350
CWKCurrent,,,7740,,59390,14690,11370,8380,6790,5580,5310,3590,3190,3150,3070,,,,
WKGrahamCurrent,-8580,-9920,-12660,-15110,-14660,-14290,-14360,-13810,-12970,-19020,-19430,-18530,-18540,-24650,-16020,-22650,-22530,-21730,-23900
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,
PCurrent,14320,14880,15830,16660,18360,19430,20530,21500,21750,22500,23140,23850,24470,25020,25580,25820,26290,26510,26750
CPCurrent,1200,1150,1080,1030,930,880,830,800,790,760,740,720,700,690,670,660,650,650,640
ZCurrent,800,800,2280,2230,2000,2900,2130,2100,2200,1720,1530,2650,2850,2370,2370,1550,1530,2060,2690
CZCurrent,21370,21330,7510,7680,8590,5910,8050,8180,7790,9970,11220,6470,6020,7220,7220,11040,11230,8330,6370
ZOCurrent,740,1510,2140,2540,3090,3510,4040,4320,4260,4680,4690,4830,5160,5110,4440,4370,4360,4400,5360
CZOCurrent,23140,11360,8010,6750,5540,4890,4240,3970,4019,3660,3660,3550,3320,3350,3860,3930,3930,3900,3200
EVCurrent,24720,25900,31280,31040,33790,30990,31350,31440,32009,39230,43380,38310,37590,45580,45070,44520,43620,43140,44680
EVPCurrent,1730,1740,1980,1860,1840,1600,1530,1460,1470,1740,1880,1610,1540,1820,1760,1720,1660,1630,1670
