,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,2.45,4.19,4.12,3.40,-56.64,3.22,-0.20,1.57,-7.94,-4.00,-76.76,-8.83,-6.62,-7.68,8.00,2.23,,,-45.86,-26.11,-29.31,-59.76,63.64,61.11,,,1.56,-1.54,4.69,-8.96,-3.28,-3.39,-10.53,-3.92,-20.41,-7.69,-36.11
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-9.64,,,,,-13.33,105.48,108.57,117.91,121.54,4.00,11.64,379.45,432.64,426.92,446.01,17.71,5.08,293.05,,,1532.39,,774.14,191.75,32.70,7.02,,,,,4.75,9.72,12.98,32.07,25.96,49.78,57.89,118.59
CPCurrent_sy,-45.09,,,,,-24.94,-33.83,-43.12,-34.36,-18.25,-19.20,-26.02,-21.13,0.17,-0.84,-3.46,-8.83,-20.45,19.31,,,-0.43,,-1.53,-3.46,-2.36,-19.29,,,,,-14.24,-16.62,-7.12,-7.05,-4.39,7.29,2.87,4728.88
CPCurrent_qq,,,-2.67,-4.11,-4.29,-2.99,130.77,-2.67,,-1.37,8.33,4.49,329.45,9.57,7.17,8.27,-7.42,-2.18,,,84.61,35.47,41.74,146.61,-38.39,-38.38,,,-0.27,0.82,-4.53,9.12,4.46,3.81,11.61,4.07,24.22,9.43,54.52
CPCurrent_sq,,,-11.29,38.96,-20.08,-23.80,-21.80,19.44,,-5.09,-22.72,9.36,-1.67,20.55,-23.50,6.47,-7.14,5.19,,,-15.86,19.04,-16.21,17.33,-17.51,20.40,,,-8.27,-8.23,1.31,0.57,-10.82,2.22,1.39,3.44,0.07,-1.98,4659.33
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,464.63,-535.45,,,,19.15,75.29,53.03,19.13,125.97,173.96,235.92,84.59,-159.18,-230.67,-215.03,-1230.23,-28.62,157.64,,,-88.37,,-73.75,188.89,-92.00,-700.00,,,,,-95.72,111.82,13.24,97.39,4762.50,195.28,339.61,123.35
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,12.08,55.80,61.96,-446.96,73.13,15.98,34.51,275.63,-23.47,54.40,-107.43,-574.42,-68.97,-35.92,14.11,34.79,,,-133.75,192.59,-120.00,520.00,14.29,-91.67,,,-70.59,23.64,-15.44,-86.09,1356.25,-33.91,47.40,242.73,-11.57,-1.60,-25.11
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,,,,,,,,,,,753.32,,288.10,,1071.71,,,,,,2213.03,-52.51,-11.60,-49.11,-97.92,-66.19,-77.27,-55.29
CZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,46.79,,55.90,,-39.53,,,,,,26.29,26.39,38.82,15.22,-20.70,-18.85,-36.62,-89.36
CZCurrent_qq,,,,,,,,,,,30.49,-35.21,,,,,,,,,,,,,-12.39,994.64,,,238.46,-18.86,17.95,614.08,-93.05,51.04,-32.11,-70.84,13.07,1.56,33.55
CZCurrent_sq,,,,,,,,,,,43.42,0.73,,,,,,,,,,,,,43.03,-37.13,,,-0.68,-3.71,-1.21,33.68,-0.60,5.76,-18.01,-7.99,1.70,-17.40,-86.24
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,251.09,-223.53,,,,23.06,76.66,0.88,-385.98,137.38,244.69,273.51,96.80,-186.71,-237.80,-251.97,-5806.67,-64.82,146.95,,,-87.34,,-69.23,263.64,-92.31,-1533.33,,,,,79.09,115.38,120.00,148.57,5439.13,5218.18,7746.67,6782.35
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,14.10,75.27,148.38,-848.78,73.94,-5.00,-39.58,197.87,0.87,25.92,-102.57,-2553.33,-60.30,-38.87,,25.96,,,-121.15,277.27,-87.18,540.00,12.50,-91.67,,,-30.00,47.55,53.33,34.29,195.65,-31.82,13.33,7123.53,-4.72,0.60,-0.59
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-71.53,,,,,,,,,,,,,,,,,,,,,695.16,,229.65,,1077.39,,,,,,,,,,,-98.13,-98.71,-98.55
CZOCurrent_sy,-47.52,,,,,,,,,,,,,,,,,,,,,-17.17,,61.29,,4.25,,,,,,,,,,,-30.70,-45.30,-95.36
