,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780,72780
ShareAmountCurrent,78700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,113700000000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,129873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000,184873362000
WKCurrent,33580,40050,40970,43420,0,44820,46470,47040,0,51150,53480,56960,0,47400,42780,48450,0,52430,51630,47880,0,57740,63940,66180,60280,59920,66440,60590,67320,69800,67370,65960,70090,70760,70360,69280,67160,63590,42620,45540,44250,41720,43000,43360,46070,46580,49910,50870,54450,57940,59930,60970
CWKCurrent,2170,1820,1780,1680,,1620,1570,1550,,1420,1360,1280,,1540,1700,1500,,1390,1410,1520,,1260,1140,1100,1210,1210,1100,1200,1080,1040,1080,1100,1040,1030,1030,1050,1080,1140,1710,1600,1640,1740,1690,1680,1580,1560,1460,1430,1340,1260,1210,1190
WKGrahamCurrent,5300,10790,10740,12440,0,14180,14900,14000,0,14410,13600,14130,0,-11660,-27150,-25500,0,-25100,-27210,-35620,0,-25920,-22220,-20670,-28700,-29790,-21950,-25900,-19040,-18830,-23470,-23570,-18970,-21490,-24050,-22480,-25310,-27140,-21390,-17910,-18690,-25610,-24330,-24120,-21240,-20120,-16129,-15870,-13030,-9460,-7610,-8070
CWKGrahamCurrent,13740,6750,6780,5850,,5130,4880,5200,,5050,5350,5150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,94670,84830,95420,105260,110910,112560,111280,109570,108060,115440,124390,134480,145330,143310,135880,129110,108160,110270,119470,129389,138230,151400,171450,187200,205040,225290,235430,247780,255250,254950,249840,232300,226280,219900,219960,228380,226550,219460,143110,140090,130139,122840,116370,107320,107050,113220,121390,124020,127280,130820,135570,146800
CPCurrent,770,860,760,690,660,650,650,660,670,630,590,540,500,510,540,560,670,660,610,560,530,480,420,390,360,320,310,290,290,290,290,310,320,330,330,320,320,330,510,520,560,590,630,680,680,640,600,590,570,560,540,500
ZCurrent,6900,8050,11770,7820,6220,5980,5570,5230,5560,6840,8700,10090,5920,-3990,-12060,-9010,-1600,6940,12120,1410,5040,5230,9950,17010,6360,5000,4690,-1460,5920,7140,1410,4510,2290,300,1190,1220,-1650,-11290,-8300,-5050,-6210,-1420,-300,-1670,1730,5490,7140,6770,8060,9040,8560,10600
CZCurrent,10550,9040,6180,9300,11690,12170,13070,13920,13100,10650,8370,7210,12300,,,,,10490,6010,51660,14430,13920,7310,4280,11440,14560,15500,,12300,10190,51530,16120,31770,239810,61220,59840,,,,,,,,,41990,13250,10190,10750,9030,8050,8510,6870
