,2012/Q4,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,
ShareAmountCurrent,27896005000,27896005000,27896005000,29364215000,29364215000,29364215000,29364215000,29364215000,29364215000,29364215000
ShareAmountCurrent_yy,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,
WKCurrent,,,,,,,,,,
WKCurrent_yy,,26.17,,,,,10.48,8.00,2.83,2.60
WKCurrent_sy,,,,,,,,,,
WKCurrent_qq,,,,2.26,5.98,2.92,-0.94,-0.04,0.91,2.69
WKCurrent_sq,,,,,,,,,,
CWKCurrent,,,,,,,,,,
CWKCurrent_yy,,-20.74,,,,,-9.48,-7.40,-2.76,-2.54
CWKCurrent_sy,,-13.71,,,,,10.37,11.68,10.53,-3.70
CWKCurrent_qq,,,,-2.21,-5.64,-2.84,0.96,0.04,-0.91,-2.63
CWKCurrent_sq,,,,-2.20,-1.96,15.56,-0.39,-1.05,-2.96,0.69
WKGrahamCurrent,,,,,,,,,,
WKGrahamCurrent_yy,,50.61,,,,,33.53,22.41,15.61,24.43
WKGrahamCurrent_sy,,,,,,,,,,
WKGrahamCurrent_qq,,,,15.05,13.42,8.32,1.43,0.84,5.83,17.90
WKGrahamCurrent_sq,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,
PCurrent,,,,,,,,,,
PCurrent_yy,,14.04,,,,,-9.89,-4.28,-6.15,2.23
PCurrent_sy,,,,,,,,,,
PCurrent_qq,,,,-6.56,-0.23,-3.76,0.43,-0.74,-2.18,4.84
PCurrent_sq,,,,,,,,,,
CPCurrent,,,,,,,,,,
CPCurrent_yy,,-12.31,,,,,10.98,4.47,6.57,-2.17
CPCurrent_sy,,-12.31,,,,,-11.40,-10.21,-9.79,-10.84
CPCurrent_qq,,,,7.01,0.23,3.90,-0.41,0.73,2.24,-4.61
