,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270
ShareAmountCurrent,16000000000,16000000000,16000000000,16000000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19700000000,19779890000,19779890000,19779890000,19779890000,19779890000,19779890000,13252527000,13252527000,13252527000
WKCurrent,1530,2120,3400,3660,0,4500,4870,4770,5040,5460,5500,5560,5740,5730,5730,5690,5700,5700,5730,5740,5820,5910,7990,8060,7900,5350,3450,1580,1460,1980,780,600
CWKCurrent,1480,1070,670,620,,500,470,480,450,420,410,410,400,400,400,400,400,400,400,400,390,380,280,280,290,420,660,1440,1560,1150,2920,3790
WKGrahamCurrent,-400,-1370,-360,-640,0,-1290,-1700,-2280,-3330,5280,-3030,-2920,5450,5440,5440,5400,5410,5380,740,5260,5180,40,-290,6000,5830,3260,1520,590,470,1520,730,560
CWKGrahamCurrent,,,,,,,,,,430,,,420,420,420,420,420,420,3080,430,440,50530,,380,390,700,1490,3830,4830,1500,3090,4080
PCurrent,1400,2020,2820,2470,1860,2090,2670,3330,4030,4610,4680,4270,3910,3140,2720,2700,2340,2290,1590,960,550,100,100,110,120,120,100,90,120,250,360,320
CPCurrent,1620,1120,800,920,1220,1090,850,680,560,490,490,530,580,720,830,840,970,990,1430,2370,4110,23660,23230,19950,18190,19110,22360,25480,18570,9100,6280,7010
ZCurrent,1060,590,950,980,770,750,880,880,980,1120,790,780,700,260,220,260,80,100,120,50,130,200,2250,2340,2110,1890,-240,-300,-270,-400,-370,-610
CZCurrent,2130,3820,2400,2320,2940,3040,2590,2580,2320,2020,2860,2900,3250,8830,10140,8830,28270,22610,18680,42430,18050,11220,1010,970,1080,1200,,,,,,
ZOCurrent,960,680,990,1060,850,840,1030,1080,1250,1460,1170,1150,1070,640,590,640,430,440,270,40,-110,-260,-250,-120,-150,-210,-230,-280,-290,-480,-400,-610
CZOCurrent,2350,3330,2290,2150,2660,2710,2210,2100,1810,1550,1940,1970,2120,3550,3850,3560,5230,5200,8470,50640,,,,,,,,,,,,
EVCurrent,2770,2600,2290,2950,2270,2940,3470,3530,5240,5400,5150,5000,4830,5000,4830,4610,4600,4520,1870,4460,4440,2490,2770,-3330,950,2400,1440,2090,2410,2610,2920,3000
EVPCurrent,1980,1280,810,1190,1220,1410,1300,1060,1300,1170,1100,1170,1230,1590,1770,1710,1970,1980,1180,4660,8039,25910,28310,-29270,7630,20190,14170,23490,19720,10470,8080,9270
EVEBITCurrent,2870,3800,2310,2800,2660,3520,3380,3260,4180,3690,4410,4330,4520,7820,8189,7230,10600,10340,6980,99410,-38760,-9570,-10980,27620,-6330,-11390,-6270,-7490,-8280,-5390,-7380,-4950
EVEBITDACurrent,2870,3800,2310,2800,2660,3520,3380,3260,4180,3690,4410,4330,4520,7820,8189,7230,10600,10340,6980,99410,-38760,-9570,-10980,27620,-6330,-11390,-6270,-7490,-8280,-5390,-7380,-4950
DTAR,330,410,120,210,,390,420,460,470,440,440,440,440,410,410,420,350,350,10,350,310,40,110,220,220,90,120,360,240,270,520,630
CG,490,700,130,270,,630,740,870,900,790,780,770,770,700,700,720,540,530,10,530,460,60,150,280,290,100,140,560,320,380,1060,1720
LDER,340,30,0,0,,330,620,640,810,470,460,440,130,400,400,400,290,340,0,330,350,40,40,40,40,70,,0,260,290,730,1200
PZAT,,,9480,7580,,50,20,20,10,20,70,70,230,80,80,80,110,100,8820,180,250,2060,2100,2050,1990,2130,,5630,60,40,40,30
PELDR,1060,620,910,850,,1040,1200,1110,1090,44290,940,940,22350,27750,27830,27500,25710,23920,19840,16030,12300,10700,12160,4090,3980,2730,,1600,1860,52300,30760,31570
TSF,900,610,890,790,,820,940,880,950,820,820,810,640,820,820,810,840,880,660,870,930,730,740,810,810,970,,640,960,940,840,810
ZKO,2190,14490,5250,2880,,1850,1910,2240,3820,450,3460,3130,450,430,420,430,360,360,90,370,340,890,1320,270,280,140,240,600,500,330,530,650
OSF,1730,8790,4750,2450,,1440,1410,1510,2300,13590,2230,2050,8860,8460,8440,8470,7200,6420,1770,4420,3080,9120,15490,1070,1070,350,430,960,730,13360,9420,9310
NetDebt,11316000000,22184000000,6590000000,12469000000,,26374000000,34365000000,46038000000,67446000000,-101730000000,60762000000,58361000000,-106542000000,-106360000000,-106534000000,-105675000000,-106131000000,-105525000000,-14096000000,-102374000000,-100514000000,-506000000,6110000000,-114253000000,-114471000000,-63233000000,-18862000000,9453000000,-354000000,4326000000,7779000000,9059000000
NetDebtEBITDA,730,2029,420,740,,1600,1700,2160,2730,-3530,2640,2570,-5060,-8450,-9170,-8420,-12410,-12270,-2670,-115940,44570,100,-1230,47900,38440,15190,4160,-1710,60,-670,-1480,-1130
DebtFin,7983000000,5218000000,314000000,10956000000,,13292000000,23665000000,24818000000,58603000000,61703000000,56749000000,53721000000,50443000000,53726000000,50422000000,46103000000,45906000000,44244000000,-7892000000,43057000000,42674000000,4256000000,9778000000,-110780000000,-26053000000,2532000000,-16445000000,-3516000000,2781000000,4526000000,8598000000,9697000000
DebtFinEBITDA,520,480,20,650,,810,1170,1160,2370,2140,2470,2360,2390,4270,4340,3670,5370,5140,-1500,48760,-18920,-830,-1970,46450,8750,-610,3620,640,-480,-710,-1640,-1210
SP1,790,610,900,850,,780,740,680,600,30160,640,660,19740,19870,19870,19630,19890,17830,19760,12010,9090,10250,11740,3930,3810,2560,1790,1600,1480,40470,17780,14350
SP2,1060,620,910,850,,1040,1200,1110,1090,44290,940,940,22350,27750,27830,27500,25710,23920,19840,16030,12300,10700,12160,4090,3980,2730,1790,1600,1860,52300,30760,31570
CAR,160,60,70,210,,1130,3350,1650,2400,530,680,710,430,620,730,870,400,490,8890,520,390,670,640,4019,1810,1490,2530,210,3390,1710,450,750
QR,1480,70,190,350,,1160,3420,1700,2600,5420,710,730,2690,5370,5490,5220,6050,7800,16810,7270,12910,3970,1000,4290,4180,22030,4190,1680,11570,13510,6010,5090
CR,1480,70,200,350,,1160,3430,1710,2610,5420,710,730,2690,5370,5490,5220,6060,7800,16830,7270,12910,3970,1000,4290,4180,22030,4190,1680,11570,13510,6010,5090
PP,160,60,70,210,,1130,3350,1650,2400,5350,680,710,2680,5350,5470,5200,6040,7780,16379,7210,12790,3790,980,4170,4160,21670,3000,460,5950,2510,930,1110
RCLR,1320,10,120,140,,30,70,50,200,70,30,20,10,20,20,20,20,20,430,60,120,180,20,120,20,360,1190,340,5610,11000,5080,3980
KP,50,-360,-90,-140,,30,160,90,80,800,-50,-50,610,790,790,780,810,840,90,820,850,40,0,610,610,620,390,240,440,770,810,780
PKKO,130,-1180,-310,-550,,140,700,350,320,3920,-240,-210,2810,3290,3390,4050,3960,4310,640,8860,12130,930,0,17110,15640,8760,3660,1670,2400,4090,2650,2370
RN,4610,148410,52930,26370,24380,27700,42140,72940,70400,60920,60120,59040,66990,82250,78700,76840,72950,78330,61260,29300,12380,2200,2280,1360,1640,1370,450,370,350,260,340,250
CRN,79000,2000,7000,14000,15000,13000,9000,5000,5000,6000,6000,6000,5000,4000,5000,5000,5000,5000,6000,12000,29000,166000,160000,268000,222000,267000,809000,992000,1031000,1393000,1081000,1432000
CPZ,60000,255000,56000,104000,112000,184000,121000,108000,77000,76000,98000,125000,211000,264000,303000,304000,262000,240000,250000,350000,476000,1811000,2584000,2837000,3565000,3800000,4058000,3554000,1200000,845000,469000,242000
RZ,,,1775300,945490,1241950,755900,879450,958130,1019820,905660,848680,703950,520440,499700,569000,608550,733350,957110,661230,409490,279430,189340,191490,228630,294720,336330,388000,642000,5612000,6788000,6518000,7128000
